Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_D05_452028
Composite Element REF	Signal
AACS	6.22932051737634
FSTL1	9.13184911253778
ELMO2	5.44732605118961
CREB3L1	4.55431986037328
RPS11	9.52683637621751
PNMA1	7.82241007642968
MMP2	9.27945103874447
SAMD4A	3.9289461630132
SMARCD3	7.97442990746329
A4GNT	3.42621048715572
C9orf39	3.02109756693142
PKNOX2	4.31795685182334
RALYL	3.1152629375834
ZHX3	4.31938698160097
ERCC5	5.70273092924261
RXFP3	2.88614383988378
APBB2	4.27046044710462
BBOX1	5.4645671875139
PRO0478	3.0121634757755
GCSH	6.75119526963311
XDH	3.7962138266018
EDN1	4.3755615673501
MTERF	6.71201348160509
PDCL3	6.6174065933179
CLK4	5.99196568630426
KCNG1	4.3862224734925
CXCR4	7.73488210286158
DECR1	7.84299660761385
SALL1	3.10999352712962
PTPRR	3.14537168622458
CADM4	3.42707724388775
IRAK1	9.99818099712938
CFHR5	3.25319741822717
HNRPD	7.76420545689104
TMSB10	11.6369928342107
CXCL3	3.44661360659406
LMAN1	3.92180544225554
SUHW1	3.43105337081191
CHD8	5.85156710654787
SUMO1	8.31462777244096
GP1BA	3.36534740835882
OR7A10	3.84922649788812
DDB1	7.8394731193291
CHRNA10	3.54191594531176
STYK1	3.55975913729077
MYO9B	4.32182091131790
CCNI	9.88101665788998
MMP7	7.89205859437275
EP300	6.03406176384092
CRNKL1	5.3937548090396
C9orf45	3.23829947754696
XAB2	3.84162375372009
RTN1	3.9463886459076
HIC2	3.79124309002732
TBX10	3.69202905781022
CENPQ	3.63553192515203
UTY	3.02403008072661
OR2W1	2.79839991152811
ATP5G2	10.0843240844619
ZEB1	3.98118748877998
ZG16	3.64383967934577
ERG	3.71624476500411
PARN	7.15643463653047
SOD2	5.49945189610099
JOSD3	8.54301989853461
ADAM5P	3.03246113252484
CHD9	5.7599513540221
hCG_40738	3.850770001443
STK16	4.24051506007044
PDE1C	3.53081958326582
SEMA4D	5.43051903812782
AGPAT1	6.09234696510146
TOB2	5.65451388238827
BANK1	3.32104699954234
MAP3K3	5.35642644677359
MAX	5.14092647997209
GRM2	3.64040547891298
OSBPL8	5.85352686858473
PROSC	6.42162224060053
NR4A2	4.04964501147345
RICS	5.16508701422911
PIR	4.55204495542236
PPCS	9.8469574321023
IPO9	6.08463372647461
LONP1	7.07600787294398
EVC	4.32535033985262
CXCL13	5.02019680707104
SCYL3	5.45896512627663
KIAA1199	6.98357390824088
SORL1	7.8726500837365
NAT10	6.51030939628004
CHD1	5.57939052351599
SYN3	3.54148554196885
DMC1	3.92584442670738
SLC22A2	3.56440479233863
SERPINF1	8.87020233530366
C20orf27	5.52558652037261
OR7A17	3.21609972934907
RPS6KA5	3.98924229029971
LHB	3.57560941224658
TAOK3	5.13438871612207
STK25	5.16891706040069
SLC12A4	3.53683365622493
BRCA1	3.36203905211403
GBL	5.58769180451274
C14orf108	7.96124142062258
CDC25B	7.69362849809343
BMP3	3.24556808317938
MAP1LC3C	3.32456595949963
TMEM180	3.40765015029616
CRYGC	3.78610098675812
SLK	6.25742942367657
POU3F1	3.24501963496536
C20orf32	4.00160508079043
USP52	4.83680922137848
HIGD1B	4.05353053195743
BAZ1B	5.74679496311999
USP6NL	4.78580514441283
SLCO2B1	5.18473432679115
ABCD4	4.7275046249605
DIMT1L	6.28782367692449
SLC25A46	6.31334558582016
LARP7	6.89922174507006
TEK	3.62527050721406
CD160	3.63575398394309
TERF2IP	7.13933478925251
PHF20	5.69861862238114
COL1A1	9.13038438609384
KIAA0090	5.45471070277213
GTPBP1	4.2808925132266
GRK5	3.97087175803329
AP1S2	5.01059588496622
RAB33B	3.94789096017341
CA11	4.66213038393577
ALDOC	5.3188934705497
NUDT1	5.00692525969231
ZNF212	5.15041528449161
ACBD3	7.3483265832199
ZNF83	6.02449058025631
PRDM2	4.55936576994367
GDPD5	6.90988063517585
PDCD4	5.3864873381413
CEP350	6.27555221760818
FOXP3	3.41645827905547
SMYD3	6.3272092910573
CST7	4.56363165158285
SELL	4.68061760226557
CIAO1	6.47495420485994
LGI2	3.99164812784847
WDR45	6.23152150384342
ANKRD6	7.12329228250319
LTBP4	3.84224070199385
PSCD3	3.61722822251737
PYY	3.17628578219858
KCNC1	3.15738610470813
SIRT6	3.59635209152291
CCL19	4.37006530029767
ARHGEF9	4.26247555463888
ABR	5.01891327447329
C10orf22	6.49117271013649
STK17A	4.57418443166831
FOXE1	3.53855058184859
GML	3.3122387353619
CNGA3	2.95106936410837
CD38	4.0766950869592
ZDHHC6	6.87108271691909
NEFH	3.37005957822723
PGBD5	4.36636970986057
CTDSP2	7.0854624095977
RMND5B	5.6691206801233
ZNF257	3.66576300803406
DUSP4	4.23986769496812
FLJ22167	3.76084753292751
EXOSC7	5.35127059750185
ROR2	3.94133198827694
FOXM1	5.17264953695935
ZBTB48	4.27246719061811
BUD31	8.2632481357726
MAOA	3.69171828429183
CCDC41	3.52706638169652
TNNT3	3.71486784923694
FBXO11	5.16366886837231
GYPC	6.69255644237086
PLIN	4.30781171418429
RFXAP	3.60071056436413
C6orf15	3.77450014830597
RNF4	8.90879307395018
F8A1	8.89633868694765
PPP1R3D	4.33856175768855
GRB2	7.48692350350405
TPM3	3.15628818922833
SYT13	3.43618540265187
EPB42	3.65527991077315
RP5-1077B9.4	4.64913664569418
EIF1	10.1648435685538
CETN3	6.66285718462258
FPGT	5.11845779725125
PRY	3.48498854880998
NTHL1	4.5533525059734
POLR2B	8.68890827768041
RPS28	11.1166171442217
GDF10	3.15179620068009
COQ9	6.89729514503044
P2RX3	3.04140398644715
GCC2	6.79287953793353
RARRES3	6.91423027458662
PLXNA1	6.20824671428811
WBP4	4.59939735533296
KIAA0100	6.7941286670227
PMF1	5.96888322382017
HS2ST1	5.45475236427102
CRELD2	7.03643959834852
C8G	3.1970450729297
CD82	6.17949198247076
PMM1	5.05850311174335
CBLL1	4.89916069880494
LIM2	3.49600320067308
VAX2	3.60190790762089
SETDB1	4.76874980649801
LRAP	2.88756600681382
GCLM	5.96373872368087
CPEB3	3.18124857578536
PPM1A	6.01388931843447
