Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_E01_452050
Composite Element REF	Signal
AACS	6.35200219358286
FSTL1	9.07628782208245
ELMO2	5.40428156559355
CREB3L1	4.91609339341175
RPS11	10.139019488895
PNMA1	7.68273971552082
MMP2	9.35726700541187
SAMD4A	3.97656709499935
SMARCD3	6.55176833261526
A4GNT	3.78014063586178
C9orf39	3.57936048242222
PKNOX2	4.14898977076580
RALYL	3.21091460804629
ZHX3	4.76520464354359
ERCC5	6.66715692278087
RXFP3	3.07831941406379
APBB2	4.47684506945541
BBOX1	5.77795045698914
PRO0478	3.30563414839788
GCSH	7.73967143789504
XDH	3.51294524723403
EDN1	3.81094635963286
MTERF	6.86219578484644
PDCL3	7.1485986904507
CLK4	5.701950892044
KCNG1	3.90212353279127
CXCR4	6.9901895055258
DECR1	7.84693744847412
SALL1	3.11390380330134
PTPRR	3.4785694298336
CADM4	3.52608343967334
IRAK1	8.56492839880396
CFHR5	3.18117318971315
HNRPD	7.59818065727212
TMSB10	11.3226529915971
CXCL3	3.90551242531201
LMAN1	3.48072217090583
SUHW1	3.54766661902107
CHD8	6.37464617982968
SUMO1	7.22262998352391
GP1BA	3.07767599767364
OR7A10	4.03321982189358
DDB1	7.23143331787553
CHRNA10	3.55674330452948
STYK1	3.37217041295383
MYO9B	4.4594720183598
CCNI	10.2591546251620
MMP7	9.64791509891725
EP300	6.80245305870958
CRNKL1	6.44011828652707
C9orf45	3.20461711127302
XAB2	4.22592788186353
RTN1	3.52484859004827
HIC2	4.39645348567363
TBX10	3.55865262760205
CENPQ	4.29173757012991
UTY	3.08301000244152
OR2W1	2.80593295689447
ATP5G2	10.1318103424406
ZEB1	4.09877184548316
ZG16	3.34601723871002
ERG	3.88058170331679
PARN	6.37881965098411
SOD2	5.38498263425544
JOSD3	8.53141775304733
ADAM5P	3.10196797912595
CHD9	5.71867020416094
hCG_40738	3.83415255042978
STK16	4.44955711793796
PDE1C	3.60241388938225
SEMA4D	5.17414104737351
AGPAT1	6.24390860618765
TOB2	6.58506797955769
BANK1	4.31445601336713
MAP3K3	5.41835552572104
MAX	4.84027053319933
GRM2	3.82936756798666
OSBPL8	7.70452246604085
PROSC	5.93742958885193
NR4A2	5.51147434863051
RICS	4.99526279409886
PIR	4.42105190522251
PPCS	7.8291687523735
IPO9	6.34237706289442
LONP1	7.65258756657313
EVC	4.62363415558157
CXCL13	5.1468789133461
SCYL3	5.1576803034347
KIAA1199	7.37610140416149
SORL1	6.76123062750284
NAT10	6.29284902446438
CHD1	6.1984358986793
SYN3	3.40379312241084
DMC1	3.80704079840402
SLC22A2	3.65424617355246
SERPINF1	9.19132749782093
C20orf27	6.48737012561213
OR7A17	3.08546289586948
RPS6KA5	4.17697508775212
LHB	3.35963362312761
TAOK3	5.29707704899365
STK25	6.34896164346115
SLC12A4	3.63781176983806
BRCA1	4.46988944324186
GBL	5.21925184538155
C14orf108	7.69954873168965
CDC25B	7.28204361004903
BMP3	3.29287780360542
MAP1LC3C	3.2285509781021
TMEM180	3.66365484216928
CRYGC	3.54196177812455
SLK	6.48590483517277
POU3F1	3.11546123617433
C20orf32	4.10282568519121
USP52	5.15556545704785
HIGD1B	4.18778518498487
BAZ1B	6.47309455976835
USP6NL	5.4977961772487
SLCO2B1	4.15099160134361
ABCD4	4.85262008570252
DIMT1L	5.61219583781759
SLC25A46	6.50550011768464
LARP7	6.6912310687695
TEK	3.84612122975972
CD160	3.63449058256359
TERF2IP	7.13593547218501
PHF20	6.42083108212426
COL1A1	9.34927150863378
