Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A05_547376
Composite Element REF	Signal
AACS	6.92022117565466
FSTL1	9.19084165905409
ELMO2	6.25223144311123
CREB3L1	4.55602114381762
RPS11	9.7705624772768
PNMA1	8.22338176847883
MMP2	8.62367657153796
SAMD4A	3.87056781532804
SMARCD3	6.66956795288428
A4GNT	3.61445093434699
C9orf39	3.25094762408304
PKNOX2	4.13279716444884
RALYL	3.15521770035463
ZHX3	4.41144646453763
ERCC5	6.16844718135819
RXFP3	2.73363695413327
APBB2	4.50174013882639
BBOX1	7.93215896161887
PRO0478	2.95351087994095
GCSH	7.93662050757814
XDH	4.3484369487195
EDN1	4.88778918883940
MTERF	5.73141205566741
PDCL3	7.85871997540678
CLK4	6.52732534760969
KCNG1	3.69160179351483
CXCR4	8.4376449039324
DECR1	8.1711216571404
SALL1	3.28991742525346
PTPRR	7.46707052848915
CADM4	3.31604269268681
IRAK1	9.1126849584315
CFHR5	3.22054808029781
HNRPD	8.222916774845
TMSB10	11.9026035612425
CXCL3	3.46311285023314
LMAN1	4.95472498803735
SUHW1	3.26161964235498
CHD8	5.54950349859546
SUMO1	8.3302538512354
GP1BA	3.05995700292485
OR7A10	3.69140222529747
DDB1	7.24811505286033
CHRNA10	3.68410801900681
STYK1	3.59296782619996
MYO9B	4.2932040206561
CCNI	10.0223097293492
MMP7	8.32419964112779
EP300	6.82888074056634
CRNKL1	7.37083278353544
C9orf45	3.18109446242687
XAB2	4.28003060586130
RTN1	4.00871823449209
HIC2	3.82042567097901
TBX10	3.45880021034935
CENPQ	4.76028889514824
UTY	3.15793359316211
OR2W1	2.84623842101822
ATP5G2	10.3891184739218
ZEB1	4.3751944477655
ZG16	3.56437059956403
ERG	3.84850240875897
PARN	7.15673319483226
SOD2	5.6831714329375
JOSD3	7.69253664897551
ADAM5P	3.1060051901699
CHD9	6.45446045749092
hCG_40738	3.7265956969254
STK16	5.3913984479714
PDE1C	3.42781333498581
SEMA4D	5.17581707938104
AGPAT1	6.93688986246375
TOB2	5.71359816734014
BANK1	5.87815861480811
MAP3K3	5.69446990471152
MAX	5.45741795443498
GRM2	3.50111106366924
OSBPL8	7.7850082827021
PROSC	5.97034764881236
NR4A2	7.28965870438079
RICS	5.66826954895399
PIR	6.73438557821216
PPCS	9.06544308923431
IPO9	6.33094203650018
LONP1	7.13372578295296
EVC	4.71854207348835
CXCL13	4.86655705408148
SCYL3	5.27409970583695
KIAA1199	6.32801813043101
SORL1	7.86534249104488
NAT10	6.48943922392641
CHD1	6.9076134754007
SYN3	3.68061009127018
DMC1	3.77532082012824
SLC22A2	3.68014787521554
SERPINF1	8.70473605588708
C20orf27	6.02825463246324
OR7A17	3.10707863959945
RPS6KA5	4.97118751826836
LHB	3.5144310221659
TAOK3	5.47412292936661
STK25	6.43283687398851
SLC12A4	3.62431132244150
BRCA1	4.70930135646137
GBL	5.79640683809988
C14orf108	8.08928899055035
CDC25B	8.30241036674955
BMP3	3.02782671104819
MAP1LC3C	3.35175854913586
TMEM180	3.4131461276988
CRYGC	3.61784956605142
SLK	6.92817623446134
POU3F1	3.17345206359091
C20orf32	3.74630600808096
USP52	5.9750525419804
HIGD1B	4.04101170937185
BAZ1B	6.53855046344503
USP6NL	6.24312341628181
SLCO2B1	4.58254974616255
ABCD4	4.3912130353551
DIMT1L	6.14019507277898
SLC25A46	7.57812318988698
LARP7	7.08785272381613
TEK	3.68052660928882
CD160	3.41009611115601
TERF2IP	7.50586787418136
PHF20	6.52494815797974
COL1A1	8.99670647332819
KIAA0090	6.24706408324749
GTPBP1	4.35587489566418
GRK5	4.10599943739655
AP1S2	6.02869962380138
RAB33B	4.44321990676889
CA11	5.04254744948204
ALDOC	6.67920334364818
NUDT1	5.72500275719774
ZNF212	5.35820609510226
ACBD3	7.90984017650288
ZNF83	7.10998683408708
PRDM2	5.1132582585903
GDPD5	4.9298720448618
PDCD4	6.094020484965
CEP350	6.28385153104673
FOXP3	3.13788686904831
SMYD3	7.00441936971626
CST7	5.13267590755091
SELL	4.17555685999187
CIAO1	6.46199956566526
LGI2	3.82062111836075
