Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_B08_547200
Composite Element REF	Signal
AACS	7.70474175399735
FSTL1	8.25383810971923
ELMO2	5.4106680763289
CREB3L1	4.35891232472892
RPS11	9.82665273380096
PNMA1	8.47620145703444
MMP2	8.34982019150205
SAMD4A	4.19627343001609
SMARCD3	7.87523742559135
A4GNT	3.51110657055549
C9orf39	3.4070393734703
PKNOX2	4.26924612660825
RALYL	2.90359338583749
ZHX3	4.52513197603402
ERCC5	7.03988124801764
RXFP3	2.91685476536884
APBB2	3.8059429908762
BBOX1	7.12372658785662
PRO0478	3.13158727641773
GCSH	7.40506353614926
XDH	3.3574835455094
EDN1	5.27753784943292
MTERF	6.41787324116081
PDCL3	6.9336098004419
CLK4	6.15528827765334
KCNG1	4.29928307293963
CXCR4	9.5811703485849
DECR1	8.21941139030795
SALL1	3.10468960502993
PTPRR	3.22776457925791
CADM4	3.50050724345856
IRAK1	8.75883763944623
CFHR5	3.34591981375116
HNRPD	7.6330618468949
TMSB10	11.5233148780840
CXCL3	4.082433324146
LMAN1	3.82872824044669
SUHW1	3.31470659222377
CHD8	6.30647700496715
SUMO1	7.93324643944056
GP1BA	3.28072674190016
OR7A10	3.84553302503002
DDB1	7.93209199232432
CHRNA10	3.8424616070274
STYK1	4.12009973574671
MYO9B	4.53735835753633
CCNI	9.43363701264013
MMP7	8.67171112022036
EP300	6.92153107687835
CRNKL1	6.39728907103724
C9orf45	3.14848015092751
XAB2	4.45651773087161
RTN1	4.51088571386424
HIC2	4.03816077949724
TBX10	3.44555103599053
CENPQ	3.7284215963472
UTY	3.07790348280256
OR2W1	2.96150922090235
ATP5G2	10.0556140937200
ZEB1	3.94875050562762
ZG16	3.43663098152676
ERG	4.04170961118249
PARN	7.40086211172462
SOD2	5.65758602508539
JOSD3	7.89692178156232
ADAM5P	3.19518759902205
CHD9	6.55751815801482
hCG_40738	4.09852273004448
STK16	5.08591765032314
PDE1C	3.52045958513959
SEMA4D	5.99561707852416
AGPAT1	5.97695107703491
TOB2	6.88051621994907
BANK1	3.34816662606644
MAP3K3	5.86350506843349
MAX	6.27847554838968
GRM2	3.42249175746134
OSBPL8	7.4725620660549
PROSC	6.25373050612529
NR4A2	6.96983072505318
RICS	6.11188816209136
PIR	5.31550699134045
PPCS	9.041000676604
IPO9	6.65752823995634
LONP1	7.442565416585
