Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_C10_547276
Composite Element REF	Signal
AACS	7.22518669197976
FSTL1	8.788829728815
ELMO2	5.44092985468144
CREB3L1	4.37789124107005
RPS11	9.80061211262344
PNMA1	8.45201470541388
MMP2	8.08676924049846
SAMD4A	4.33588697640144
SMARCD3	6.21101549792592
A4GNT	3.57615503958979
C9orf39	3.12249073983004
PKNOX2	3.82117858707659
RALYL	3.25004218223366
ZHX3	4.38881232223307
ERCC5	6.01104072351398
RXFP3	2.93064341506198
APBB2	6.20832561122194
BBOX1	3.92310846456402
PRO0478	3.00427911137763
GCSH	8.1738695486804
XDH	3.74870859655522
EDN1	6.82519434396819
MTERF	6.41439865728678
PDCL3	8.03520317043228
CLK4	6.31628816176334
KCNG1	3.82352293175299
CXCR4	9.00558017832602
DECR1	8.63472421081368
SALL1	3.05631224653357
PTPRR	3.45821484435868
CADM4	3.34421367563972
IRAK1	8.98391698773203
CFHR5	3.32226266553529
HNRPD	8.58238160034233
TMSB10	11.8265726343622
CXCL3	3.75330796445849
LMAN1	3.83808343822230
SUHW1	3.42122491750672
CHD8	6.49643300147909
SUMO1	7.88648576786292
GP1BA	3.19381844673809
OR7A10	3.70910969231684
DDB1	7.54009977077928
CHRNA10	3.73872170606446
STYK1	3.90422860151125
MYO9B	5.20479783105433
CCNI	10.2509382299513
MMP7	10.9499227757826
EP300	6.20233549938076
CRNKL1	6.46558844955717
C9orf45	3.09656927315644
XAB2	5.07121126905314
RTN1	3.35907216766913
HIC2	3.75427394144500
TBX10	3.48188797668177
CENPQ	4.27488115639228
UTY	3.19171454525124
OR2W1	2.84270319217431
ATP5G2	10.5201035650748
ZEB1	3.86718615630525
ZG16	3.18283244065939
ERG	3.61048026170057
PARN	8.97221854372506
SOD2	6.42990293200723
JOSD3	8.53648378882767
ADAM5P	3.24759277827182
CHD9	5.94072016180484
hCG_40738	4.04728569807807
STK16	5.06570669141159
PDE1C	3.5807467853039
SEMA4D	5.52522602732005
AGPAT1	6.4027785350579
TOB2	5.90746210686336
BANK1	4.00108497443144
MAP3K3	5.4762249470758
MAX	5.8626834178784
GRM2	3.59818792825627
OSBPL8	6.46864728381328
PROSC	6.16914972469028
NR4A2	5.47647700823615
RICS	4.46914233780132
PIR	5.44699731314325
PPCS	8.71237785527956
IPO9	5.9944382090007
LONP1	7.20298109734937
EVC	4.76599704258465
CXCL13	4.03468194273770
SCYL3	5.52523475095326
KIAA1199	5.84601158752243
SORL1	8.6168433777089
NAT10	7.68649721442622
CHD1	7.18702730508418
SYN3	3.22557976567251
DMC1	3.81604643980799
SLC22A2	3.87668808183908
SERPINF1	8.42732243616378
C20orf27	6.95343610215379
OR7A17	3.15419185491922
RPS6KA5	4.73359082453086
LHB	3.157765098009
TAOK3	5.3716265773222
STK25	6.52435471282393
SLC12A4	3.53688605196614
BRCA1	4.04372120801356
GBL	5.79731262710303
C14orf108	8.04126928380535
CDC25B	7.24655563465392
BMP3	3.17788528805885
MAP1LC3C	3.33994878973423
TMEM180	3.69883637256429
CRYGC	3.80707923209759
SLK	6.09601697789093
POU3F1	3.27644733257628
C20orf32	3.73038306416409
USP52	6.05072368474818
HIGD1B	3.70915503339017
BAZ1B	6.54955332114647
USP6NL	5.58470347159662
SLCO2B1	4.77485631590205
ABCD4	4.79524312906991
DIMT1L	6.63815857448116
SLC25A46	8.17182244159897
LARP7	7.78400704172101
TEK	3.44930534725948
CD160	3.53776404944547
TERF2IP	7.22125595471883
PHF20	5.94247799421887
COL1A1	8.99230452848964
KIAA0090	6.86331581826732
GTPBP1	4.11358432576996
GRK5	3.80197580462727
AP1S2	5.33766518036544
RAB33B	4.69828902065618
CA11	4.23697824119238
ALDOC	6.01140250176633
NUDT1	5.05212472219003
ZNF212	5.41198738967896
ACBD3	7.30928982314227
ZNF83	6.38067164215365
PRDM2	5.30115509807567
GDPD5	5.78227919617698
PDCD4	6.03434946730076
CEP350	6.15827591840286
FOXP3	3.17537716092898
SMYD3	7.27677345270694
CST7	4.50505410533125
SELL	4.50449157695082
CIAO1	6.44183200452184
LGI2	3.60150127151136
WDR45	7.08517337306639
ANKRD6	7.83289899344152
LTBP4	4.637844486648
PSCD3	3.43683212051271
PYY	3.20375140182941
KCNC1	2.94640114042321
SIRT6	3.65802097469763
CCL19	3.88967263689086
ARHGEF9	4.97819713474731
ABR	4.41809606199114
C10orf22	6.29642222970724
STK17A	5.27452901573272
FOXE1	2.96628047796396
GML	3.15646133185505
CNGA3	2.7584897957741
CD38	4.57815498471746
ZDHHC6	7.42918259541396
NEFH	3.10489783803615
PGBD5	3.49230333015393
CTDSP2	7.81248962739948
RMND5B	5.72435678171883
ZNF257	4.89444819896787
DUSP4	3.48388882672718
FLJ22167	6.03192074548658
EXOSC7	7.37359707325796
ROR2	3.71696218413332
FOXM1	5.40859899972098
ZBTB48	5.41049599301089
BUD31	7.77083444867151
MAOA	3.86768718597906
CCDC41	5.27222582807552
TNNT3	3.34925854828701
FBXO11	5.69815493281292
GYPC	5.72696731695512
PLIN	3.36361197526397
RFXAP	3.40688813060643
C6orf15	3.76076420273049
RNF4	8.3003000475183
F8A1	7.739524351774
PPP1R3D	4.58049447380955
GRB2	7.95239804909029
TPM3	3.05829022020140
SYT13	3.42191342152451
EPB42	3.44682067696435
RP5-1077B9.4	5.36393688489241
EIF1	10.1302483126424
CETN3	8.00378552680484
FPGT	5.63056475950796
PRY	3.34516414100111
NTHL1	4.69615114105456
POLR2B	9.07983094051061
RPS28	12.4037335829036
GDF10	3.19937160826326
COQ9	7.25992912989316
P2RX3	2.86563898367417
GCC2	7.24259831365271
RARRES3	6.5396375905311
PLXNA1	5.87663637808359
WBP4	4.23439821324210
KIAA0100	5.72472596084721
PMF1	7.02416809380696
HS2ST1	5.55827203960798
CRELD2	6.41139137808559
C8G	3.0935183104323
CD82	6.05762161250738
PMM1	5.50936571343907
CBLL1	4.900492893713
LIM2	3.32694620405052
VAX2	4.58351815559248
SETDB1	5.3300668411686
LRAP	3.38056635746331
GCLM	6.53505261083138
CPEB3	4.01209542921074
PPM1A	6.34793152171072
INTS1	3.90021730136182
MMP16	3.0970353340043
CAMTA1	3.98569786330129
SAMSN1	6.03405437315383
DRD3	2.76667053794901
GMPPA	5.81794858760817
C11orf73	5.73174308358024
AIPL1	3.77629316160726
PTP4A2	9.30716272323616
IL24	3.55822532044727
BDKRB1	3.27551925450407
HPCA	3.42904809103617
MLF1	6.53674332244706
SEC14L1	6.38074482171568
CHFR	5.25739964087907
EMILIN1	3.60331913800235
THADA	6.30686814901424
TAF12	5.97074004655195
NDUFS4	8.44195772623132
ID1	4.99855488017399
PIK3CB	4.34166811899444
COL18A1	7.03019327812953
PDZD3	3.40053668401187
TBC1D17	5.32548196631903
COX8A	9.61998864831794
CDCA4	7.09457128992986
C2orf44	4.72495354127746
C9orf16	7.66430024725388
ERBB2IP	8.40939300802133
EMX2	8.7341640300926
FUS	6.7308476001456
NIPSNAP3B	3.695005109214
TF	3.18550853507075
CXorf56	5.53939206729898
CLCN4	3.61556509544487
PWP2	6.03976413778236
MMP15	3.49703767593943
MTMR14	6.44708966002192
NPR1	6.07313068036136
DNAL4	5.23282506039041
ELAC2	4.5424769427168
ASS1	9.81134235236983
IPP	5.44736679132517
TMEM59	9.73639109213653
POLR2J	8.55842468391835
SEC23IP	5.5518505741979
RGS4	4.67070108630348
UQCRC1	9.42467761001224
SNX6	8.01042054060884
DDX18	7.29957444886021
POLG	4.78698545879746
ADAM23	3.69977502407915
ZNHIT2	4.9857443262538
TFR2	3.45617917164841
NCDN	4.28402005121812
RAG1	3.35325264932653
POMT1	4.52045934534426
CYP1A1	3.35296033586524
SNAPC1	6.73760570915028
GNA11	5.14388280717892
CCDC52	2.66888271257224
CAPN1	6.75224791969127
DDHD2	7.19685782762793
UPF3A	5.57708498023759
LAGE3	5.97610668869174
GNRHR	2.97891884407571
UNC13B	6.1288109013796
TTLL4	5.25157761391413
PPBP	2.81857301113832
HTR3A	3.57619160735736
SDC2	6.60165167676208
ANKRD49	6.84758577122447
BTF3	10.7612288010681
COX7A2	10.4310925321142
SARS	8.98599876037476
C13orf18	4.08047957753308
CACNB1	3.70708145788581
QKI	6.32087985826934
SETMAR	6.06906586324116
LAMB4	3.23610574879334
MAN2B1	7.4348685777252
EML3	5.593050032751
ACADL	3.23717056521854
OFD1	8.02935783786057
CGA	3.27156760737608
EIF3EIP	9.89659220317077
PEX16	5.59785308414689
GNG12	8.49647932697086
HABP4	4.99308047898447
CNTN2	3.41016871930088
ASNSD1	6.96828763182232
FUT4	4.22210208540935
DBH	3.47622605975248
CD53	8.0431409578551
HIST1H2BJ	3.67532145364825
TFAP2B	3.09683159162510
ACF	3.55058710326724
TMEM11	5.97962702325521
CDH8	3.09917377666677
C3orf32	3.90973884176989
AGPS	5.41892371183799
C4orf18	3.24910274424560
PCCB	8.26533690570546
IPO13	4.63140866759632
PECI	6.9764989218254
UNG	7.8397289470453
C6orf105	3.59493357074141
GSTP1	9.42396286331086
SUV420H1	7.3612216213579
ARHGAP15	4.35413569286067
LTBR	7.13799190307585
TDRKH	3.08369113100563
PSG4	3.27709126726303
SLC9A3R1	6.61308462661242
NBPF3	9.59093488850718
SLC9A3	3.4715462264824
OSBP	6.57233581845354
PRR5	4.68702181760072
CHMP7	5.37397362388175
ADRA1A	3.04582880423601
ASAH1	7.02722889290157
FKBP4	7.09842361800259
ZNF350	4.49016989517523
DOM3Z	5.21623031067334
GIPR	3.72293215764474
AHI1	5.19839767826291
BST1	4.3609625221635
NCR2	3.44107706406601
NADSYN1	5.63595177124306
UBE2W	6.36243642356485
RGS14	4.71335106169662
KRT15	4.36590669436011
SCN11A	3.58521919065435
GFI1	3.61269530058548
FHL1	6.25083113252552
SMC6	6.90906190430517
GATA1	3.71825891241771
OSGEP	5.89905021878492
ARMC6	5.72147942402488
HK3	3.79177189071355
PSMD5	7.1742128388791
RSU1	7.42471476664455
RPL4	12.0283268116612
MAD2L1	8.26761425002763
RBPMS	4.6996716773493
EIF4A3	9.2452943204106
E4F1	4.69794757561154
DLEC1	3.47665103948118
PRPF3	5.91884104139248
EMR1	3.23614400529549
CHMP2B	7.54842719354822
CAMSAP1	4.16982670045386
RPS21	9.92358890653485
XCR1	3.13438291873629
ARID5A	4.49119387764958
RBM6	6.8635222717631
UBE2N	8.07273630772707
KLF4	5.36207156843514
MGC4172	5.04332805853564
LMO4	7.24841072186531
KLKB1	3.19032053754597
HDAC3	7.06829003879832
HP	4.84910974005661
SCHIP1	6.93684494352856
BTK	3.90364937252739
KRCC1	7.5437114314984
PRND	2.90134753092661
C6orf27	3.20029758037116
PIGL	4.13950357702287
CLCA1	3.6267896212223
C1orf112	4.73406849441361
OLFML2A	6.13093640467302
