Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_D04_547316
Composite Element REF	Signal
AACS	7.29184827645477
FSTL1	7.22384145799855
ELMO2	5.63188565317476
CREB3L1	3.93831360680869
RPS11	9.79122619541622
PNMA1	8.27371508130287
MMP2	5.34168454058369
SAMD4A	3.58724611254623
SMARCD3	5.78535408254258
A4GNT	3.44963217463070
C9orf39	3.09689109316334
PKNOX2	4.45992796898347
RALYL	3.30770569985397
ZHX3	4.55208096644904
ERCC5	5.41442433683766
RXFP3	3.07204622331485
APBB2	4.48520689373453
BBOX1	4.33619952600541
PRO0478	2.96869148708362
GCSH	8.76823511714424
XDH	4.14424855724066
EDN1	4.74560478083567
MTERF	7.46357675638426
PDCL3	8.01710710016803
CLK4	5.0113250342457
KCNG1	5.11976817359668
CXCR4	7.94815634733916
DECR1	8.11510415204847
SALL1	3.04238930634051
PTPRR	3.30171694385459
CADM4	3.24334281855417
IRAK1	9.76426995776471
CFHR5	3.43074910102939
HNRPD	7.87842226850119
TMSB10	11.6901691677002
CXCL3	3.67804774134783
LMAN1	4.29099106413269
SUHW1	3.35156931897715
CHD8	7.09134983069399
SUMO1	8.01230484547008
GP1BA	3.33462682659203
OR7A10	3.83602270510093
DDB1	7.50695158065467
CHRNA10	3.57612516176675
STYK1	3.72661222233285
MYO9B	4.87045145502959
CCNI	10.9589455028259
MMP7	7.52466903962746
EP300	7.05137491650791
CRNKL1	7.19926570650813
C9orf45	3.26750738332611
XAB2	4.11519370923889
RTN1	3.77361201037522
HIC2	3.49557998087905
TBX10	3.62833105838012
CENPQ	4.75004143654673
UTY	3.23491768624032
OR2W1	2.8560703197623
ATP5G2	10.8056819862782
ZEB1	3.31594805783124
ZG16	3.52033716443912
ERG	3.51262702937045
PARN	7.53346733414535
SOD2	5.36077034361066
JOSD3	7.64138170133077
ADAM5P	3.20481857283449
CHD9	5.00995638130846
hCG_40738	3.81693305413106
STK16	4.88504884607914
PDE1C	3.42889530542011
SEMA4D	5.51840775694464
AGPAT1	6.88972610328857
TOB2	6.62801393319472
BANK1	4.30527454297979
MAP3K3	5.40520795750369
MAX	4.7161454180296
GRM2	3.67387568766156
OSBPL8	7.21583260782959
PROSC	6.89710150307427
NR4A2	4.64353629409797
RICS	5.53403233846862
PIR	5.84920511367733
PPCS	10.7185370567215
IPO9	6.01885539104212
LONP1	7.39358239828394
EVC	4.01114687729231
CXCL13	4.26992394989061
SCYL3	5.50675974242972
KIAA1199	6.09596516422524
SORL1	9.60945279916446
NAT10	6.44949251064406
CHD1	5.7771103054607
SYN3	3.73221815611471
DMC1	3.77750285176003
SLC22A2	3.76490246030325
SERPINF1	5.31449390722358
C20orf27	6.64623644626789
OR7A17	3.07349716059582
RPS6KA5	5.69187522317157
LHB	3.56827971997637
TAOK3	4.91602002316627
STK25	6.34564725954556
