Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A05_543736
Composite Element REF	Signal
AACS	6.9426911416815
FSTL1	6.73899273908181
ELMO2	5.50814476194729
CREB3L1	3.86774891889299
RPS11	9.58011546364778
PNMA1	8.07793623379626
MMP2	6.10423625044932
SAMD4A	4.07168166532477
SMARCD3	6.52933987478192
A4GNT	3.72254386276133
C9orf39	3.66336254562946
PKNOX2	3.7368940476094
RALYL	3.44502432092166
ZHX3	4.07959513333936
ERCC5	5.78458802183851
RXFP3	3.07889317955699
APBB2	3.63550070577207
BBOX1	7.02342628742833
PRO0478	3.06497525756735
GCSH	7.67427935062727
XDH	3.55066412861206
EDN1	3.97127331169335
MTERF	6.78237439196988
PDCL3	6.83899805514154
CLK4	5.92645535397682
KCNG1	3.65950002099256
CXCR4	8.28774281107701
DECR1	8.80232199969294
SALL1	2.96921971203065
PTPRR	3.15369551034816
CADM4	3.32783439294277
IRAK1	10.1317229096929
CFHR5	2.99103252956533
HNRPD	7.94632661796028
TMSB10	11.1000254428592
CXCL3	3.66398604724198
LMAN1	3.87286694504774
SUHW1	3.46791408311464
CHD8	6.50987163222096
SUMO1	6.82312589441199
GP1BA	3.39907408908325
OR7A10	3.83838856732806
DDB1	7.70707376736187
CHRNA10	3.73181174475270
STYK1	3.94536033341918
MYO9B	5.56652316323321
CCNI	9.30175768521322
MMP7	7.05859146324411
EP300	6.21667319239462
CRNKL1	6.70254462536092
C9orf45	3.40170894790605
XAB2	4.26118345957823
RTN1	4.16352776020542
HIC2	4.49020772911622
TBX10	3.90704550926296
CENPQ	5.48256007658429
UTY	3.09398390754955
OR2W1	2.85428221269664
ATP5G2	10.6699206122936
ZEB1	3.43695052908845
ZG16	3.55149365164262
ERG	3.79221717694304
PARN	7.8660586511385
SOD2	5.56927780472647
JOSD3	7.78326944515632
ADAM5P	3.27377881316534
CHD9	5.3107648940553
hCG_40738	3.77743021065230
STK16	4.94721064362398
PDE1C	3.83917379521249
SEMA4D	6.60095505638844
AGPAT1	6.67515559492832
TOB2	5.31583462597831
BANK1	3.39788179890522
MAP3K3	5.8346657611396
MAX	4.8755099566049
GRM2	3.78926059852131
OSBPL8	6.42307422285421
PROSC	5.22535161355678
NR4A2	4.87423019859713
RICS	5.72096115257759
PIR	5.64704301439841
PPCS	8.690181105911
IPO9	7.06827609605242
LONP1	7.73636580039572
EVC	4.17342751085252
CXCL13	4.80455399801824
SCYL3	5.783403045735
KIAA1199	4.72762739232215
SORL1	8.69747804948427
NAT10	7.18298924689817
CHD1	5.52171197189428
SYN3	3.61398770130139
DMC1	4.08188062698814
SLC22A2	4.03815190233198
SERPINF1	6.23854541655246
C20orf27	5.42660503223929
OR7A17	3.07792189514424
RPS6KA5	5.69115853147005
LHB	3.36369939130184
TAOK3	5.79246424505324
STK25	5.74141380259889
SLC12A4	3.69983770619364
BRCA1	3.63719343737400
GBL	7.1028492272703
C14orf108	8.41095268037657
CDC25B	7.33711798085128
BMP3	3.06671808889311
MAP1LC3C	3.37592196695202
TMEM180	3.69663775926618
CRYGC	3.63186500963564
SLK	5.52245725505023
POU3F1	3.09236567798027
C20orf32	3.76905784574402
USP52	7.09905255072829
HIGD1B	3.9412090167628
BAZ1B	7.85607592550244
USP6NL	5.15059300673799
SLCO2B1	4.71170330831319
ABCD4	4.55390368576443
DIMT1L	6.9877535675059
SLC25A46	7.40313753242584
LARP7	7.88437140124162
TEK	3.65480764932364
CD160	3.68051169361897
TERF2IP	7.53689826156006
PHF20	5.98768904312683
COL1A1	5.81368442518196
KIAA0090	6.03981299063617
GTPBP1	4.52181750621275
GRK5	3.93769933145301
AP1S2	5.90953963007332
RAB33B	4.48606299812586
CA11	4.22187249781506
ALDOC	4.67322463076727
NUDT1	5.45736998174091
ZNF212	6.33890813082626
ACBD3	7.12631723039705
ZNF83	5.93516873730052
PRDM2	5.25680543910791
GDPD5	4.4670394237123
PDCD4	5.27768852375941
CEP350	6.09467904202988
FOXP3	3.30157196783998
