Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_B10_543602
Composite Element REF	Signal
AACS	6.05788103009147
FSTL1	7.08706815790044
ELMO2	4.36828437500407
CREB3L1	3.96931054160949
RPS11	10.0009127670869
PNMA1	7.65249314717809
MMP2	5.9804285612821
SAMD4A	3.5268119053914
SMARCD3	6.32699912691752
A4GNT	3.80107116288058
C9orf39	3.61215792108234
PKNOX2	4.09229179295983
RALYL	3.57630707236264
ZHX3	4.14306319040624
ERCC5	4.96534720091172
RXFP3	3.18684283445073
APBB2	3.58450162826637
BBOX1	3.5642889523142
PRO0478	2.93460189063858
GCSH	9.3345617716795
XDH	3.82247640321189
EDN1	4.86428213287633
MTERF	6.6826160684238
PDCL3	6.98726314453418
CLK4	5.83104518111844
KCNG1	3.65325259419665
CXCR4	9.5022144972813
DECR1	8.67282746903834
SALL1	3.32118865519686
PTPRR	4.07870884379564
CADM4	3.59084650936646
IRAK1	8.20669976075626
CFHR5	3.28015666027595
HNRPD	5.67222590924573
TMSB10	12.6236321463738
CXCL3	3.4139684891172
LMAN1	3.55782709499732
SUHW1	3.7311947125622
CHD8	4.18546709716436
SUMO1	8.75762083672418
GP1BA	3.51125246225106
OR7A10	3.47119765338585
DDB1	7.41816028875816
CHRNA10	3.99113670490555
STYK1	3.43495661548763
MYO9B	4.03740166827086
CCNI	9.16254545539739
MMP7	9.79515403153157
EP300	4.83301205030598
CRNKL1	7.0287227211581
C9orf45	3.18804139667616
XAB2	4.57108762204914
RTN1	3.53700612824058
HIC2	3.72120330699624
TBX10	3.65889298606635
CENPQ	4.98557722633189
UTY	3.12976943945682
OR2W1	2.83592163855405
ATP5G2	10.9903577169075
ZEB1	3.45624536052115
ZG16	4.13424722191778
ERG	4.06203131077704
PARN	5.78776210265022
SOD2	4.39363175411312
JOSD3	9.82496272096383
ADAM5P	3.48713112636279
CHD9	6.06773419296985
hCG_40738	3.61166558813387
STK16	5.77608227541394
PDE1C	3.79862614886730
SEMA4D	4.6811853203222
AGPAT1	5.116891385671
TOB2	4.43419806771010
BANK1	3.49384482396563
MAP3K3	4.97670203342408
MAX	5.07956632609488
GRM2	3.85450289872347
OSBPL8	6.6850104081775
PROSC	4.93073183410756
NR4A2	4.41080676313294
RICS	3.77641516025779
PIR	6.15440944453693
PPCS	9.70437819057881
IPO9	5.0198650474103
LONP1	6.07958634474948
EVC	4.06665519496309
CXCL13	5.0333920810886
SCYL3	5.83886835139242
KIAA1199	4.59999658289658
SORL1	6.6195719658668
NAT10	6.39413739044666
CHD1	4.83336574231896
SYN3	4.12264523924951
DMC1	4.03890660125684
SLC22A2	3.64729185871890
SERPINF1	6.24907626215199
C20orf27	5.9281498430525
OR7A17	3.59909537744492
RPS6KA5	4.38214706497098
LHB	3.7548730300693
TAOK3	4.197105082307
STK25	5.15890132686646
SLC12A4	3.67579253918897
BRCA1	3.70320445338683
GBL	5.89608179927246
C14orf108	7.05632150884963
CDC25B	5.67338779997295
BMP3	3.37409903045276
MAP1LC3C	3.58553256789318
TMEM180	3.66649209895
CRYGC	3.81682029226834
SLK	5.51016546203876
POU3F1	3.43269519225279
C20orf32	4.03447255931148
USP52	4.72461481112845
HIGD1B	4.59220893318963
BAZ1B	5.22771200034424
USP6NL	6.0133826536034
SLCO2B1	4.05336264960085
ABCD4	4.56225546936465
DIMT1L	6.83861987220902
SLC25A46	7.0024799209651
LARP7	6.63428650075976
TEK	3.79493389043945
CD160	3.91432609295691
TERF2IP	6.8838934683139
PHF20	4.46573030007417
COL1A1	5.93465569711106
KIAA0090	4.51052382200648
GTPBP1	4.3095394967908
GRK5	3.79439811639183
AP1S2	5.04582847102538
RAB33B	5.73115731132842
CA11	4.86653347273874
ALDOC	5.69225376529855
NUDT1	5.22919595734105
ZNF212	5.33490242503376
ACBD3	6.68875133579074
ZNF83	8.01059298265275
PRDM2	4.44870817658339
GDPD5	4.13886017276306
PDCD4	6.40999088110224
CEP350	4.62558500327446
FOXP3	3.41598451182889
SMYD3	6.78448468479948
CST7	4.2837191589865
SELL	4.07299759982405
CIAO1	6.28535579161911
LGI2	3.89147390132403
WDR45	6.77308003246736
ANKRD6	5.80341073966159
LTBP4	4.02936036563274
PSCD3	3.27271491902079
PYY	3.60639990339936
KCNC1	3.29275734854418
SIRT6	4.06011801608169
CCL19	4.09330149622361
ARHGEF9	4.04109762834359
ABR	5.10119971195085
C10orf22	5.82744476120593
STK17A	5.48490056256098
FOXE1	3.44573982347047
GML	3.27411378592857
CNGA3	3.28439360706064
CD38	3.47776258891862
ZDHHC6	8.3512370279107
NEFH	3.89666896988650
PGBD5	4.12409448475193
CTDSP2	5.78755129226132
RMND5B	4.7740403077465
ZNF257	4.47683419458029
DUSP4	3.49389001137631
FLJ22167	6.74870276241817
EXOSC7	6.60566319002216
ROR2	3.74193475480454
FOXM1	4.18834873028268
ZBTB48	4.89490544578111
BUD31	9.37388788994179
MAOA	6.47301080138464
CCDC41	4.02168081957105
TNNT3	4.03187095174713
