Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_C03_543702
Composite Element REF	Signal
AACS	6.80515619363495
FSTL1	7.92532805934397
ELMO2	5.22214071505513
CREB3L1	4.39199766340799
RPS11	9.86237278962483
PNMA1	7.42998489044148
MMP2	6.85005489203786
SAMD4A	3.84635856804993
SMARCD3	4.14266956527889
A4GNT	3.65166936853092
C9orf39	3.42244812723853
PKNOX2	4.19871015667013
RALYL	3.26707183393597
ZHX3	3.93892771043721
ERCC5	6.47427372334754
RXFP3	3.04399364647666
APBB2	3.65837167314313
BBOX1	4.8633377506273
PRO0478	3.36085605706865
GCSH	7.92312615071186
XDH	3.83737558266829
EDN1	6.83247874201374
MTERF	6.60649840464834
PDCL3	7.62223395242761
CLK4	6.71788127785017
KCNG1	3.98445418457122
CXCR4	7.89480037416739
DECR1	7.69657992556535
SALL1	2.93107021245947
PTPRR	3.38005382701547
CADM4	3.37460081306223
IRAK1	9.71932938512501
CFHR5	3.08677571823844
HNRPD	8.08327171332496
TMSB10	11.9166178136469
CXCL3	5.05960340380586
LMAN1	3.97020122929377
SUHW1	3.36365394631629
CHD8	5.26239153479198
SUMO1	7.78162475509283
GP1BA	3.14110677852340
OR7A10	3.92886522283214
DDB1	7.64333084536227
CHRNA10	3.77788154967465
STYK1	3.88201785317389
MYO9B	4.68010386735991
CCNI	9.96934444751067
MMP7	9.8867050243303
EP300	6.26195687619536
CRNKL1	6.62344873856377
C9orf45	3.24498001674264
XAB2	4.08653229717063
RTN1	4.80903868117146
HIC2	3.93089855242235
TBX10	3.58237528300674
CENPQ	4.09483445502427
UTY	3.1289406620591
OR2W1	2.77900782659707
ATP5G2	10.9612181005673
ZEB1	3.80556716078152
ZG16	3.49412459678021
ERG	4.07697832677475
PARN	6.59328476880775
SOD2	5.40858837544031
JOSD3	8.83113392622906
ADAM5P	3.213789506971
CHD9	6.31525931595126
hCG_40738	3.99768799146277
STK16	5.00571311553291
PDE1C	3.7032644515991
SEMA4D	5.54554686994237
AGPAT1	5.45121639512969
TOB2	5.56644872202602
BANK1	4.03893690153385
MAP3K3	5.31173695300961
MAX	5.00493913257012
GRM2	3.71025919030949
OSBPL8	6.72876908532592
PROSC	6.39154004834784
NR4A2	7.83943130996144
RICS	5.87890388747271
PIR	6.8580071836963
PPCS	8.68795430684199
IPO9	6.4575628648704
LONP1	6.46259513000182
EVC	4.02152698035253
CXCL13	3.81620995609773
SCYL3	5.50009118000193
KIAA1199	5.77342477893736
SORL1	9.01598887045037
NAT10	7.6826529279392
CHD1	7.39305823208288
SYN3	3.58306038043502
DMC1	3.88803556921122
SLC22A2	3.57916963205193
SERPINF1	5.37577657198873
C20orf27	6.00561067273707
OR7A17	3.1545397044346
RPS6KA5	5.43059356057790
LHB	3.35282445928503
TAOK3	5.45171054947455
STK25	6.08577067302554
SLC12A4	3.54570428324531
BRCA1	4.46138401986129
GBL	4.95140033826532
C14orf108	7.57406290490451
CDC25B	7.40221293299208
BMP3	3.21430044232165
MAP1LC3C	3.41175612504399
TMEM180	3.43610150760679
CRYGC	3.7090851801919
SLK	6.88031891114862
POU3F1	3.22280006089923
C20orf32	3.7888612845094
USP52	5.8031245370474
HIGD1B	3.55811447318549
BAZ1B	6.96765925613147
USP6NL	6.00146970280253
SLCO2B1	4.56902139254145
ABCD4	4.33786617642018
DIMT1L	6.81346357080013
SLC25A46	7.28610733414385
LARP7	7.03788723722152
TEK	3.63528181901922
CD160	3.91961132984825
TERF2IP	7.10267016969865
PHF20	6.95394978825657
COL1A1	7.63940342240712
KIAA0090	5.69580186345623
