Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_D05_543626
Composite Element REF	Signal
AACS	7.6218279767115
FSTL1	8.79757158810487
ELMO2	5.99076574063827
CREB3L1	4.86401748846135
RPS11	9.78186414112644
PNMA1	7.90534623648376
MMP2	7.30106925288738
SAMD4A	4.12557853482303
SMARCD3	6.99250179672456
A4GNT	3.66199506665853
C9orf39	3.14945827600829
PKNOX2	4.87361411083324
RALYL	3.14376481354864
ZHX3	4.22856595017238
ERCC5	5.90434355567698
RXFP3	3.09698966733830
APBB2	4.00928088060869
BBOX1	3.1538831860801
PRO0478	3.06478485957967
GCSH	7.97662154382303
XDH	3.59258569237626
EDN1	6.76786761473229
MTERF	5.92806705043167
PDCL3	7.89423714867831
CLK4	5.75097189383949
KCNG1	4.20005880711344
CXCR4	9.4464111763592
DECR1	7.89633443666043
SALL1	4.12464875708029
PTPRR	3.15584582502856
CADM4	3.35084829177838
IRAK1	9.20391356595027
CFHR5	3.1032921311113
HNRPD	7.81897296055245
TMSB10	12.4377827992327
CXCL3	5.03689179579827
LMAN1	4.21273756109901
SUHW1	3.20582307300668
CHD8	6.2985868864651
SUMO1	8.42351271286786
GP1BA	3.21022929139561
OR7A10	3.99877780368666
DDB1	7.96600396545324
CHRNA10	3.46556964304204
STYK1	3.57483313284046
MYO9B	4.50026822225185
CCNI	10.3095036929959
MMP7	9.55277543978841
EP300	6.60898333500153
CRNKL1	6.93657045845193
C9orf45	3.21120195475971
XAB2	3.59346327488937
RTN1	4.22028119069987
HIC2	3.89029981410703
TBX10	3.43550215169848
CENPQ	3.87561522397961
UTY	3.09579603275728
OR2W1	2.93735936129881
ATP5G2	10.4782483525622
ZEB1	4.19641362298202
ZG16	3.54654419815599
ERG	3.9116808126328
PARN	6.90082581939935
SOD2	7.02177230207686
JOSD3	7.8947313705117
ADAM5P	3.17104467074056
CHD9	6.01551884309085
hCG_40738	3.95026478300067
STK16	4.74141966628641
PDE1C	3.39168609195412
SEMA4D	4.96413600831090
AGPAT1	6.42149499097741
TOB2	5.98434248427112
BANK1	4.17087021413254
MAP3K3	5.05048821942414
MAX	4.9082046782042
GRM2	3.64441127049085
OSBPL8	7.64576176430136
PROSC	6.29241839187905
