Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_E05_543642
Composite Element REF	Signal
AACS	6.52409712661299
FSTL1	9.5788289623999
ELMO2	5.9994306250855
CREB3L1	4.43101050901511
RPS11	9.68268207200563
PNMA1	8.16439645418892
MMP2	9.00303505079608
SAMD4A	4.03509272953028
SMARCD3	5.784981633214
A4GNT	3.51550314438896
C9orf39	3.28751878619127
PKNOX2	4.10950724457886
RALYL	3.26109979497989
ZHX3	4.47607188403825
ERCC5	6.49019536279158
RXFP3	3.12902464638637
APBB2	5.22948848767279
BBOX1	3.87041796560547
PRO0478	2.97703792634491
GCSH	7.76523965465659
XDH	4.38521783536746
EDN1	4.12642673381774
MTERF	6.73567222099968
PDCL3	8.23125429257163
CLK4	6.26086169026658
KCNG1	3.37916865901384
CXCR4	8.6418960727384
DECR1	7.30275033047357
SALL1	3.14646208898851
PTPRR	3.42613816991783
CADM4	3.33450080560824
IRAK1	8.69184871298522
CFHR5	3.17303537292089
HNRPD	7.98868590012957
TMSB10	12.5602682201365
CXCL3	3.96283450661497
LMAN1	4.15876807087734
SUHW1	3.24395144884490
CHD8	5.95530092586062
SUMO1	7.99777558224323
GP1BA	3.24935885744272
OR7A10	3.78728663977350
DDB1	7.7189413730718
CHRNA10	3.58517975577773
STYK1	3.3393639872341
MYO9B	4.51649728654091
CCNI	10.4136299948319
MMP7	8.1347286842209
EP300	6.2833252202177
CRNKL1	7.49752686113699
C9orf45	3.26691175649897
XAB2	3.92042300701238
RTN1	6.26570216906322
HIC2	3.7090980149187
TBX10	3.34399635395099
CENPQ	5.05401699871855
UTY	3.09369737923434
OR2W1	2.84259213900050
ATP5G2	10.1822603700341
ZEB1	4.88130863992478
ZG16	3.42023485795381
ERG	4.08930968304394
PARN	6.73276293012591
SOD2	6.9886178638709
JOSD3	7.50414966198377
ADAM5P	3.13613220175863
CHD9	5.68357218245501
hCG_40738	3.85123386512732
STK16	5.60895052091523
PDE1C	3.3816026214843
SEMA4D	6.30240172019595
AGPAT1	7.4069279533785
TOB2	6.00720456426249
BANK1	3.80861799922794
MAP3K3	5.71571748832636
MAX	5.32003876397385
GRM2	3.80028604887014
OSBPL8	7.78383284190085
PROSC	6.26651534547105
NR4A2	4.48882351211075
RICS	4.51074968311033
PIR	3.91695933606545
PPCS	8.91252071818945
IPO9	6.2927570677514
LONP1	7.11168698417784
EVC	4.46148032159202
CXCL13	5.22042556520774
SCYL3	5.66216374937801
KIAA1199	5.91156516165733
SORL1	7.26169940362584
NAT10	6.75778531301559
CHD1	6.46374910834598
SYN3	3.39631550287981
DMC1	3.80850055944988
SLC22A2	3.61281294165188
SERPINF1	10.0729392301628
C20orf27	5.8932383816447
OR7A17	3.12233195785036
RPS6KA5	4.73564350827869
LHB	3.16219353695138
TAOK3	5.3531343038445
STK25	6.0452760686096
SLC12A4	3.45185666297643
BRCA1	3.76908347907335
GBL	5.08801016830955
C14orf108	8.19841176747541
CDC25B	7.94817693798734
BMP3	3.13216002045348
MAP1LC3C	3.30744987172941
TMEM180	3.97405225789783
CRYGC	3.45222628166811
SLK	6.35852055417909
POU3F1	3.10603107736608
C20orf32	3.75464971336838
USP52	5.7361836867719
HIGD1B	3.79168436681948
BAZ1B	6.85798716276807
USP6NL	6.25339754765753
SLCO2B1	4.92201385969874
ABCD4	4.69503825412513
DIMT1L	6.22141542569422
SLC25A46	7.97016242738623
LARP7	7.04968754913033
TEK	3.79916371574462
CD160	3.62013523640935
TERF2IP	7.92669476690126
PHF20	6.2382038313771
COL1A1	9.36542684285028
KIAA0090	5.55864363665337
GTPBP1	4.43742355822823
GRK5	4.65501704055499
AP1S2	7.33059018945978
RAB33B	4.33503781853924
CA11	4.30294495780663
ALDOC	5.51917622948201
NUDT1	5.64280046301207
ZNF212	5.80506829681521
ACBD3	8.41388406662642
ZNF83	6.42640476578334
PRDM2	5.16521631365855
GDPD5	6.2622405448517
PDCD4	6.13838305629658
CEP350	6.58410382249533
FOXP3	3.16104682461695
SMYD3	7.43231722128507
CST7	5.77370767917727
SELL	4.74591082773796
CIAO1	6.53807333657494
LGI2	3.59810317357139
WDR45	7.23581645591411
ANKRD6	6.61087142461589
LTBP4	4.46576305198684
PSCD3	3.31186774910292
PYY	3.17624392633333
KCNC1	2.95725617407699
SIRT6	4.0821336072563
CCL19	5.22036755142102
