Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E08_516348
Composite Element REF	Signal
AACS	5.77507783332652
FSTL1	6.47183655707064
ELMO2	5.23653585700014
CREB3L1	3.62924943790000
RPS11	9.94702563906935
PNMA1	7.72627980699324
MMP2	6.33712628567846
SAMD4A	3.53163846337123
SMARCD3	8.44937046674992
A4GNT	3.54023873895508
C9orf39	3.14868727842069
PKNOX2	3.99489720421187
RALYL	3.44396829071899
ZHX3	4.63461798056245
ERCC5	6.41489487561602
RXFP3	2.90835587722363
APBB2	4.58775600302675
BBOX1	5.82876416414848
PRO0478	3.33691796983596
GCSH	9.04640747495381
XDH	3.94595243023703
EDN1	3.51307829934827
MTERF	6.50430159377949
PDCL3	6.31589818207369
CLK4	6.86108018349229
KCNG1	4.64260647675139
CXCR4	7.54065225271376
DECR1	8.3724402611302
SALL1	3.35760260857692
PTPRR	3.37254946155546
CADM4	3.54423281223366
IRAK1	8.11780382670927
CFHR5	3.21569458553719
HNRPD	7.07695680445774
TMSB10	11.8658028261112
CXCL3	3.76215744772981
LMAN1	3.69113658848476
SUHW1	3.79620402183961
CHD8	5.58047940732422
SUMO1	7.10456884170674
GP1BA	3.23069099442664
OR7A10	3.80717693360395
DDB1	7.44695063282701
CHRNA10	3.74765479393499
STYK1	3.41641846075885
MYO9B	4.30754214739693
CCNI	10.8770386256414
MMP7	3.16930450749535
EP300	5.49803792207148
CRNKL1	6.5821792021284
C9orf45	3.34235725790067
XAB2	4.08655966991907
RTN1	3.28836876916065
HIC2	3.89970910040341
TBX10	3.46448517611540
CENPQ	3.68861891946316
UTY	3.23956662803509
OR2W1	3.06875925664289
ATP5G2	11.1432309196483
ZEB1	3.15788565189651
ZG16	3.39200474081674
ERG	3.80604155628092
PARN	6.75788386774552
SOD2	3.39248513706277
JOSD3	7.93279569060779
ADAM5P	3.55355371568842
CHD9	5.784791179846
hCG_40738	3.99559577388447
STK16	4.96818337574074
PDE1C	3.52255387533770
SEMA4D	5.13488595111323
AGPAT1	7.28507564417617
TOB2	5.68331377494985
BANK1	3.63027623606376
MAP3K3	5.40420645124502
MAX	5.64828208854456
