Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F07_516320
Composite Element REF	Signal
AACS	7.13211403980951
FSTL1	9.3490642641352
ELMO2	5.57915294007709
CREB3L1	4.36674801796981
RPS11	9.70016981242759
PNMA1	8.74673900307955
MMP2	6.65936609014411
SAMD4A	3.56751155482655
SMARCD3	5.12612183674158
A4GNT	3.66005434068723
C9orf39	3.12493204321368
PKNOX2	4.76103051767609
RALYL	3.29571709515444
ZHX3	4.38446732288678
ERCC5	5.69073963977891
RXFP3	3.14617072204169
APBB2	3.70959890088553
BBOX1	3.20059423290191
PRO0478	2.94659693319771
GCSH	7.35889462291143
XDH	3.82257705460047
EDN1	3.25821247623065
MTERF	6.64137100627997
PDCL3	7.50848947930671
CLK4	5.29774528262412
KCNG1	4.18800274891681
CXCR4	5.26102272741194
DECR1	7.5344330295288
SALL1	4.21947535105065
PTPRR	3.35335940774062
CADM4	3.58799572088967
IRAK1	8.71196403054869
CFHR5	3.14311738917408
HNRPD	7.94270894728609
TMSB10	11.7479869292655
CXCL3	3.78007974506588
LMAN1	3.90387256223362
SUHW1	4.04650806068923
CHD8	6.56168836263359
SUMO1	7.69037839185639
GP1BA	3.09547863647024
OR7A10	3.72934514308856
DDB1	7.93913734669218
CHRNA10	3.56131918079151
STYK1	3.55346430563353
MYO9B	4.66056144589533
CCNI	9.69037061177634
MMP7	10.7127214642488
EP300	5.77336038421913
CRNKL1	6.24042087092673
C9orf45	3.26731834703454
XAB2	4.73931224531306
RTN1	4.21800146599063
HIC2	4.11864710339118
TBX10	3.4367269167583
CENPQ	4.13329965231849
UTY	3.07872268607972
OR2W1	2.93011666811187
ATP5G2	10.6666476889017
ZEB1	3.70182063336238
ZG16	3.86213069157766
ERG	3.53260871229603
PARN	6.03953658214504
SOD2	4.69857072352723
JOSD3	8.96807972753059
ADAM5P	2.91932036011431
CHD9	5.39557087365518
hCG_40738	4.59752907377534
STK16	4.76116010514803
PDE1C	3.41987584814691
SEMA4D	5.93333127688944
AGPAT1	5.41688615973445
TOB2	5.28640561351893
BANK1	3.32185214534962
MAP3K3	5.42047363419484
MAX	5.32827020046761
GRM2	3.73581226478591
OSBPL8	7.30732312203497
PROSC	5.88679989800469
NR4A2	3.9429235814793
RICS	5.88612299593881
PIR	6.33973014510746
PPCS	9.06128878027582
IPO9	6.66560374471202
LONP1	6.44300447525899
EVC	3.91758314135033
CXCL13	4.70727233830195
SCYL3	5.32174646977587
KIAA1199	6.53817069321749
SORL1	9.28057921629923
NAT10	6.14756921281742
CHD1	6.13170375854523
SYN3	3.62353313361095
DMC1	4.40793716499022
SLC22A2	3.28628687327914
SERPINF1	6.76428686724979
C20orf27	5.04598840327823
OR7A17	3.26417067758134
RPS6KA5	4.34077849528444
LHB	3.67936175716502
TAOK3	3.94313236959875
STK25	5.96349576716768
SLC12A4	3.63366510332155
BRCA1	4.84114286925449
GBL	5.26202069933521
C14orf108	8.24829040550289
CDC25B	8.39730774437438
BMP3	3.06369196930211
MAP1LC3C	4.8140483648378
TMEM180	3.9166886026092
CRYGC	3.64526746308659
SLK	6.1702935322984
POU3F1	3.13597178387847
C20orf32	3.79951928158302
USP52	6.77441870898591
HIGD1B	3.99402086096803
BAZ1B	6.53771239641661
USP6NL	5.76894430682101
SLCO2B1	3.69646202252843
ABCD4	4.5785366983717
DIMT1L	5.90077893440313
SLC25A46	6.25905920200851
LARP7	6.89042618171848
TEK	3.60352187478576
CD160	3.67642080863471
TERF2IP	5.69057437208743
PHF20	5.49353103774644
COL1A1	7.66243499156816
KIAA0090	5.35848715286354
GTPBP1	4.09424782422805
GRK5	3.85834038224015
AP1S2	4.63270338801938
RAB33B	3.88832492644904
CA11	4.46752122365037
ALDOC	5.49720510194716
NUDT1	4.7362635966006
ZNF212	5.53043420011254
ACBD3	7.02612929348932
ZNF83	5.97977118123103
PRDM2	4.83566985668241
GDPD5	7.80441633488697
PDCD4	5.95023754645909
CEP350	6.10895190742306
FOXP3	3.20977104303303
SMYD3	6.56238614724005
CST7	3.84542687958594
SELL	3.31948759302443
CIAO1	6.01984978055917
LGI2	3.81972936320026
WDR45	6.73224890411182
ANKRD6	5.7440707992861
LTBP4	4.34926745853792
PSCD3	3.39673110992133
PYY	3.13681467825092
KCNC1	3.33441637630223
SIRT6	3.86014630334075
CCL19	3.8245538437614
ARHGEF9	5.02933744700313
ABR	4.81386562381985
C10orf22	6.42364619564902
STK17A	4.78226099626603
FOXE1	4.73556511344339
GML	3.07672493004413
CNGA3	2.83409100303953
CD38	3.55973720209581
ZDHHC6	8.05628859427812
NEFH	4.1787221350792
PGBD5	3.85508146851425
CTDSP2	6.85109867832661
RMND5B	5.52131396259509
