Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G02_516324
Composite Element REF	Signal
AACS	6.55185679198714
FSTL1	9.38815356720151
ELMO2	5.68549534424027
CREB3L1	4.77069453798984
RPS11	9.74749653420395
PNMA1	8.54484820006751
MMP2	9.16199802376324
SAMD4A	3.93029879974012
SMARCD3	6.20120007066952
A4GNT	3.74085695231623
C9orf39	3.19446440966761
PKNOX2	3.9689343610283
RALYL	4.44327758584736
ZHX3	4.49933741297187
ERCC5	4.85847859151431
RXFP3	3.01993272850464
APBB2	4.3142972355845
BBOX1	8.4854957168616
PRO0478	2.95406093704608
GCSH	7.49926368151399
XDH	3.43526127119063
EDN1	4.06833760715264
MTERF	5.81351377239475
PDCL3	8.0809998056338
CLK4	5.05308683597606
KCNG1	4.12768975504686
CXCR4	5.1108217904577
DECR1	8.01918789206758
SALL1	3.32847072908316
PTPRR	3.37007860735046
CADM4	3.78312643785891
IRAK1	9.13404521998755
CFHR5	3.20832352720747
HNRPD	7.68951102760412
TMSB10	11.7166610266682
CXCL3	3.63030334661398
LMAN1	4.23527977427182
SUHW1	3.38721431468121
CHD8	5.56683702829666
SUMO1	8.11359847328704
GP1BA	3.09826634197139
OR7A10	3.97576550688598
DDB1	7.27490588972791
CHRNA10	3.53576054755756
STYK1	3.27769448230762
MYO9B	4.12259674274715
CCNI	10.5060300400315
MMP7	7.14518709888841
EP300	6.74651524371798
CRNKL1	6.38711174203577
C9orf45	3.48336473174311
XAB2	4.1097830001342
RTN1	4.3036287336292
HIC2	4.5038017227639
TBX10	3.50378680400947
CENPQ	4.58069595855211
UTY	3.20757710757238
OR2W1	2.85082674097827
ATP5G2	10.040494415836
ZEB1	4.1150450793694
ZG16	3.61039509959672
ERG	3.83528019712314
PARN	6.81520785902563
SOD2	4.42175371580803
JOSD3	7.71959834139169
ADAM5P	3.17150927623335
CHD9	5.09379037019485
hCG_40738	3.91908772397092
STK16	5.30003438161709
PDE1C	3.64080460661034
SEMA4D	4.48750457595965
AGPAT1	6.59154893976999
TOB2	6.62457248463542
BANK1	3.49643885320224
MAP3K3	6.03269501882843
MAX	4.82690502766452
GRM2	4.14962805415138
OSBPL8	7.17331983987328
PROSC	6.44261375754381
NR4A2	5.93634975434285
RICS	4.51843549245483
PIR	5.68065805366833
PPCS	9.40253147737263
IPO9	6.32936865674397
LONP1	7.32671831191164
EVC	4.64549902295293
CXCL13	4.45487520849416
SCYL3	4.99140567438235
KIAA1199	5.56564077047346
SORL1	8.04364979493405
NAT10	6.61134083777047
CHD1	5.53139240786773
SYN3	3.35994643116197
DMC1	3.71669064292385
SLC22A2	3.56469935162564
SERPINF1	9.72650880550532
C20orf27	5.3786028505509
OR7A17	3.20409915131885
RPS6KA5	4.07624655094399
LHB	3.40812432899858
TAOK3	4.55086641797559
STK25	5.40665734443059
SLC12A4	3.6361364736758
