Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_H05_516360
Composite Element REF	Signal
AACS	5.57015925066757
FSTL1	9.20406317082415
ELMO2	4.83195470473567
CREB3L1	4.57130176788319
RPS11	9.77419145891819
PNMA1	8.0262944641597
MMP2	8.94788917709151
SAMD4A	3.65072407580467
SMARCD3	5.27035749846214
A4GNT	3.61677989985069
C9orf39	3.29540840279376
PKNOX2	3.8640816462779
RALYL	3.48516647108356
ZHX3	4.31922157771119
ERCC5	5.33610565924121
RXFP3	3.62688874486389
APBB2	4.50929913832802
BBOX1	4.76836284750086
PRO0478	2.85860379370223
GCSH	8.01774802942917
XDH	3.76250461109313
EDN1	3.75069216549647
MTERF	6.4955759554262
PDCL3	6.90180324097125
CLK4	5.21556602929379
KCNG1	3.44832316022476
CXCR4	9.07780180333872
DECR1	7.9093566899588
SALL1	3.30945456541273
PTPRR	3.41892628463572
CADM4	3.42558178194785
IRAK1	7.42582543613041
CFHR5	3.4073948485072
HNRPD	7.80590069028413
TMSB10	12.2406843521441
CXCL3	4.39591559183173
LMAN1	4.03752349474878
SUHW1	3.77810932244797
CHD8	5.1138581906897
SUMO1	8.1601778037679
GP1BA	3.23585077688054
OR7A10	3.90239922132821
DDB1	7.11840377311912
CHRNA10	3.36895426084549
STYK1	3.67931761792642
MYO9B	4.09415937401690
CCNI	10.2322616432918
MMP7	9.96920249417368
EP300	5.70464456647964
CRNKL1	6.20046492264841
C9orf45	3.10618143763565
XAB2	4.23744937493567
RTN1	4.49710238218045
HIC2	3.67546037257684
TBX10	3.5267314471641
CENPQ	4.09605495194248
UTY	3.24819237861793
OR2W1	2.75540493700626
ATP5G2	10.3773144714066
ZEB1	4.02851702365075
ZG16	3.56944655749965
ERG	3.79215699236941
PARN	6.44542095398737
SOD2	7.288098784097
JOSD3	8.06120883576511
ADAM5P	3.20505939440661
CHD9	5.58314039825387
hCG_40738	3.8613940247018
STK16	5.67589578058804
PDE1C	3.54322054803433
SEMA4D	5.38746755898197
AGPAT1	6.87598224051575
TOB2	5.60925540381263
BANK1	4.93729389033462
MAP3K3	5.19214499471845
MAX	5.20757457566972
GRM2	3.85053987352519
OSBPL8	6.75212671919112
PROSC	4.96255636200753
NR4A2	4.77821251544724
RICS	4.31099448822668
PIR	4.41812000256321
PPCS	8.84985461313602
IPO9	5.78335298443951
LONP1	5.82262130009041
EVC	4.18692442142378
CXCL13	6.87026988787892
SCYL3	5.23324722282519
KIAA1199	5.6609688508717
SORL1	6.97227911777687
NAT10	6.20817689434626
CHD1	5.4623782037806
SYN3	3.43227630884541
DMC1	3.84771736944908
SLC22A2	3.6041068331234
SERPINF1	8.88101161514836
C20orf27	5.89004992250872
OR7A17	3.20967571741275
RPS6KA5	4.31254675601253
LHB	3.26546224738543
TAOK3	4.60696009608597
STK25	6.05194937657368
SLC12A4	3.53078708504686
BRCA1	3.99701559605917
GBL	5.71302858601354
C14orf108	7.89499118076803
CDC25B	7.07542936770095
BMP3	3.37024267322548
MAP1LC3C	3.51010145981929
TMEM180	3.4501753377217
CRYGC	3.50785160879948
SLK	5.19880561019844
POU3F1	3.1928982356895
C20orf32	3.97100793207825
USP52	4.79561759570728
HIGD1B	4.09458643047172
BAZ1B	5.6651435277839
USP6NL	5.08087151422318
SLCO2B1	4.67293297241595
ABCD4	4.62134552948388
DIMT1L	5.7746525581868
SLC25A46	6.97173201818116
LARP7	7.40663269392159
TEK	3.35977877770617
CD160	3.66499938159573
TERF2IP	7.55789730934321
PHF20	5.44811655753576
COL1A1	9.43393150782395
KIAA0090	5.88106661743336
GTPBP1	4.2829611409862
GRK5	3.66572029379694
AP1S2	6.19979873133923
RAB33B	4.83065359339029
CA11	4.05835612249207
ALDOC	5.71607286633826
NUDT1	5.60886684725535
ZNF212	5.4318987380574
ACBD3	7.18587492140909
ZNF83	5.7629437179643
PRDM2	4.48249816144061
GDPD5	4.93617431722047
PDCD4	5.71184937317082
CEP350	4.9030146374798
FOXP3	3.36168440267495
SMYD3	7.88593873725664
CST7	5.28482268851865
SELL	4.34643555000609
CIAO1	6.00783280191065
LGI2	4.22870230628828
WDR45	6.13317451721105
ANKRD6	6.70413583443346
LTBP4	3.36922377915883
PSCD3	3.66006555116239
PYY	3.46594871512518
KCNC1	3.14812447390773
SIRT6	3.97791870579978
CCL19	3.65480371680321
ARHGEF9	4.26739607924137
ABR	4.54134503940457
C10orf22	6.0427969029986
STK17A	4.54511908087755
FOXE1	3.34092868237739
GML	2.99479088360468
CNGA3	2.84683437062737
CD38	4.65998174258897
ZDHHC6	7.9589472722951
NEFH	3.41523191256578
PGBD5	3.62507281118229
CTDSP2	6.71013325396271
RMND5B	5.42332445679309
ZNF257	4.06693663629759
DUSP4	3.83818454584116
FLJ22167	5.57937797769466
EXOSC7	6.22605963523826
ROR2	3.79509724012908
FOXM1	5.28927876909561
ZBTB48	4.1804324675587
BUD31	8.01052452050644
MAOA	4.10281303316687
