Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A12_471884
Composite Element REF	Signal
AACS	6.12858815765737
FSTL1	7.56795909179314
ELMO2	4.54850903786427
CREB3L1	3.78057921402329
RPS11	9.48852836740014
PNMA1	8.0328476718233
MMP2	6.31645845988532
SAMD4A	3.62583400965574
SMARCD3	7.45665684176781
A4GNT	3.59250345936151
C9orf39	3.26368355160372
PKNOX2	3.90474182720164
RALYL	3.17515707522886
ZHX3	4.11307190139462
ERCC5	5.59658492614964
RXFP3	3.13784310261317
APBB2	3.61762675162672
BBOX1	4.8415972660528
PRO0478	3.08832549106686
GCSH	7.70782461154755
XDH	3.69054698547701
EDN1	3.63923481779767
MTERF	6.52927993509567
PDCL3	6.48682225811678
CLK4	5.03669044543622
KCNG1	3.56018564053436
CXCR4	8.93715683175532
DECR1	7.45598973936204
SALL1	3.36790540343786
PTPRR	3.460906288231
CADM4	3.48237543112524
IRAK1	8.90481558953615
CFHR5	3.24109345329143
HNRPD	7.81933089047752
TMSB10	11.6345533967220
CXCL3	4.70063518302598
LMAN1	5.28090044032776
SUHW1	3.40261617647930
CHD8	6.15030107825944
SUMO1	8.16048897585262
GP1BA	3.30223714687687
OR7A10	3.60571890864632
DDB1	7.68789526991084
CHRNA10	3.74513799583999
STYK1	3.37356162970017
MYO9B	4.31865478774562
CCNI	10.2187309856620
MMP7	10.9701094022776
EP300	5.97321107648995
CRNKL1	7.00793081105562
C9orf45	3.17306405095215
XAB2	4.26163743122191
RTN1	5.01679655828928
HIC2	3.99714079475588
TBX10	3.50987259846721
CENPQ	4.34697463010424
UTY	3.15239827264684
OR2W1	3.01541079851002
ATP5G2	10.8809851871586
ZEB1	3.39443181611097
ZG16	3.52551387936771
ERG	3.61913299287054
PARN	6.70284103060604
SOD2	7.30433502667407
JOSD3	8.98049332403469
ADAM5P	3.13286727859969
CHD9	5.62497501243622
hCG_40738	4.70572877022222
STK16	4.99822929831693
PDE1C	3.3483457660794
SEMA4D	5.48715934702148
AGPAT1	6.83801561229959
TOB2	5.65144120582037
BANK1	3.9732466428641
MAP3K3	5.09322588568829
MAX	5.82682523310766
GRM2	3.79736062300266
