Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_B11_472040
Composite Element REF	Signal
AACS	6.35330367356425
FSTL1	8.2191636449189
ELMO2	5.08509441695632
CREB3L1	4.01733414267459
RPS11	9.2560389042392
PNMA1	7.06526820435715
MMP2	6.20088169715985
SAMD4A	3.91109606304137
SMARCD3	6.21393527395291
A4GNT	3.67614389575841
C9orf39	3.33378033798873
PKNOX2	4.65592372408268
RALYL	3.32834814147176
ZHX3	3.9738983334054
ERCC5	6.29376883055968
RXFP3	3.33583560497016
APBB2	3.84863793455251
BBOX1	5.16016964652466
PRO0478	3.0671686117065
GCSH	8.55614922945578
XDH	3.71960084793272
EDN1	3.54774638877384
MTERF	5.97274179857899
PDCL3	7.52252107066204
CLK4	5.67972405598337
KCNG1	3.56296264243454
CXCR4	8.20138765073574
DECR1	7.26240386565608
SALL1	3.23494705996398
PTPRR	3.78891155319637
CADM4	3.78885939317807
IRAK1	8.21465381001394
CFHR5	3.04489634635019
HNRPD	6.76714718384943
TMSB10	11.7570834371443
CXCL3	5.25904339334656
LMAN1	5.12343469728381
SUHW1	3.54137458271145
CHD8	5.85321626156034
SUMO1	8.6018626937172
GP1BA	3.43318592249261
OR7A10	4.06987174745227
DDB1	7.19665405071967
CHRNA10	3.37387368893667
STYK1	3.46641158595629
MYO9B	3.95068083290562
CCNI	10.6153116157532
MMP7	11.5997345649493
EP300	6.24857981382282
CRNKL1	6.05632283203278
C9orf45	3.25953927167336
XAB2	3.94577797845929
RTN1	4.76573417175418
HIC2	3.98578149553845
TBX10	3.61068244523721
CENPQ	4.11990919573767
UTY	3.18256014817752
OR2W1	3.05862267397631
ATP5G2	10.2730659371162
ZEB1	3.53483052289526
ZG16	3.44989232414972
ERG	3.69002089115289
PARN	6.59604446926227
SOD2	7.91407357502421
JOSD3	7.70825646744284
ADAM5P	3.24302939728139
CHD9	5.82207936955018
hCG_40738	4.06259528625366
STK16	5.45681097601417
PDE1C	3.51004892757415
SEMA4D	5.30949411741182
AGPAT1	5.64522072878667
TOB2	6.40290757627999
BANK1	4.41599521068397
MAP3K3	4.4580485906567
MAX	5.57971379976049
GRM2	3.82616149715677
OSBPL8	7.7552245997311
PROSC	6.14827904589901
NR4A2	4.27741156598378
RICS	5.45044898221324
PIR	5.94884432586509
PPCS	8.72798275636694
IPO9	5.88869866333983
LONP1	6.31659670010649
EVC	3.89578918730058
CXCL13	4.03836912595452
SCYL3	5.04249468136404
KIAA1199	3.56286764312379
SORL1	9.2075377881121
NAT10	6.10901553570036
CHD1	5.57845504271716
SYN3	3.46909698977263
DMC1	3.7980770070236
SLC22A2	3.63845082914653
SERPINF1	7.9739046378027
C20orf27	5.36355730413225
OR7A17	3.36039796666386
RPS6KA5	4.08850100004501
LHB	3.55152862034428
TAOK3	4.76655064419886
STK25	4.85083703967985
SLC12A4	3.53179181039467
BRCA1	3.64763551397011
GBL	4.72442725258046
C14orf108	7.8184283897497
CDC25B	6.50967112212219
BMP3	3.18379588574197
MAP1LC3C	3.22744011622764
TMEM180	3.75354995289117
CRYGC	3.99801335104976
SLK	6.09556153321122
POU3F1	3.28408022213459
C20orf32	4.07203378928149
USP52	4.53015459300254
HIGD1B	3.84006965987329
BAZ1B	6.26771296610989
USP6NL	5.17522394218604
SLCO2B1	4.38947208953648
ABCD4	4.02147936819541
DIMT1L	6.19121241778135
SLC25A46	6.4990384487253
LARP7	6.29330296606732
TEK	3.65805367237624
CD160	3.40209215921863
TERF2IP	8.72319908883441
PHF20	5.54828877671803
COL1A1	6.83288373829295
KIAA0090	5.51936090436979
GTPBP1	4.46799478078824
GRK5	3.66410533191926
AP1S2	7.33289566673444
RAB33B	4.08178068999658
CA11	3.93379275205829
ALDOC	5.09071914531548
NUDT1	4.88602882221924
ZNF212	4.45739528346504
ACBD3	7.3898109172009
ZNF83	5.70720102445704
PRDM2	4.53883614297139
GDPD5	4.36800068870953
PDCD4	5.86064400599323
CEP350	5.36091083065846
FOXP3	3.17512036562711
SMYD3	5.54912166443047
CST7	4.4958161211238
SELL	5.09856465383467
CIAO1	5.90665484546087
LGI2	3.73385031021346
WDR45	6.32245687901709
ANKRD6	5.46678409035813
LTBP4	3.69939474362141
PSCD3	3.25736654816074
PYY	2.94088734250064
KCNC1	3.1967724489069
SIRT6	3.78257646221925
CCL19	3.52474985203630
ARHGEF9	3.98313870171826
ABR	4.83242272499503
C10orf22	6.87699414510568
STK17A	4.44694079191893
FOXE1	3.88862156422698
GML	3.33252872597715
CNGA3	3.22463014480778
CD38	3.89004648886560
ZDHHC6	7.42308179079072
NEFH	3.69189108646377
PGBD5	4.24069381328176
CTDSP2	6.83873171236991
RMND5B	4.93044670836042
ZNF257	3.9759023565376
DUSP4	4.94019878483696
FLJ22167	7.45139412907409
EXOSC7	6.2167599173472
ROR2	4.09522170679771
FOXM1	5.7286896933394
ZBTB48	4.07125792271621
BUD31	7.47302653742829
MAOA	3.8104663177614
CCDC41	4.4892068159322
TNNT3	3.9989366694616
FBXO11	5.1148311588657
GYPC	6.2122112261581
PLIN	3.33500823212097
RFXAP	3.64907007643135
C6orf15	3.73180946645551
RNF4	8.9668372156475
F8A1	7.70400577288645
PPP1R3D	4.12022775057236
GRB2	8.16666220520321
TPM3	3.17581677488022
SYT13	3.84450790215246
EPB42	3.39033587070079
RP5-1077B9.4	4.7033531767763
EIF1	9.76128744876295
CETN3	6.27758140756429
FPGT	5.6249605149085
PRY	3.56465272386203
NTHL1	4.35146984188938
POLR2B	9.04611233858073
RPS28	11.7059663254245
GDF10	3.00001547835555
COQ9	7.37093425924849
P2RX3	2.64748005579166
GCC2	7.47943774569683
RARRES3	6.88263875853407
PLXNA1	6.2635279689328
WBP4	4.24497203491774
KIAA0100	5.56400070755201
PMF1	6.20536178191333
HS2ST1	5.56175221405082
CRELD2	7.09132351728206
C8G	3.01914817928278
CD82	5.54303087596413
PMM1	5.09072705884713
CBLL1	3.98813536441184
LIM2	3.52538866062822
VAX2	3.8607122917244
SETDB1	4.93332416226318
LRAP	5.10873596497874
GCLM	6.289566684794
CPEB3	3.1083475380956
PPM1A	5.98608315659525
INTS1	3.88474634986868
MMP16	3.16678125191828
CAMTA1	3.65769330303685
SAMSN1	6.420042574517
DRD3	2.93255782870750
GMPPA	5.4660819395409
C11orf73	5.74001406567965
AIPL1	3.99430267478059
PTP4A2	9.57229082485144
IL24	3.40096423243115
BDKRB1	3.16818976169318
HPCA	3.24945969858182
MLF1	6.63555384473852
SEC14L1	6.33434803814084
CHFR	5.38170558655167
EMILIN1	3.50465414000531
THADA	5.53582614998363
TAF12	5.16277561587561
NDUFS4	7.95648960075117
ID1	5.06692612838965
PIK3CB	3.87306809257423
COL18A1	6.84776008611775
PDZD3	3.06723772101788
TBC1D17	3.80828774914159
COX8A	9.71619326036658
CDCA4	5.85864656862617
C2orf44	4.01347909377488
C9orf16	7.89835532870822
ERBB2IP	7.9209399518004
EMX2	7.84184935902914
FUS	6.00898710826481
NIPSNAP3B	3.34242101273135
TF	3.16763773092537
CXorf56	5.1077283912097
CLCN4	3.78214369133121
PWP2	4.4101366220333
MMP15	4.49471827787856
MTMR14	5.12131644593675
NPR1	5.63261642169945
DNAL4	5.61844039562578
ELAC2	4.36137371166432
ASS1	10.7616819903967
IPP	5.5949237782835
TMEM59	10.2876560231737
POLR2J	7.73846742462058
SEC23IP	6.29746949008574
RGS4	4.19977432343415
UQCRC1	8.82170314694395
SNX6	8.22257987024777
DDX18	7.45533587526876
POLG	4.59351650327081
ADAM23	4.09639265175973
ZNHIT2	4.21672232730821
TFR2	3.42210622593111
NCDN	4.15458234924771
RAG1	3.49486986362874
POMT1	4.05245113673055
CYP1A1	3.34483605879749
SNAPC1	5.96172646297147
