Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_C09_472018
Composite Element REF	Signal
AACS	6.94272585793321
FSTL1	6.75954638325539
ELMO2	5.0579563681138
CREB3L1	3.93578831640182
RPS11	9.67433991727378
PNMA1	8.35378824654933
MMP2	5.74726725727729
SAMD4A	3.53680212302907
SMARCD3	7.66031161547658
A4GNT	3.85414236399079
C9orf39	3.53417403003551
PKNOX2	3.83411377009176
RALYL	4.28959018270828
ZHX3	4.28581872717242
ERCC5	6.02116976612889
RXFP3	3.05709982710982
APBB2	4.12323922861397
BBOX1	6.89332930823266
PRO0478	3.24758770812433
GCSH	9.2085554297746
XDH	3.50625709003611
EDN1	3.49315230252924
MTERF	6.09182016250469
PDCL3	6.93440356316633
CLK4	5.02587018401306
KCNG1	4.10742286879355
CXCR4	8.93576745826988
DECR1	7.18153764561528
SALL1	2.98253068901287
PTPRR	3.33204337961912
CADM4	3.46026564971608
IRAK1	8.84214505871025
CFHR5	3.26339601136353
HNRPD	8.09324087913715
TMSB10	11.5197629314828
CXCL3	3.8691466742069
LMAN1	3.88623260938423
SUHW1	3.24956284728946
CHD8	6.40931802983822
SUMO1	8.5042157476121
GP1BA	3.54737609277237
OR7A10	3.46686771327505
DDB1	8.01522395587283
CHRNA10	3.79242313617188
STYK1	3.27308116589530
MYO9B	4.71209558131435
CCNI	9.99877255376061
MMP7	3.74835512809121
EP300	5.94354046579634
CRNKL1	6.12015021513702
C9orf45	3.50109818286496
XAB2	3.82347521529391
RTN1	3.34829767335823
HIC2	3.711042103743
TBX10	3.66971694091958
CENPQ	3.91097167603232
UTY	3.19734794476736
OR2W1	3.03795876859305
ATP5G2	10.6047911901424
ZEB1	3.49731451543366
ZG16	3.40448544624701
ERG	3.78582120484318
PARN	6.50532880515234
SOD2	4.14910811332972
JOSD3	7.61058332815805
ADAM5P	3.21049596597303
CHD9	6.45176877031117
hCG_40738	4.36423286184929
STK16	5.26440795047982
PDE1C	3.40833012953165
SEMA4D	4.86693156845335
AGPAT1	5.8340995889616
TOB2	6.00384384649669
BANK1	3.44385526132546
MAP3K3	5.08577812758191
MAX	6.17588787407705
GRM2	3.5862141060045
OSBPL8	7.20323537168187
PROSC	4.1254943496399
NR4A2	5.7393653006064
RICS	3.92899241250649
PIR	3.42766080213253
PPCS	8.85580720552311
IPO9	5.92147968431154
LONP1	5.90825416326406
EVC	3.91966460732411
CXCL13	3.96773057431886
SCYL3	4.85728653998196
KIAA1199	5.51350111631553
SORL1	7.17977533112772
NAT10	6.95002933904325
CHD1	5.98071400111193
SYN3	4.08577634497411
DMC1	3.72696492708738
SLC22A2	3.39321669361112
SERPINF1	8.60481686135263
C20orf27	6.65214528475739
OR7A17	3.56405398715337
RPS6KA5	4.7178114276240
LHB	3.55405632439312
TAOK3	4.54291177229258
STK25	6.2768185954404
SLC12A4	3.7229421606409
BRCA1	3.73479271209852
GBL	5.34985163489884
C14orf108	7.58919942905109
CDC25B	6.82952706528228
BMP3	3.43634046852881
MAP1LC3C	3.41004731539419
TMEM180	3.93852970346851
CRYGC	3.90049270944952
SLK	5.40166103933413
POU3F1	3.39824762806224
C20orf32	4.02955684423732
USP52	5.77747084597684
HIGD1B	4.06935240771714
BAZ1B	6.73138346521312
USP6NL	5.21812995325877
SLCO2B1	3.94333102124283
ABCD4	4.49076104426175
DIMT1L	6.04166767307501
SLC25A46	6.55877814473557
LARP7	7.05736462744634
TEK	3.31676157671503
CD160	3.58273165235706
TERF2IP	7.87160072464932
PHF20	6.20517367360329
COL1A1	7.63145840489771
KIAA0090	5.84306870580388
GTPBP1	4.62663579903144
GRK5	3.81498010145492
AP1S2	4.09775391123955
RAB33B	4.34009512315794
CA11	5.38665467911077
ALDOC	5.90088329519406
NUDT1	4.31885072840937
ZNF212	7.42577089599427
ACBD3	7.2115638053905
ZNF83	6.4007242894127
PRDM2	4.67109883375842
GDPD5	4.74318848569791
PDCD4	6.41222986102005
CEP350	5.22820114521429
FOXP3	3.44407309417929
SMYD3	6.7435151792469
CST7	4.22246032831639
SELL	3.12661783282759
CIAO1	6.20340207482895
LGI2	3.68294659177333
WDR45	5.86145299840087
ANKRD6	7.43499719756042
LTBP4	4.04477964252333
PSCD3	3.40256075181975
PYY	3.26244673609597
KCNC1	3.49937269566982
SIRT6	3.93526191597505
CCL19	3.79305721460206
ARHGEF9	3.80303474208867
ABR	4.11724136829247
C10orf22	6.84671120302334
STK17A	4.07774476845098
FOXE1	3.48145776198648
GML	3.54629136819383
CNGA3	2.88560840862201
CD38	3.56588546898946
ZDHHC6	6.98263086731686
NEFH	3.27416484288596
PGBD5	3.3969753750744
CTDSP2	6.96764896702675
RMND5B	4.25348743093373
ZNF257	3.68854977218306
DUSP4	3.17303567800932
FLJ22167	6.05018046244475
EXOSC7	7.44935673774017
ROR2	3.29243777100124
FOXM1	5.21379202799004
ZBTB48	4.70045252417703
BUD31	8.23543346617054
MAOA	3.8771399425001
CCDC41	4.86102820138954
TNNT3	3.60010856998843
FBXO11	6.51036699010386
GYPC	4.35191878233403
PLIN	3.67521364764929
RFXAP	4.01946194836377
C6orf15	3.84570538706199
RNF4	8.16805552406396
F8A1	6.1424997452626
PPP1R3D	3.99047908010385
GRB2	6.86191609005904
TPM3	3.16049943942495
SYT13	3.27838096928141
EPB42	3.34487275679853
RP5-1077B9.4	4.82416864943227
EIF1	10.1938936260179
CETN3	6.3293648241448
FPGT	4.53449619887623
PRY	3.44388547922298
NTHL1	5.65886150563554
POLR2B	8.28262722670097
RPS28	11.7732716355378
GDF10	5.69071225630561
COQ9	8.02997919949377
P2RX3	2.89856144147034
GCC2	6.39980817901222
RARRES3	7.58418412661407
PLXNA1	5.55710045042369
WBP4	4.22512283681492
KIAA0100	5.81778585367586
PMF1	6.26017945123795
HS2ST1	5.16914253575725
CRELD2	5.63549561318502
C8G	3.19855175281377
CD82	5.1302706257971
PMM1	4.45955293947882
CBLL1	3.90659402117512
LIM2	3.48933913503649
VAX2	3.80523030627675
SETDB1	5.23913829684806
LRAP	4.66527128414889
GCLM	6.61031331220932
CPEB3	3.47465261960938
PPM1A	5.90967759808759
INTS1	3.97326057132835
MMP16	3.19021592888003
CAMTA1	4.90654071754338
SAMSN1	4.07035814136697
DRD3	2.80745201528124
GMPPA	5.04772153109001
C11orf73	4.80007745581609
AIPL1	3.88707880907612
PTP4A2	9.0805036497431
IL24	3.44783957023359
BDKRB1	3.30881117274491
HPCA	3.45868545878342
MLF1	5.12043580976834
SEC14L1	5.5923539224096
CHFR	5.05647465924072
EMILIN1	3.59198269352293
THADA	6.07365552578694
TAF12	5.73618317054415
NDUFS4	7.54648626432291
ID1	4.30682699558534
PIK3CB	3.52049255661817
COL18A1	7.51202571941044
PDZD3	3.06693236746922
TBC1D17	4.52408277505372
COX8A	9.4060708075914
CDCA4	6.44031158863114
C2orf44	4.98692007897642
C9orf16	8.01170158291692
ERBB2IP	7.92988531515744
EMX2	9.96999140563824
FUS	6.65261754316515
NIPSNAP3B	3.65631858218318
TF	3.22859809556304
CXorf56	5.26744637432
CLCN4	3.61712226587539
PWP2	5.91510828033177
MMP15	4.66776492986062
MTMR14	5.70680320338843
NPR1	6.43890439125652
DNAL4	5.53413103708267
ELAC2	4.55612571869759
ASS1	11.0268771392756
IPP	4.84093107567507
TMEM59	8.85284321629655
POLR2J	8.99667320443096
SEC23IP	5.85165536069031
RGS4	3.93546138444972
UQCRC1	9.14306490361685
SNX6	8.39313065508964
DDX18	7.31866223425307
POLG	4.7577580541721
ADAM23	3.8772070773862
ZNHIT2	3.69792213095725
TFR2	3.49542590780777
NCDN	4.17721482193214
RAG1	3.53489818558845
POMT1	4.20340625709748
CYP1A1	3.20126140335875
SNAPC1	6.40038749424881
GNA11	4.94936223206237
CCDC52	2.77437145196405
