Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_D05_472002
Composite Element REF	Signal
AACS	6.94013864140934
FSTL1	9.42440313379598
ELMO2	6.01240033465042
CREB3L1	3.91223059935303
RPS11	9.359335226299
PNMA1	7.77829053207656
MMP2	8.58853885771172
SAMD4A	3.62821122663541
SMARCD3	7.24763942279272
A4GNT	3.34941082500886
C9orf39	3.50613139956886
PKNOX2	4.10451797412905
RALYL	3.17782067288952
ZHX3	4.07523087635028
ERCC5	5.27960123003628
RXFP3	3.02778200558831
APBB2	4.46551695858505
BBOX1	8.15796873880135
PRO0478	2.95013633951028
GCSH	8.39602708144782
XDH	3.2742313991035
EDN1	3.27365547239239
MTERF	4.51596205510272
PDCL3	7.6870624103018
CLK4	5.28081847766094
KCNG1	3.6005684541805
CXCR4	8.1690060921939
DECR1	6.74177545493607
SALL1	3.26538183536798
PTPRR	3.21508828619488
CADM4	3.353631585755
IRAK1	9.36622908628279
CFHR5	3.31050683428975
HNRPD	7.7135367095342
TMSB10	11.8993755480738
CXCL3	4.09502656421881
LMAN1	5.52419291961435
SUHW1	3.41307547752707
CHD8	5.21281161256342
SUMO1	8.22065671148221
GP1BA	3.26460008858804
OR7A10	3.86762252852254
DDB1	7.1319523897365
CHRNA10	3.43388172924568
STYK1	3.51113589488492
MYO9B	3.91580955290192
CCNI	11.8056361358906
MMP7	11.6700808049237
EP300	5.75560511554665
CRNKL1	5.76191720314566
C9orf45	3.41216911776145
XAB2	3.86192101073362
RTN1	5.26971354631206
HIC2	3.71006923035285
TBX10	3.54371874628697
CENPQ	3.83199064479981
UTY	3.21050473537002
OR2W1	2.84398486348830
ATP5G2	10.2835202248750
ZEB1	4.03526006601673
ZG16	3.26637665451735
ERG	4.58727587541656
PARN	7.08864009798485
SOD2	5.67609718232324
JOSD3	6.68089601800332
ADAM5P	3.18796560986009
CHD9	5.56458237238899
hCG_40738	3.91196190184536
STK16	4.28197515007693
PDE1C	3.3177834189295
SEMA4D	6.42402042012904
AGPAT1	5.52301390029091
TOB2	5.6952232992187
BANK1	4.12665422226788
MAP3K3	4.99511379094921
MAX	5.47025471955383
GRM2	3.42742321255832
OSBPL8	7.72712202649049
PROSC	5.61376091792369
NR4A2	4.27246975354348
RICS	4.65145259291476
PIR	5.39410990765199
PPCS	9.00488788459464
IPO9	6.4504669800087
LONP1	6.10474014667838
EVC	4.47084775512543
CXCL13	3.80410501809557
SCYL3	5.19406096102983
KIAA1199	6.4300676101212
SORL1	9.0180644809395
NAT10	6.82701584073099
CHD1	6.48254542890755
SYN3	3.41437736485023
DMC1	3.89890606560394
SLC22A2	3.39636581063536
SERPINF1	9.13184942646144
C20orf27	4.92604619707887
OR7A17	3.00333964631349
RPS6KA5	4.29614380296690
LHB	3.2212468078379
TAOK3	5.16692510607616
STK25	5.56580053797752
SLC12A4	3.61784979019348
BRCA1	4.58682742126037
GBL	4.81155755431777
C14orf108	7.60137442927468
CDC25B	6.79323457166417
BMP3	3.15053939797399
MAP1LC3C	3.29632447835099
TMEM180	3.30783950171099
CRYGC	3.69732585544874
SLK	6.13906587469702
POU3F1	3.1630820810058
C20orf32	3.71253602632349
USP52	5.72877188731621
