Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_A11
Composite Element REF	Signal
AACS	6.74061570727713
FSTL1	9.84384180908893
ELMO2	5.90692517517243
CREB3L1	4.57965027807185
RPS11	9.84035208497454
PNMA1	9.01830122213056
MMP2	8.89380662510285
SAMD4A	4.19362672184051
SMARCD3	7.11006220870057
A4GNT	3.54281910307100
C9orf39	3.44824677488038
PKNOX2	4.26182204949432
RALYL	3.1244234765089
ZHX3	4.26714400589946
ERCC5	6.56890105320912
RXFP3	2.84385081628135
APBB2	5.33872659108364
BBOX1	3.85647150273307
PRO0478	2.70641149110385
GCSH	8.72470056784595
XDH	3.49960943241987
EDN1	7.65437708391628
MTERF	7.12681284430171
PDCL3	7.43748172349846
CLK4	7.13187987673181
KCNG1	3.54789026907770
CXCR4	7.63813492633513
DECR1	8.45360058314341
SALL1	3.3358366950991
PTPRR	3.66023239191923
CADM4	3.34495684722159
IRAK1	8.24870560654082
CFHR5	3.11469821678153
HNRPD	7.96439401719947
TMSB10	11.9641336281029
CXCL3	5.43464616939153
LMAN1	4.74991370995273
SUHW1	3.32339044430853
CHD8	6.46657065573328
SUMO1	8.0453978986038
GP1BA	3.01259674966401
OR7A10	3.62267108946565
DDB1	7.2400743417085
CHRNA10	3.70737408873379
STYK1	3.46801852916688
MYO9B	4.21228946123861
CCNI	10.1221526158932
MMP7	10.5493199393514
EP300	6.40600149744208
CRNKL1	7.73661209211657
C9orf45	3.00191032184467
XAB2	4.42633220232136
RTN1	4.62650134433572
HIC2	3.86128165562023
TBX10	3.29239704645769
CENPQ	4.74636659829761
UTY	3.07151768236891
OR2W1	2.88624312364881
ATP5G2	10.8756434377054
ZEB1	4.758136275473
ZG16	3.40177169531393
ERG	3.63690800629025
PARN	7.42745185837033
SOD2	7.38333712973672
JOSD3	9.04710127394786
ADAM5P	3.12153256881063
CHD9	7.10881810346928
hCG_40738	3.75451872423101
STK16	5.43096547724378
PDE1C	3.4152923980437
SEMA4D	5.51380155553679
AGPAT1	6.46652659590807
TOB2	5.49391553553141
BANK1	3.68362036771079
MAP3K3	5.57075661738769
MAX	5.96357778610074
GRM2	3.50896005297983
OSBPL8	8.0403877239623
PROSC	6.52116465083514
NR4A2	6.97193071648122
RICS	5.67885616927097
PIR	3.88376895052747
PPCS	8.31975838206668
IPO9	6.5434353301021
LONP1	7.52784099288104
EVC	4.90871465947669
CXCL13	3.9290655776221
SCYL3	6.3952687036402
KIAA1199	5.94739598119611
SORL1	8.28646004461379
NAT10	7.22548842089724
CHD1	7.23776138533969
SYN3	3.49562523595491
DMC1	3.79210167199071
SLC22A2	3.77480052915669
SERPINF1	9.27090081896054
C20orf27	6.496041125838
OR7A17	3.15569761966856
RPS6KA5	5.68426471759936
LHB	3.2086426440722
TAOK3	5.56020441964442
STK25	6.05200959700739
SLC12A4	3.75251193203518
BRCA1	4.68680537513023
GBL	6.09763481613427
C14orf108	8.86645706654062
CDC25B	7.04445315510416
BMP3	3.12986327780446
MAP1LC3C	3.34004756981999
TMEM180	3.21479356202333
CRYGC	3.50458274059145
SLK	6.88996584230267
POU3F1	3.08921122938601
C20orf32	3.73554300925486
USP52	6.4921110013902
HIGD1B	3.77260987321051
BAZ1B	6.53824435774613
USP6NL	5.76384026883845
SLCO2B1	4.94493363376979
ABCD4	5.14053726398333
DIMT1L	6.5513479004757
SLC25A46	7.6362149290874
LARP7	7.06587396506955
TEK	3.81595090020829
CD160	3.48619106303009
TERF2IP	8.15876237063566
PHF20	6.59408775836719
COL1A1	9.73193859880568
KIAA0090	5.27386473291641
GTPBP1	4.40199883893729
GRK5	4.01021187525016
AP1S2	6.68867067104602
RAB33B	4.80111913260672
CA11	5.15342291965719
ALDOC	6.85088776924797
NUDT1	5.87818958585508
ZNF212	5.74083225331266
ACBD3	8.00533859869638
ZNF83	7.36864166840026
PRDM2	4.71541051953284
GDPD5	5.05269639662183
PDCD4	7.14455867177216
CEP350	6.90090945329113
FOXP3	3.16753529266621
SMYD3	7.67852717883532
CST7	5.63333673072006
SELL	4.16884638176618
CIAO1	6.43242070800936
LGI2	3.64518784892493
WDR45	6.59405129960925
ANKRD6	8.27922232121616
LTBP4	5.29490998376089
PSCD3	3.35763589615495
PYY	3.01799688199191
KCNC1	2.84257928773597
SIRT6	4.18996553064750
CCL19	3.71765101026123
ARHGEF9	4.65030149436814
ABR	5.13124578202131
C10orf22	7.4331885973558
STK17A	5.2696135403617
FOXE1	3.35716872602756
GML	3.22284884022454
CNGA3	2.80251429439470
CD38	3.27058377618012
ZDHHC6	7.94774928744823
NEFH	3.31446306667858
PGBD5	6.26174688531006
CTDSP2	7.16371815317409
RMND5B	5.89079297477436
ZNF257	4.00179455428046
DUSP4	5.82483941945419
FLJ22167	7.83978045307508
EXOSC7	6.96059953985138
ROR2	4.08193327393617
FOXM1	5.07178099523606
ZBTB48	4.64475539251165
BUD31	7.81301715971988
MAOA	4.82352643025001
CCDC41	6.86737772761247
TNNT3	3.66650011722668
FBXO11	6.15719240654877
GYPC	8.04370952854609
PLIN	3.2509385190024
RFXAP	3.63593826899934
C6orf15	3.69209771918809
RNF4	8.24235030226345
F8A1	8.2336208469269
PPP1R3D	5.53764877535087
GRB2	7.0502655049362
TPM3	3.09098301396246
SYT13	3.55573416731541
EPB42	3.35829236352297
RP5-1077B9.4	5.34152927445059
EIF1	10.921144679773
CETN3	8.0642677973515
FPGT	5.37093665308477
PRY	3.38082380920721
NTHL1	6.09209383343672
POLR2B	8.0498384147694
RPS28	12.2857517158291
GDF10	3.11142305478587
COQ9	8.260348605385
P2RX3	2.75308175222569
GCC2	7.61880980726701
RARRES3	6.7164394610446
PLXNA1	5.86451565235356
WBP4	5.56512788438169
KIAA0100	5.99488158454873
PMF1	7.22544561483365
HS2ST1	5.61787870422652
CRELD2	6.82554209694314
C8G	2.96342203434037
CD82	5.75279375732485
PMM1	5.32056576202977
CBLL1	4.54399361387753
LIM2	3.20762834041276
VAX2	3.60781250426327
SETDB1	5.73188899761013
LRAP	7.18068194616898
GCLM	6.35439709710052
CPEB3	3.83106277589885
PPM1A	6.39053976362682
INTS1	4.12940094308578
MMP16	3.16943220610191
CAMTA1	3.18918737560477
SAMSN1	5.95025846345677
DRD3	2.74725219625744
GMPPA	5.59255284535421
C11orf73	6.56852095614475
AIPL1	3.64488672690868
PTP4A2	8.58444106976021
IL24	3.47475187620863
BDKRB1	3.29938942847672
HPCA	3.31989534200256
MLF1	6.51492493765238
SEC14L1	6.12153272689891
CHFR	5.63945255363806
EMILIN1	4.16998997120304
THADA	7.17779482601146
TAF12	5.65777571848361
