Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_B03
Composite Element REF	Signal
AACS	7.49816553725803
FSTL1	9.95479934413799
ELMO2	6.38509194301291
CREB3L1	4.12238694105112
RPS11	9.7895212077533
PNMA1	8.29359428931846
MMP2	8.20229693369175
SAMD4A	3.86559084670299
SMARCD3	5.39092319845369
A4GNT	3.73454765999817
C9orf39	3.31908165878274
PKNOX2	4.0008545006667
RALYL	3.22307444157090
ZHX3	4.2989462053712
ERCC5	5.15402400414286
RXFP3	2.91852716961951
APBB2	4.45960721787155
BBOX1	5.1570096340416
PRO0478	2.79170433584854
GCSH	6.83912005640175
XDH	3.67490903331889
EDN1	3.44282583119562
MTERF	5.67196459770158
PDCL3	7.9086219490168
CLK4	5.7918489788715
KCNG1	3.94051998536987
CXCR4	5.93074238989683
DECR1	8.13025569802057
SALL1	3.214306520266
PTPRR	3.44106832313650
CADM4	3.56413762517874
IRAK1	8.44965521977799
CFHR5	3.12200312089075
HNRPD	7.32503845111151
TMSB10	12.0101140209516
CXCL3	3.64106335180497
LMAN1	4.16411283146058
SUHW1	3.43955990995985
CHD8	5.82681001055847
SUMO1	8.07340628479344
GP1BA	3.30549708027872
OR7A10	3.67496709596192
DDB1	7.59646436185968
CHRNA10	3.96101615432355
STYK1	3.61175709037314
MYO9B	4.6299589825439
CCNI	9.89869972533575
MMP7	5.86881907023674
EP300	6.22517124340873
CRNKL1	6.73458331968194
C9orf45	3.32732046140104
XAB2	4.19551579205621
RTN1	4.88223107169149
HIC2	4.80680889667016
TBX10	3.67615315215818
CENPQ	4.06571260711734
UTY	3.24378007058174
OR2W1	3.05265345013223
ATP5G2	10.4555468396421
ZEB1	3.81162457787674
ZG16	3.52447547789421
ERG	3.42865076366387
PARN	7.01660989504651
SOD2	3.71561831449026
JOSD3	7.06934650691744
ADAM5P	3.1424075043627
CHD9	6.16359946760365
hCG_40738	4.14139807839413
STK16	5.90689940109337
PDE1C	3.67954324008585
SEMA4D	5.16863753829732
AGPAT1	6.5961485721555
TOB2	5.96976969686314
BANK1	3.50533983082878
MAP3K3	5.55061046962193
MAX	4.74261854685176
GRM2	3.64043504771461
OSBPL8	7.57641399325237
PROSC	5.8880721834497
NR4A2	4.90207328481199
RICS	5.46742059760758
PIR	4.299724096782
PPCS	9.36625670508798
IPO9	6.39615019361616
LONP1	7.58624114089051
EVC	4.36866351344803
CXCL13	3.92677003894601
SCYL3	5.15719610803121
KIAA1199	5.03770445594525
SORL1	7.46217035836428
NAT10	6.10706698290613
CHD1	6.37684449246242
SYN3	3.51439658743556
DMC1	3.93227144140602
SLC22A2	3.71331466352864
SERPINF1	8.43110171636995
C20orf27	5.08772584956477
OR7A17	3.36722409698791
RPS6KA5	4.33122640513391
LHB	3.88235478930262
TAOK3	4.29034782047541
STK25	6.70121115831759
SLC12A4	3.60058047681308
BRCA1	4.46416369134974
GBL	5.64628490581819
C14orf108	7.82740017880144
CDC25B	7.32121632391964
BMP3	3.13278100790864
