Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_C12
Composite Element REF	Signal
AACS	5.75783911720623
FSTL1	7.0791771277875
ELMO2	4.87179988718903
CREB3L1	3.53802382666251
RPS11	10.2439068634086
PNMA1	6.99859998408125
MMP2	6.68433781638039
SAMD4A	3.94860250137738
SMARCD3	7.74944616894438
A4GNT	3.70743412444215
C9orf39	3.55221890265235
PKNOX2	3.91714805423677
RALYL	3.55959029769964
ZHX3	4.24838364793905
ERCC5	6.16271738782244
RXFP3	2.90264311943089
APBB2	3.84769147125557
BBOX1	6.88624907859652
PRO0478	2.76595547597237
GCSH	8.60115404412429
XDH	3.31669667778620
EDN1	3.97888612229754
MTERF	7.04307585915424
PDCL3	7.40977405451605
CLK4	6.40017352007817
KCNG1	3.40635372459833
CXCR4	6.60304209757491
DECR1	7.31133784079087
SALL1	3.82125888921564
PTPRR	3.46545169195619
CADM4	3.36534914394907
IRAK1	7.84186615086773
CFHR5	3.42121746825897
HNRPD	7.20746167808176
TMSB10	12.2410726444717
CXCL3	4.60937028194862
LMAN1	3.6529063368159
SUHW1	3.65676929552372
CHD8	5.5313975245361
SUMO1	7.5345890480467
GP1BA	3.55658837742611
OR7A10	3.99976849277811
DDB1	7.2126583114337
CHRNA10	3.65573859031658
STYK1	4.07365977476829
MYO9B	3.95425107749990
CCNI	8.9970336915184
MMP7	11.0062300151989
EP300	5.63506212385873
CRNKL1	6.87676076369539
C9orf45	3.06477038962059
XAB2	4.17338374189121
RTN1	4.03117736161581
HIC2	3.79819252909714
TBX10	3.4939911283464
CENPQ	5.78514341897068
UTY	3.13543765941826
OR2W1	2.92370377901529
ATP5G2	10.8605053409712
ZEB1	3.25525380616077
ZG16	3.38009532246169
ERG	3.80027044494103
PARN	7.0198351920838
SOD2	7.54410106932739
JOSD3	9.28629420668873
ADAM5P	3.28478979537831
CHD9	6.54753836636722
hCG_40738	3.57561772108256
STK16	5.34470943675617
PDE1C	3.70671721916485
SEMA4D	4.50890602881638
AGPAT1	6.27433151207507
TOB2	5.30278797534395
BANK1	5.07071238979058
MAP3K3	5.1492064403961
MAX	4.95985233670365
GRM2	3.89990359090364
OSBPL8	7.46241427720267
PROSC	5.19571087006286
NR4A2	4.00820940801825
RICS	3.55030796935646
PIR	5.73910309573423
PPCS	9.5158361248081
IPO9	5.52335269033699
LONP1	6.42630468612125
EVC	4.11601629553119
CXCL13	7.31094762958208
SCYL3	5.85677523698372
KIAA1199	4.71414561358005
SORL1	7.0617093637865
NAT10	5.83224847884586
CHD1	6.31752040134726
SYN3	3.53654011004829
DMC1	3.94501474946792
SLC22A2	3.97941045398344
SERPINF1	6.80045294110004
C20orf27	6.3580038874687
OR7A17	3.31128045933172
RPS6KA5	4.42636176565385
LHB	3.42417538909991
TAOK3	4.39883970143427
STK25	5.75765704956443
SLC12A4	3.60890654210334
BRCA1	4.50694068831552
GBL	6.16211699484978
C14orf108	7.2570816316208
CDC25B	6.55026310560886
BMP3	3.20374274061774
MAP1LC3C	3.57614315774971
TMEM180	3.17264007665599
CRYGC	3.63441070381931
SLK	5.84203981499193
POU3F1	3.38328386030704
C20orf32	3.7876327906671
USP52	6.3453624706539
HIGD1B	4.00342663728295
BAZ1B	5.65313470540457
USP6NL	5.0165393375312
SLCO2B1	4.10183609002593
ABCD4	4.65711669929338
DIMT1L	6.44753087539319
SLC25A46	8.33347122199432
LARP7	7.09858007377288
TEK	3.4332154730869
CD160	3.89454228728318
TERF2IP	7.45833338857291
PHF20	5.51969599472393
COL1A1	6.17409912923744
KIAA0090	6.82486893510562
GTPBP1	4.11229982089934
GRK5	3.61773491282591
AP1S2	5.28839439891949
RAB33B	6.36165790083885
CA11	4.45716955636612
ALDOC	5.10015220278958
NUDT1	6.16213005955213
ZNF212	5.09769685610684
ACBD3	6.9747145237217
ZNF83	6.58652932878233
PRDM2	4.63498637442451
GDPD5	4.34713025775668
PDCD4	6.66817679973927
CEP350	5.12875018510214
FOXP3	3.37979425516744
SMYD3	7.513799266942
CST7	4.80752974411401
SELL	4.80112594299409
CIAO1	7.07475428767868
LGI2	3.68006125359602
WDR45	7.06426829081983
ANKRD6	5.62610213946195
LTBP4	3.67702406434217
PSCD3	3.18098083878817
PYY	3.26415349275398
KCNC1	2.90840581523670
SIRT6	4.12187384105198
CCL19	5.11375488153355
ARHGEF9	4.19611565911295
ABR	4.31763811661284
C10orf22	7.20933704488962
STK17A	5.57661743247917
FOXE1	3.20098149566471
GML	3.31190903608524
CNGA3	3.13094975481147
CD38	4.21421060435298
ZDHHC6	8.28115012172143
NEFH	3.35317833111345
PGBD5	3.44287618778098
CTDSP2	6.74801345173198
RMND5B	5.21031595860762
ZNF257	4.79765509484772
DUSP4	3.72512750631126
FLJ22167	6.5146108881321
EXOSC7	7.63786603954646
ROR2	3.85680932948849
FOXM1	4.57096062434297
ZBTB48	5.48707235200159
BUD31	8.84769835200177
MAOA	4.05357080093058
CCDC41	4.87002675908178
TNNT3	3.79534530200976
FBXO11	5.98779172572696
GYPC	4.61796880470602
PLIN	3.37333872684632
RFXAP	3.73490256378326
C6orf15	3.73315552014256
RNF4	8.523852054143
F8A1	7.01036265692617
PPP1R3D	4.27616502367587
GRB2	7.36395866765938
TPM3	3.07330134554054
SYT13	3.55144600835616
EPB42	3.60394785747185
RP5-1077B9.4	5.60549862103509
EIF1	9.81528282543338
CETN3	8.86638414672849
FPGT	6.6562838809106
PRY	3.40197853414345
NTHL1	6.81330316842313
POLR2B	7.97123295959317
RPS28	11.869797612205
GDF10	3.17678537136868
COQ9	7.8860438978722
P2RX3	2.97637427895021
GCC2	6.98907039635563
RARRES3	8.34234315006808
PLXNA1	5.14673102672464
WBP4	5.50105917519957
KIAA0100	5.4104711492123
PMF1	7.03384540260465
HS2ST1	7.21872610863986
CRELD2	7.0752767472548
C8G	3.16448208256057
CD82	4.89995068868788
PMM1	4.90815500815949
CBLL1	4.6408949410876
LIM2	3.36557448593217
VAX2	4.43185156663333
SETDB1	5.4644578794943
LRAP	6.70321596732174
GCLM	7.1160266105983
CPEB3	3.42632209177859
PPM1A	5.60919508631056
INTS1	4.04708329632755
MMP16	3.28127537077057
CAMTA1	4.33437995696640
SAMSN1	6.5132682148032
DRD3	2.85764078519479
GMPPA	4.99414882369494
C11orf73	7.37056502894647
AIPL1	3.96887566730924
PTP4A2	9.39476895783511
IL24	3.44734938546374
BDKRB1	3.06333549883865
HPCA	3.67738168113939
MLF1	5.79133729870155
SEC14L1	5.5436260108995
CHFR	4.84941731884183
EMILIN1	3.56733212975286
THADA	7.37661375079693
TAF12	6.27295178731745
NDUFS4	9.35502075109068
ID1	3.64838764662117
PIK3CB	3.86645659488486
COL18A1	6.86005714584868
PDZD3	3.36091846397654
TBC1D17	4.65103854856425
COX8A	10.3423747568475
CDCA4	6.77317161063893
C2orf44	5.65084796719601
C9orf16	8.11950714338839
ERBB2IP	9.08159282221433
EMX2	7.42215179178341
FUS	5.66907222445915
NIPSNAP3B	3.5330126515086
TF	3.51174119449428
CXorf56	5.37821149554139
CLCN4	3.67867707111038
PWP2	4.49593881097163
MMP15	4.12857258318707
MTMR14	5.8198325447251
NPR1	5.73122548237936
DNAL4	5.06932732915175
ELAC2	4.35323918616608
ASS1	11.4583306347524
IPP	6.22761065569107
TMEM59	10.0863032527563
POLR2J	8.50228200720872
SEC23IP	7.24191334378379
RGS4	3.97255828657508
UQCRC1	8.67282293804566
SNX6	8.13765285950077
DDX18	6.47182452830048
POLG	4.19064366108235
ADAM23	3.8578676007305
ZNHIT2	5.73639676981332
TFR2	3.64120428554646
NCDN	4.34289189732566
RAG1	3.86069609664919
POMT1	4.49452273070554
CYP1A1	3.41456717906159
SNAPC1	6.20511071673224
GNA11	4.43195712649485
CCDC52	2.89939315876236
CAPN1	6.08957009210374
DDHD2	5.67845679393516
UPF3A	6.82767540468855
LAGE3	6.81175273706544
GNRHR	3.15845606507167
UNC13B	5.25001644046883
TTLL4	3.79472868591857
PPBP	3.16131490297229
HTR3A	3.34061606922180
SDC2	4.780258904883
ANKRD49	9.20782253210333
BTF3	11.1708362980520
COX7A2	11.6906218978117
SARS	8.60005490350027
C13orf18	4.06516530165648
CACNB1	3.69671415986702
QKI	6.15614188139987
SETMAR	6.54613979028476
LAMB4	3.49687413046880
MAN2B1	6.30345816845093
EML3	4.75994901817359
ACADL	3.30662997118491
OFD1	7.68460021370296
CGA	3.5274051761143
EIF3EIP	10.0703147346305
PEX16	5.21277703589977
GNG12	8.15918859415179
HABP4	4.74039233439394
CNTN2	3.57615676994669
ASNSD1	8.08265129049198
FUT4	4.39164296212219
DBH	3.64494909006138
CD53	7.24899449742949
HIST1H2BJ	4.15085064187747
TFAP2B	3.23871260781057
ACF	3.85460124532812
TMEM11	6.00130424265578
CDH8	3.65781681543261
C3orf32	3.45523238860008
AGPS	5.01224106881871
C4orf18	3.10140796832116
PCCB	8.58441101895175
IPO13	5.2665449406804
PECI	9.08906862941701
UNG	7.18610683231105
C6orf105	3.73045220471811
GSTP1	8.34918834438527
SUV420H1	6.31314155939952
ARHGAP15	4.34631488532688
LTBR	6.16926978987208
TDRKH	3.41376943001501
PSG4	3.34977552180725
SLC9A3R1	5.56438769605263
NBPF3	8.24857185188931
SLC9A3	3.68857933091668
OSBP	5.4287324099567
PRR5	4.23940186670039
CHMP7	5.72523123026309
ADRA1A	3.03664919951297
ASAH1	6.70223367783693
