Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_D04
Composite Element REF	Signal
AACS	7.4723767562639
FSTL1	7.52625027539249
ELMO2	5.76640344229316
CREB3L1	3.74426536976033
RPS11	9.90200803345045
PNMA1	8.31804418125917
MMP2	5.88922644937852
SAMD4A	3.55099460989985
SMARCD3	6.08997669530135
A4GNT	3.80041600921676
C9orf39	3.18575245015516
PKNOX2	4.46069748082467
RALYL	3.30623250346111
ZHX3	4.53267279377998
ERCC5	5.40545442746626
RXFP3	3.08499875592103
APBB2	4.50556105351783
BBOX1	4.31464616410879
PRO0478	2.79335306221846
GCSH	8.75271404340436
XDH	4.26077068628362
EDN1	4.95809183479219
MTERF	7.39965682798097
PDCL3	7.76784216179979
CLK4	5.23270094894184
KCNG1	5.14576426398478
CXCR4	7.96463558874995
DECR1	8.22760580859449
SALL1	3.29377233800484
PTPRR	3.28057256171789
CADM4	3.27151417875663
IRAK1	9.802531846173
CFHR5	3.26328367315091
HNRPD	7.83709594369652
TMSB10	11.7181717265017
CXCL3	3.72374998616272
LMAN1	4.28460173950680
SUHW1	3.44808680632844
CHD8	7.18104652617527
SUMO1	7.91934136645732
GP1BA	3.34272658985573
OR7A10	3.76734856893883
DDB1	7.56816790260951
CHRNA10	3.68385120630123
STYK1	4.08346828996617
MYO9B	4.80728268753591
CCNI	11.0390845435020
MMP7	7.69586811591864
EP300	6.96900860340502
CRNKL1	7.2548391884465
C9orf45	3.46158673314898
XAB2	4.33332012001198
RTN1	3.67416747885442
HIC2	3.72049300429261
TBX10	3.57854257187248
CENPQ	4.75572520934005
UTY	3.16536507802441
OR2W1	3.19042905725249
ATP5G2	10.6752514506700
ZEB1	3.25233121735350
ZG16	3.45022078090234
ERG	3.48961022877741
PARN	7.8458774414448
SOD2	5.34429888823978
JOSD3	7.50060510185536
ADAM5P	3.20028066544726
CHD9	5.36742328343583
hCG_40738	3.89615628292567
STK16	5.18141738382895
PDE1C	3.51402907191805
SEMA4D	5.86796840277749
AGPAT1	7.08067929965757
TOB2	6.79902603150559
BANK1	4.25683422662184
MAP3K3	5.70401400765026
MAX	4.80894611221804
GRM2	3.86384730051947
OSBPL8	7.38031546623552
PROSC	6.93094040940633
NR4A2	4.66148966125403
RICS	5.66699413047448
PIR	5.78922198574212
PPCS	10.7308539214466
IPO9	6.12727018299082
LONP1	7.5088782303601
EVC	4.27521629967640
CXCL13	4.09307997356016
SCYL3	5.70067518286208
KIAA1199	6.2827232243707
SORL1	9.69140243829855
NAT10	6.59534627379278
CHD1	5.82983168708404
SYN3	3.60747514585827
DMC1	3.80137553631575
SLC22A2	3.81160792026543
SERPINF1	5.10261186708865
C20orf27	6.82028727393599
OR7A17	3.17303018640755
RPS6KA5	5.84136960561437
LHB	3.35185544585448
TAOK3	4.97145163691628
STK25	6.35906144050941
SLC12A4	3.64527636992258
