Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_E02
Composite Element REF	Signal
AACS	7.47011045763516
FSTL1	8.75441800231584
ELMO2	5.89356243189522
CREB3L1	3.43714501822115
RPS11	10.1788397350395
PNMA1	7.1138321256927
MMP2	7.03210241077332
SAMD4A	4.04481465466265
SMARCD3	8.2218360730468
A4GNT	3.65129491746014
C9orf39	3.05339281351724
PKNOX2	4.67965544739342
RALYL	3.18173143859784
ZHX3	4.36000016727522
ERCC5	6.58033609533046
RXFP3	2.92806903895641
APBB2	6.04249434738247
BBOX1	6.44728379627325
PRO0478	2.90344113518101
GCSH	8.93754857274727
XDH	3.64089538226774
EDN1	4.71894952302466
MTERF	6.56943496796793
PDCL3	7.28551581113602
CLK4	6.39855974285557
KCNG1	3.42802887361696
CXCR4	9.10073274930242
DECR1	8.70360379592513
SALL1	3.19754262523354
PTPRR	3.69617364479642
CADM4	3.55153624763305
IRAK1	9.40192946304514
CFHR5	3.17973934620007
HNRPD	8.13051117740066
TMSB10	12.1661491347707
CXCL3	4.20134681600387
LMAN1	4.13508642587970
SUHW1	3.39373425697880
CHD8	5.81121454877154
SUMO1	8.15350131601696
GP1BA	3.11488484048846
OR7A10	4.02367923804512
DDB1	7.62396206544982
CHRNA10	3.77790752821902
STYK1	4.02303535342807
MYO9B	4.29533398726532
CCNI	10.2548563404469
MMP7	9.58366275847519
EP300	6.17577338285634
CRNKL1	6.7857688332156
C9orf45	3.31102692793526
XAB2	4.34395529761151
RTN1	4.1866284200213
HIC2	3.6931180997864
TBX10	3.51617179424846
CENPQ	4.09901947274307
UTY	3.10980866025381
OR2W1	2.88201869304606
ATP5G2	9.94229998927379
ZEB1	3.19064396246978
ZG16	3.43193583666148
ERG	3.64278647396136
PARN	6.72674109323018
SOD2	6.34972234822245
JOSD3	7.86448958166499
ADAM5P	3.18182089605958
CHD9	6.6160398290677
hCG_40738	3.97213394618375
STK16	6.18755203357093
PDE1C	3.7514858312124
SEMA4D	5.38928800488565
AGPAT1	7.48153745930247
TOB2	5.95649491819644
BANK1	3.21560394569029
MAP3K3	5.70918206903647
MAX	4.94847132537679
GRM2	3.85826553311886
OSBPL8	5.94210414951248
PROSC	5.99195729854013
NR4A2	4.3728431457767
RICS	6.01340463435105
PIR	6.75853971070082
PPCS	9.65109243252358
IPO9	6.26543563465167
LONP1	6.67937464427925
EVC	4.4158978868515
CXCL13	4.02626491046972
SCYL3	5.68002658202319
KIAA1199	7.4690327546459
SORL1	8.6080562471256
NAT10	6.12347100922471
CHD1	5.71137699787849
SYN3	3.91092658309296
DMC1	3.85179535537718
