Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_A04_491166
Composite Element REF	Signal
AACS	7.36282044528962
FSTL1	8.28531924146172
ELMO2	5.46631598629136
CREB3L1	4.34036533222451
RPS11	10.3795226063064
PNMA1	8.1347435657867
MMP2	7.93906702282019
SAMD4A	3.99198427756638
SMARCD3	7.19644153986904
A4GNT	3.52646640465141
C9orf39	3.09266698643537
PKNOX2	4.15412616978648
RALYL	3.62107919779683
ZHX3	4.10314275032659
ERCC5	5.27629794863156
RXFP3	3.09298854927060
APBB2	3.91176775046344
BBOX1	4.07908595784148
PRO0478	3.14671626829922
GCSH	8.2416083395954
XDH	3.82428015851873
EDN1	4.53500762624472
MTERF	7.04787875810514
PDCL3	8.25306177038442
CLK4	5.25092377732144
KCNG1	3.86946384901783
CXCR4	8.02473776542343
DECR1	8.06616755081272
SALL1	2.9778767054243
PTPRR	3.25726942384341
CADM4	3.52604904308189
IRAK1	9.07815406601468
CFHR5	3.25756811421019
HNRPD	7.83978045307508
TMSB10	12.6932195769690
CXCL3	4.8016971114963
LMAN1	3.90097208342727
SUHW1	3.98410540758611
CHD8	5.13520622757826
SUMO1	8.221830911568
GP1BA	3.22391582526705
OR7A10	3.60242589664589
DDB1	7.74095667024321
CHRNA10	3.49376519297568
STYK1	4.10535354273928
MYO9B	4.00499826258751
CCNI	11.0180731428873
MMP7	11.1536854611236
EP300	5.38034004202741
CRNKL1	6.40302958246493
C9orf45	3.10048076402247
XAB2	4.1042292106523
RTN1	3.9181804666452
HIC2	3.51483623070662
TBX10	3.47020059198776
CENPQ	5.57912922562901
UTY	3.07731448977852
OR2W1	2.75833831220551
ATP5G2	10.5163854707240
ZEB1	3.45734493009172
ZG16	3.33633493406047
ERG	3.77918832213133
PARN	5.81603803882901
SOD2	6.91306169108586
JOSD3	8.85101487140346
ADAM5P	3.30984185076814
CHD9	4.97550873666739
hCG_40738	3.54468503407908
STK16	4.79076161547689
PDE1C	3.49059580643184
SEMA4D	5.97404052589239
AGPAT1	5.8049713383445
TOB2	5.48842833788563
BANK1	3.68045814616678
MAP3K3	5.04220007957019
MAX	5.66456685659727
GRM2	3.79396738984859
OSBPL8	7.25681940112391
PROSC	5.73622085468466
NR4A2	4.54543586909944
RICS	4.53656062228348
PIR	5.88642929718225
PPCS	9.42018730360677
IPO9	5.89464071726174
LONP1	6.22413345635628
EVC	3.9798399847691
CXCL13	5.80444105219637
SCYL3	5.6255532334782
KIAA1199	5.59440058221289
SORL1	8.64227396262791
NAT10	6.2310674789832
CHD1	5.78477381020606
SYN3	3.48998181270422
DMC1	3.9284948816541
SLC22A2	3.72315877101330
SERPINF1	8.64337907229137
C20orf27	5.87922500215454
OR7A17	3.16966203511377
RPS6KA5	4.60161268851156
LHB	3.1394431529581
TAOK3	4.72966482229642
STK25	5.41697723388002
SLC12A4	3.48964195309309
BRCA1	4.43735738920717
GBL	5.96997551398438
C14orf108	8.50973393551213
CDC25B	6.74248080696841
BMP3	3.06961496887291
MAP1LC3C	3.35982032434314
TMEM180	3.18704513146311
CRYGC	3.77169246558608
SLK	5.87107143337432
POU3F1	3.16158185520286
C20orf32	3.89490313354802
USP52	6.21435959000926
HIGD1B	4.18161179952601
BAZ1B	5.75116502498101
USP6NL	5.93229739703465
SLCO2B1	4.34594998912921
ABCD4	4.57352388194836
DIMT1L	6.57343708793958
SLC25A46	7.95572226520593
LARP7	7.21325955029857
TEK	3.51498451388256
CD160	3.56910033803801
TERF2IP	7.12885525725202
PHF20	5.51077044462267
COL1A1	8.01582319605199
KIAA0090	6.44245164442869
GTPBP1	4.29700327942323
GRK5	3.51352581396051
AP1S2	5.93801309968126
RAB33B	4.94433066183552
CA11	4.85932453828614
ALDOC	5.3411766062433
NUDT1	5.63977920617642
ZNF212	4.83450114079481
ACBD3	6.51762169582909
ZNF83	7.6925122793147
PRDM2	4.47657490339462
GDPD5	4.81130667827134
PDCD4	5.28777169225716
CEP350	5.43045599729644
FOXP3	3.06471069950529
SMYD3	7.29920256734591
CST7	4.95727716671433
SELL	5.08416429032458
CIAO1	6.81535984031972
LGI2	3.87806513622678
WDR45	6.83070668151015
ANKRD6	7.81786019843315
LTBP4	3.61125201116172
PSCD3	3.40220577534554
PYY	3.15821365546968
KCNC1	3.14731984238775
SIRT6	3.92995960850357
CCL19	4.41083561141804
ARHGEF9	4.54649733316185
ABR	4.05188467413292
C10orf22	5.71356586561154
STK17A	5.2684781794521
FOXE1	3.71262302874835
GML	3.22648951457592
CNGA3	3.040015913037
CD38	4.49049898050957
ZDHHC6	8.1075494593376
NEFH	7.69626991863447
PGBD5	4.24079526188911
CTDSP2	6.50786539703989
RMND5B	6.02779347731014
ZNF257	4.26592917806235
DUSP4	3.89772924441462
FLJ22167	6.95284555896292
EXOSC7	6.96079208989069
ROR2	3.63216131599989
FOXM1	5.40012438754557
ZBTB48	4.79532052747068
BUD31	9.0096680423601
MAOA	4.99679636446478
CCDC41	4.1028367356027
TNNT3	3.5968268205203
FBXO11	5.41952202104222
GYPC	6.55360046919881
PLIN	4.44987734101202
RFXAP	3.59528525810291
C6orf15	4.10203944740426
RNF4	8.12960045216579
F8A1	8.73437916899177
PPP1R3D	4.36205912400375
GRB2	7.92241708375215
TPM3	3.01840939007413
SYT13	3.56598770488897
EPB42	3.50066490769446
RP5-1077B9.4	5.8087719526163
EIF1	10.7413350005562
CETN3	7.96588695327553
FPGT	6.1970330707547
PRY	3.47858633965058
NTHL1	5.92934718352635
POLR2B	9.89704793990908
RPS28	11.8346474387731
GDF10	3.12426143574831
COQ9	7.53022128445759
P2RX3	3.00094679771278
GCC2	6.52803982857007
RARRES3	7.53561865579624
PLXNA1	5.35315692352665
WBP4	4.68529482251554
KIAA0100	6.01460505827662
PMF1	7.31506689590034
HS2ST1	5.35383709862672
CRELD2	6.36952905702054
C8G	3.09625494284651
CD82	5.24404250341972
PMM1	5.83398488068289
CBLL1	4.82713158912356
LIM2	3.14258528096203
VAX2	3.7459979940981
