Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_B02_491104
Composite Element REF	Signal
AACS	6.95927600201606
FSTL1	6.43891644392034
ELMO2	5.79429676887152
CREB3L1	3.86975074318589
RPS11	10.3319314795471
PNMA1	9.55010442707807
MMP2	5.84574079481314
SAMD4A	4.15795871929847
SMARCD3	5.26074470459787
A4GNT	3.65587831611256
C9orf39	3.39328138281871
PKNOX2	3.82015918884074
RALYL	3.56269846832372
ZHX3	3.96273462075054
ERCC5	6.04539106573007
RXFP3	2.96618259102424
APBB2	3.81126923912041
BBOX1	4.60842020494138
PRO0478	2.96511068189535
GCSH	9.57893638736797
XDH	3.77745689966112
EDN1	3.51056559267889
MTERF	6.84605435472662
PDCL3	7.79534748214884
CLK4	5.32378939700129
KCNG1	3.91625461255734
CXCR4	9.86300163842974
DECR1	6.85817882091663
SALL1	3.84541606360632
PTPRR	3.87833844345266
CADM4	3.24913298822785
IRAK1	8.24980499353646
CFHR5	3.14030259166477
HNRPD	8.25869340269002
TMSB10	11.9949708991258
CXCL3	3.82240385205901
LMAN1	4.10321512108417
SUHW1	3.52404474273117
CHD8	5.67738178867998
SUMO1	8.07154714175838
GP1BA	3.10927815205179
OR7A10	3.70303426882508
DDB1	7.88281588448767
CHRNA10	3.67545994184115
STYK1	3.46644706078290
MYO9B	5.27302679699326
CCNI	10.5865541817188
MMP7	10.1701119535793
EP300	7.04595975005327
CRNKL1	7.35315598104697
C9orf45	3.10490407496675
XAB2	4.64930464539783
RTN1	3.99060822287776
HIC2	3.67032516710798
TBX10	3.61001924486936
CENPQ	5.06544456843327
UTY	3.10706554577303
OR2W1	2.94591279207405
ATP5G2	10.9419179517787
ZEB1	3.26224369959898
ZG16	3.58646874079739
ERG	3.43447386842956
PARN	7.88337799177042
SOD2	5.16986400363932
JOSD3	9.0787344112047
ADAM5P	3.27864753318737
CHD9	6.24432260179707
hCG_40738	3.81532025830915
STK16	5.94082364410202
PDE1C	3.45703450406848
SEMA4D	6.19867044494331
AGPAT1	6.71426553958361
TOB2	6.39006462482988
BANK1	4.39025871451106
MAP3K3	5.30316506696805
MAX	5.2819666630772
GRM2	3.94254439365683
OSBPL8	7.31355456533217
PROSC	5.34706806279399
NR4A2	7.30585996929181
RICS	4.52144109309288
PIR	3.8709380928037
PPCS	9.80706959919638
IPO9	6.66385654870656
LONP1	7.44230052493341
EVC	4.40459848428873
CXCL13	3.81344624937675
SCYL3	6.02481451608541
KIAA1199	6.78545067213237
SORL1	9.35854818681145
NAT10	8.23655410383398
CHD1	7.45373156219792
SYN3	3.73906651720024
DMC1	3.66394751368725
SLC22A2	3.49516542224037
SERPINF1	4.372918317202
C20orf27	6.34561247608363
OR7A17	3.34232429419179
RPS6KA5	4.28401637873351
LHB	3.40856725621104
TAOK3	4.56635732015794
STK25	7.05109191664435
SLC12A4	3.66611898309335
BRCA1	4.47266022721645
GBL	6.55828231762031
C14orf108	7.95757182858823
CDC25B	6.18489077516588
BMP3	3.09147105990805
MAP1LC3C	3.87788059415957
TMEM180	3.92873440811816
CRYGC	6.91059963999732
SLK	5.12880209295895
POU3F1	3.20189327741254
C20orf32	3.78984095942010
USP52	6.53721366001306
HIGD1B	3.94548420185073
BAZ1B	6.80355027241318
USP6NL	5.76062371803028
SLCO2B1	3.75207831783139
ABCD4	4.64628897151144
DIMT1L	6.43152846466422
SLC25A46	8.0763091912594
LARP7	7.28025919529431
TEK	4.14199562041685
CD160	3.48364986499666
TERF2IP	9.5217990592269
PHF20	6.448694315257
COL1A1	6.75960225505681
KIAA0090	6.54729559641401
GTPBP1	4.58214841489501
GRK5	3.57442352763999
AP1S2	6.27054157458479
RAB33B	4.26825656926233
CA11	4.15198350448813
ALDOC	5.51733358636497
NUDT1	4.78390655975889
ZNF212	5.77838218118495
ACBD3	7.2268428488617
ZNF83	6.31191998109383
PRDM2	5.1880726462558
GDPD5	4.66395261537192
PDCD4	7.93770049867158
CEP350	6.37387581246035
FOXP3	3.23070125416358
SMYD3	7.20175077472484
CST7	3.50721914329708
SELL	3.99972058712788
CIAO1	7.39307499577852
LGI2	3.49308570815707
WDR45	7.0133988410082
ANKRD6	6.692013941223
LTBP4	7.63216231468248
PSCD3	3.136396969621
PYY	3.27096367753022
KCNC1	3.15912036372423
SIRT6	4.03799930704639
CCL19	3.86260491583506
