Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_C08_491130
Composite Element REF	Signal
AACS	5.64191954909711
FSTL1	7.2782439816484
ELMO2	5.76922738056916
CREB3L1	3.85187263729814
RPS11	10.5537867651325
PNMA1	7.70713065519909
MMP2	7.62054325474515
SAMD4A	3.94533318275289
SMARCD3	8.37596676208276
A4GNT	3.8141751351569
C9orf39	3.07514990493092
PKNOX2	3.92288959187847
RALYL	3.45699040262087
ZHX3	4.178610299868
ERCC5	6.64644159154556
RXFP3	3.11039903570037
APBB2	4.43252010944938
BBOX1	4.54514618973412
PRO0478	3.30187320582311
GCSH	8.59966862743033
XDH	4.03329124893392
EDN1	4.90597921250725
MTERF	6.47874012348676
PDCL3	7.30465044824962
CLK4	5.83888142805876
KCNG1	3.73745903118773
CXCR4	7.8960898392564
DECR1	8.01236947187447
SALL1	3.10600055599317
PTPRR	4.14580856803335
CADM4	3.22696702442975
IRAK1	9.62378963745518
CFHR5	3.29903692972951
HNRPD	7.99631573085262
TMSB10	11.8573490992522
CXCL3	4.7228592170344
LMAN1	4.01532248519721
SUHW1	3.56268239976123
CHD8	5.4645734191925
SUMO1	7.72842938151504
GP1BA	3.30031471219216
OR7A10	3.84951811252005
DDB1	8.12072071516583
CHRNA10	3.54547051359142
STYK1	3.38234657680948
MYO9B	4.41838062018429
CCNI	10.6445088607447
MMP7	11.1812177847670
EP300	6.96453609190506
CRNKL1	6.48042708979812
C9orf45	3.33191467329219
XAB2	4.53220834663964
RTN1	5.0896395912307
HIC2	3.97366820404737
TBX10	3.65473729928329
CENPQ	4.08721419361104
UTY	3.08959579100824
OR2W1	2.83468533688462
ATP5G2	10.7594600316697
ZEB1	3.78001454499941
ZG16	3.34698179664637
ERG	3.7662309462237
PARN	7.59023775659875
SOD2	4.96024026237722
JOSD3	7.73457350043667
ADAM5P	3.34664384868472
CHD9	5.17367988087589
hCG_40738	3.76148934906484
STK16	4.92554828279309
PDE1C	3.48064267504335
SEMA4D	6.32580857866708
AGPAT1	6.18432723943247
TOB2	6.91701926951108
BANK1	3.74940535036355
MAP3K3	5.98177255504486
MAX	6.09634986044437
GRM2	3.62407254245857
OSBPL8	7.66163209282559
PROSC	6.86863522536405
NR4A2	4.92605923107195
RICS	6.25369588664069
PIR	4.38772115319478
PPCS	8.89326847509086
IPO9	5.62397902812617
LONP1	7.27836296026274
EVC	4.0626967257359
CXCL13	4.92205207234858
SCYL3	5.60193668966857
KIAA1199	6.40274679331118
SORL1	9.13213553947392
NAT10	6.59227760810624
CHD1	7.51598550795482
SYN3	3.55987930823817
DMC1	3.7195501940709
SLC22A2	3.85419725860246
SERPINF1	8.09991231225028
C20orf27	6.07422706481664
OR7A17	3.16951019609822
RPS6KA5	4.96389179613879
LHB	3.16603233518117
TAOK3	5.4580725033251
STK25	5.87576687798408
SLC12A4	3.50475886891549
BRCA1	3.55673851080817
GBL	6.11263008142146
C14orf108	8.89378468828233
CDC25B	7.09472816400862
BMP3	3.17899089920194
MAP1LC3C	3.36657581737581
TMEM180	3.41806285344313
CRYGC	3.66823372703521
SLK	5.7509092483977
POU3F1	3.2050422368266
C20orf32	3.85158912293546
USP52	4.7207110262612
HIGD1B	3.78550864273742
BAZ1B	6.68186034795806
USP6NL	5.44234634340392
SLCO2B1	4.34977322755598
ABCD4	4.07247840297786
DIMT1L	6.60581124085773
SLC25A46	7.98222959001452
LARP7	6.2107159279662
TEK	3.67936777116599
CD160	3.76511994551646
TERF2IP	6.63016423298102
PHF20	6.43253298016067
COL1A1	7.84034113482743
KIAA0090	5.74189783664621
GTPBP1	4.88782738938231
GRK5	3.89633258870556
AP1S2	5.38311757846989
RAB33B	4.79845904516637
CA11	5.18983767662038
ALDOC	5.49934008962058
NUDT1	4.94754990566147
ZNF212	5.55637835155928
ACBD3	7.2181868743401
ZNF83	6.47780519547661
PRDM2	5.35027747023912
GDPD5	4.4272909740708
