Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D03_491148
Composite Element REF	Signal
AACS	6.21116035691708
FSTL1	9.37057846441454
ELMO2	6.33677213084686
CREB3L1	4.53009349616025
RPS11	10.0632867776587
PNMA1	8.16853180454544
MMP2	8.90323038493432
SAMD4A	3.89004296241280
SMARCD3	7.20173163373228
A4GNT	3.57263084455587
C9orf39	3.47130781654853
PKNOX2	4.88001065556464
RALYL	3.59849884214922
ZHX3	4.33560270728883
ERCC5	5.62519190036119
RXFP3	3.12485286750114
APBB2	4.51829740995899
BBOX1	6.11044539503868
PRO0478	2.93005023578943
GCSH	7.98739899468617
XDH	4.21793285590431
EDN1	4.16468262948219
MTERF	5.86936189748922
PDCL3	8.18162044298537
CLK4	6.21883709375863
KCNG1	4.60091208050441
CXCR4	8.10823617508477
DECR1	8.06106278136402
SALL1	3.74887869733698
PTPRR	3.27334088433983
CADM4	3.27568193147599
IRAK1	8.30932091326693
CFHR5	3.10052231013809
HNRPD	8.74702656950746
TMSB10	12.2795040325514
CXCL3	3.7211699231929
LMAN1	4.11029245136592
SUHW1	3.33996903544728
CHD8	6.55089424081708
SUMO1	8.23129267793655
GP1BA	3.33617977225909
OR7A10	3.72373384449841
DDB1	7.71163683393092
CHRNA10	3.71883479252749
STYK1	3.95011898140474
MYO9B	5.03646039214467
CCNI	10.9198123374730
MMP7	8.82637450005956
EP300	6.79144571056464
CRNKL1	7.24422822531852
C9orf45	3.36054036531370
XAB2	4.55588871821592
RTN1	3.93250511536446
HIC2	4.14221053783525
TBX10	3.53677058914397
CENPQ	4.42646273714352
UTY	3.18638011881916
OR2W1	3.04051899732802
ATP5G2	10.4314277195760
ZEB1	3.73013010796466
ZG16	3.52280790673165
ERG	4.03203664385287
PARN	7.79859885988108
SOD2	5.90473098758684
JOSD3	7.5517692712047
ADAM5P	3.30432903787112
CHD9	5.50837365572387
hCG_40738	3.76258479963063
STK16	5.06592670647434
PDE1C	3.53703386408349
SEMA4D	5.54303736795303
AGPAT1	6.37496529870355
TOB2	6.18855700365974
BANK1	3.53162037948258
MAP3K3	5.24357250134145
MAX	4.81601566854176
GRM2	3.89690451012485
OSBPL8	7.65699410858223
PROSC	5.93446457606362
NR4A2	5.48946605195917
RICS	5.62674718531182
PIR	4.58894378940163
PPCS	10.2058452911950
IPO9	6.54936530251521
LONP1	7.75592748213753
EVC	4.31582771753836
CXCL13	4.77104428925663
SCYL3	5.19475339832989
KIAA1199	6.27066290084421
SORL1	7.72526899350109
NAT10	6.83379866531877
CHD1	6.61282643714557
SYN3	3.69430655182216
DMC1	3.89386465888031
SLC22A2	3.61672842017265
SERPINF1	8.55561505471918
C20orf27	5.72406538928124
OR7A17	3.24280122678075
RPS6KA5	4.29142057711981
LHB	3.26522343061489
TAOK3	4.59288686926256
STK25	6.69050968770062
SLC12A4	3.60287462478333
BRCA1	4.55969916474373
GBL	5.92912817149809
C14orf108	7.31594045914295
CDC25B	7.04811431699237
BMP3	3.12808984856641
MAP1LC3C	3.87664134247387
TMEM180	3.81448526464573
CRYGC	3.31345603042000
SLK	5.83173817588808
POU3F1	3.10870103476654
C20orf32	3.78569171876817
USP52	6.28593129922269
HIGD1B	3.91668650723291
BAZ1B	6.49376116245595
USP6NL	5.11694435632308
SLCO2B1	4.34223123208486
ABCD4	4.30930980972789
DIMT1L	6.283922162182
SLC25A46	7.31467935148754
LARP7	6.5944091252484
TEK	3.92602175802444
CD160	3.62950159243291
TERF2IP	7.24705220023429
PHF20	6.50025436121125
COL1A1	9.66135678492711
KIAA0090	6.52712856162416
GTPBP1	4.51696717892422
GRK5	4.27127550676277
AP1S2	5.23493010803724
RAB33B	3.92488434102295
CA11	4.04353532640926
ALDOC	4.65153405181494
NUDT1	6.61065057082844
