Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E07_491254
Composite Element REF	Signal
AACS	7.12941666584294
FSTL1	9.05662217102754
ELMO2	6.44937978728759
CREB3L1	3.5924036557172
RPS11	10.7285661860090
PNMA1	8.97028866144122
MMP2	5.56992697755539
SAMD4A	4.00795988753173
SMARCD3	7.83929539711711
A4GNT	3.63740805408397
C9orf39	2.97082867452165
PKNOX2	4.28982429671141
RALYL	3.36750260371537
ZHX3	4.83281904694653
ERCC5	5.71728922141496
RXFP3	3.04152280178683
APBB2	4.1791947558322
BBOX1	4.16735857340075
PRO0478	3.02792472081239
GCSH	10.3139817027782
XDH	3.76612203861164
EDN1	4.10130809238161
MTERF	6.20388310557209
PDCL3	7.5035320697634
CLK4	4.75354046591355
KCNG1	4.81492467174777
CXCR4	8.74462281819699
DECR1	7.8076465751514
SALL1	7.5912405198433
PTPRR	4.73652198271402
CADM4	3.42638620933704
IRAK1	9.24583236657191
CFHR5	3.39994387302623
HNRPD	8.20558163318122
TMSB10	12.1662282220368
CXCL3	4.80530933588209
LMAN1	3.8518252775985
SUHW1	3.50967510843782
CHD8	6.3693662413241
SUMO1	7.25593060051513
GP1BA	3.53856360618137
OR7A10	3.69363158184362
DDB1	8.08291793776026
CHRNA10	3.69102985133993
STYK1	4.35936726737082
MYO9B	4.83649624581497
CCNI	11.053086172899
MMP7	7.97693001922155
EP300	6.90478941030992
CRNKL1	7.45534804230453
C9orf45	3.18116378513804
XAB2	4.44983050196456
RTN1	3.41408866001326
HIC2	4.00383835768502
TBX10	3.55903369889410
CENPQ	4.16753008634222
UTY	3.20242099792971
OR2W1	2.79906013255926
ATP5G2	11.1146442105243
ZEB1	3.18182028958699
ZG16	3.56765475391179
ERG	3.61185657699747
PARN	7.78596763579998
SOD2	3.71428356955425
JOSD3	8.11469758142555
ADAM5P	3.27328908669500
CHD9	7.14301319490987
hCG_40738	3.74803362486454
STK16	4.69575132267315
PDE1C	3.69331817531867
SEMA4D	5.05464041720919
AGPAT1	6.59737380485483
TOB2	6.68584883626542
BANK1	3.18820790233135
MAP3K3	5.40701810184729
MAX	5.30015269418824
GRM2	3.81939316823252
OSBPL8	6.99822077469546
PROSC	5.74324057670224
NR4A2	4.87905052063238
RICS	6.00488051433472
PIR	4.93528628894037
PPCS	9.5185509913134
IPO9	5.82801238798228
LONP1	6.86479371038814
EVC	4.66759148717806
CXCL13	3.96761528508519
SCYL3	5.05594021614679
KIAA1199	6.89398136727204
SORL1	9.30294732774845
NAT10	7.22161485024797
CHD1	6.24321147179817
SYN3	3.53133029244621
DMC1	3.92515816006211
SLC22A2	3.7303411843161
SERPINF1	8.23054969577065
C20orf27	7.5019316740579
OR7A17	3.03115278874643
RPS6KA5	5.93230812161987
LHB	3.07790902282389
TAOK3	4.46326105695880
STK25	5.4234053791379
SLC12A4	3.68764820670675
BRCA1	3.33604680207353
GBL	6.93552585956886
C14orf108	8.8671344880342
CDC25B	6.3390088857244
BMP3	3.15811732756831
MAP1LC3C	3.59508989946995
TMEM180	4.02217729659018
CRYGC	4.43510240031444
SLK	6.2690487546884
POU3F1	3.24551788997374
C20orf32	3.70207014455021
USP52	7.7650688409563
HIGD1B	3.65210074268085
BAZ1B	6.73051439728818
USP6NL	6.47598495975269
SLCO2B1	3.80952950168398
ABCD4	4.76293976538223
DIMT1L	6.88486500895959
SLC25A46	6.4764316429495
LARP7	6.60350704687448
TEK	3.62593542786939
CD160	3.54561874491354
TERF2IP	8.9894190147355
PHF20	6.30407135652387
COL1A1	5.43841192212199
KIAA0090	5.87884908324399
GTPBP1	4.71927433430174
GRK5	3.78415026136729
AP1S2	4.41197446362329
RAB33B	4.8807174247129
CA11	7.9953364703408
ALDOC	6.72397615874764
NUDT1	4.68604233272224
ZNF212	6.01081712649991
ACBD3	7.14911803939447
ZNF83	6.73606608531788
PRDM2	4.9017788480194
GDPD5	4.925040504858
PDCD4	6.75624173295306
CEP350	6.00490639577908
FOXP3	3.34477633791457
SMYD3	6.78623173253634
CST7	4.02252461035089
SELL	3.80402808955006
CIAO1	6.66018396328908
LGI2	3.77388220055393
WDR45	7.37399220332088
ANKRD6	5.82657166460807
LTBP4	4.78482452098266
PSCD3	3.10949162216638
PYY	3.02322423347038
KCNC1	3.43161186097186
SIRT6	4.10927719543052
CCL19	3.85321140630742
ARHGEF9	5.18664836689395
ABR	4.29229382565493
C10orf22	7.65905832874558
STK17A	5.01112981129539
FOXE1	3.41321858250803
GML	3.30320005272829
CNGA3	2.9287618729645
CD38	3.83232497974678
ZDHHC6	7.05030403816481
NEFH	3.17639627584858
PGBD5	4.75151964452866
CTDSP2	8.08230710950064
RMND5B	5.75928710978055
ZNF257	3.1372866842367
DUSP4	5.21421060435298
FLJ22167	7.20843710160753
EXOSC7	7.21003943781654
ROR2	4.62688328767201
FOXM1	4.36798469721529
ZBTB48	5.00257177073344
BUD31	8.12205811662516
MAOA	6.79373734526507
CCDC41	3.87613882206668
TNNT3	3.97997261198829
FBXO11	5.87603452996134
GYPC	4.35298753657683
PLIN	3.53788997557058
RFXAP	3.29582791683350
C6orf15	3.6261083796288
RNF4	9.28490809424404
F8A1	8.87218168732335
PPP1R3D	5.77976253055597
GRB2	6.67073457823128
TPM3	3.18874366953371
SYT13	4.50981800453897
EPB42	3.56376115769823
RP5-1077B9.4	5.59771580627948
EIF1	10.2022244333849
CETN3	7.55825930878665
FPGT	5.5458501344338
PRY	3.72492388605401
NTHL1	5.77036305277177
POLR2B	8.62118486423649
RPS28	11.8227502363506
GDF10	3.59841694550131
COQ9	8.15877238455877
P2RX3	3.06102486414711
GCC2	7.22652332318068
RARRES3	7.17463452279516
PLXNA1	6.41340777443418
WBP4	4.32097981493302
KIAA0100	6.07875346432954
PMF1	6.61347935575536
HS2ST1	6.9794937537046
CRELD2	7.23634388632262
C8G	3.06193690899682
CD82	6.61909648973837
PMM1	5.28079469487566
CBLL1	4.35389806046924
LIM2	3.18459753403979
VAX2	3.70419589948543
