Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_F02_491266
Composite Element REF	Signal
AACS	6.80946826864944
FSTL1	9.3182239280565
ELMO2	5.91820858818025
CREB3L1	4.31225050894266
RPS11	10.3399318048565
PNMA1	8.97311120562852
MMP2	8.41443711192136
SAMD4A	3.87689234975081
SMARCD3	5.31202166872311
A4GNT	3.61747957212139
C9orf39	3.43667837814045
PKNOX2	4.0368601113846
RALYL	3.72745632529231
ZHX3	4.43576486145545
ERCC5	5.75392142612592
RXFP3	3.03798171818794
APBB2	4.60984480419373
BBOX1	3.44829984169536
PRO0478	2.96004896475762
GCSH	8.3190516054593
XDH	3.56858821673088
EDN1	4.07957983464838
MTERF	6.91213062048034
PDCL3	7.40167822411356
CLK4	5.5032259652699
KCNG1	4.50152549684792
CXCR4	9.21845696013278
DECR1	8.28438809975641
SALL1	3.31905780917825
PTPRR	3.55238344704584
CADM4	3.45916229993931
IRAK1	9.5907325448083
CFHR5	3.11411531889768
HNRPD	8.06039034477086
TMSB10	12.2067033373739
CXCL3	4.17656869600165
LMAN1	3.92307227530889
SUHW1	3.72543990400526
CHD8	5.63965645796587
SUMO1	8.00574686181763
GP1BA	3.20536953843050
OR7A10	3.40885603164292
DDB1	7.32452324774951
CHRNA10	3.65586543570699
STYK1	3.45405851841179
MYO9B	4.16106851266976
CCNI	10.0327760546983
MMP7	9.7215650544222
EP300	6.85425272192063
CRNKL1	6.99656529070701
C9orf45	3.22198471571262
XAB2	4.24887669019456
RTN1	4.47052085859321
HIC2	4.53925775136853
TBX10	3.54367108151428
CENPQ	5.06150534995105
UTY	3.12460584920732
OR2W1	2.96646179773389
ATP5G2	10.2135581476477
ZEB1	3.95438598923336
ZG16	3.41584786887092
ERG	3.57317748374804
PARN	6.52389379954049
SOD2	6.16101852198676
JOSD3	7.14883279291152
ADAM5P	3.21788435370232
CHD9	5.45209038866045
hCG_40738	3.62720945784396
STK16	4.53531085931122
PDE1C	3.57926770789265
SEMA4D	6.36335718209915
AGPAT1	6.14242417671875
TOB2	5.84554766846836
BANK1	4.78577491839756
MAP3K3	5.84425042989206
MAX	5.28368087195328
GRM2	3.66066317193308
OSBPL8	8.07316828074593
PROSC	5.5652016963539
NR4A2	3.77135597015440
RICS	3.99356046393039
PIR	5.20202888861962
PPCS	9.89360936685376
IPO9	6.06216342994673
LONP1	6.98016921965133
EVC	4.59455286847245
CXCL13	8.46278469531375
SCYL3	5.14153170110717
KIAA1199	6.92360459210887
SORL1	7.34300118784361
NAT10	5.98036266241518
CHD1	6.39640200500036
SYN3	3.63272413048720
DMC1	3.67074894711035
SLC22A2	3.67243526972016
SERPINF1	8.53131113370184
C20orf27	6.34853231284109
OR7A17	3.09442148664393
RPS6KA5	4.74495216312512
LHB	3.25812130497869
TAOK3	4.58931808716221
STK25	6.38824423941444
SLC12A4	3.55392348401148
BRCA1	4.28107624091251
GBL	5.13211121501227
C14orf108	8.10195115311954
CDC25B	6.98286157299076
BMP3	2.98394455230225
MAP1LC3C	3.50999675572719
TMEM180	3.48054764400865
CRYGC	3.73910649594521
SLK	6.35937169139595
POU3F1	3.34686888566551
C20orf32	3.85749651575702
USP52	4.98799793610191
HIGD1B	3.6460322609426
BAZ1B	6.6706331277122
USP6NL	5.69880289097609
SLCO2B1	4.5400744593896
ABCD4	4.42648769098536
DIMT1L	6.0729102897071
SLC25A46	7.96793351726757
LARP7	6.62500701800081
TEK	3.57919507255244
CD160	3.49166046290075
TERF2IP	7.51243437702621
PHF20	5.85028967625168
COL1A1	7.79411656690091
KIAA0090	5.98308728248222
GTPBP1	4.4628686751431
GRK5	4.18942508918718
AP1S2	5.9483939687207
RAB33B	4.38639076620209
CA11	4.61325226759085
ALDOC	6.56514125218425
NUDT1	5.01980957707829
ZNF212	5.71896853940227
ACBD3	7.5320628937639
ZNF83	5.64153715651938
PRDM2	4.81237837843797
GDPD5	5.75536612054751
PDCD4	5.55265080632204
CEP350	5.75932775133566
FOXP3	3.18468469552222
SMYD3	7.42819990093276
CST7	5.62442590048492
SELL	5.1490186205687
CIAO1	6.91599413761781
LGI2	3.97604531339619
WDR45	7.81729012402997
ANKRD6	6.75644372973796
LTBP4	4.7875901490437
PSCD3	3.28692939234414
PYY	3.55798305733695
KCNC1	3.21232182289675
SIRT6	3.92713910463325
CCL19	3.94468766809551
ARHGEF9	4.36641827117583
ABR	4.74886887256682
C10orf22	7.07637623295876
STK17A	5.18453503480465
FOXE1	3.53264473618926
GML	3.32245055236097
CNGA3	2.9487142410899
CD38	7.86393679107392
ZDHHC6	8.008340564266
NEFH	7.70992729596373
PGBD5	4.75012119601792
CTDSP2	7.59941336066761
RMND5B	5.40875122929676
ZNF257	4.21743104545618
DUSP4	4.35826123772029
FLJ22167	5.91225828880282
EXOSC7	5.98575283706238
ROR2	3.78271472555131
FOXM1	6.25690820789761
ZBTB48	4.10587926310876
BUD31	8.00470721667547
MAOA	5.10264021782792
CCDC41	3.97251542869042
