Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_G01_491276
Composite Element REF	Signal
AACS	6.42178157571488
FSTL1	6.6004912120476
ELMO2	6.50528542859644
CREB3L1	4.31144649894367
RPS11	10.5790674050653
PNMA1	6.64051183550326
MMP2	5.9515058142072
SAMD4A	3.87106014974129
SMARCD3	8.08374793130085
A4GNT	3.45513353621987
C9orf39	3.37965876760362
PKNOX2	4.87272193615785
RALYL	3.53278513756425
ZHX3	4.53431487642614
ERCC5	5.61029573745476
RXFP3	3.1649926781525
APBB2	3.93332551314428
BBOX1	6.50829470175169
PRO0478	3.09448833626868
GCSH	7.5300425205965
XDH	3.86454663429837
EDN1	5.84503668728796
MTERF	6.28917574717564
PDCL3	6.3871550075409
CLK4	6.61862175294208
KCNG1	4.13122788077504
CXCR4	7.1723133529547
DECR1	7.89306456813605
SALL1	3.23954579718131
PTPRR	3.64355335845938
CADM4	3.30199513421033
IRAK1	9.24613560910229
CFHR5	3.24509480501283
HNRPD	7.40284721972576
TMSB10	11.8540652987065
CXCL3	4.11525785671694
LMAN1	3.74477133548553
SUHW1	3.52211729655845
CHD8	6.51027377630747
SUMO1	7.93334964867343
GP1BA	3.25929142566076
OR7A10	3.70296401298105
DDB1	7.43924943822803
CHRNA10	3.59129029154682
STYK1	4.60451567650434
MYO9B	4.55166790001636
CCNI	10.2138058193692
MMP7	9.8061702123659
EP300	6.98776319387958
CRNKL1	6.34456695674403
C9orf45	3.45540900137183
XAB2	4.3621973448346
RTN1	3.34233189083346
HIC2	4.43834960600683
TBX10	3.46331968672981
CENPQ	4.4969450593207
UTY	3.20830030512828
OR2W1	2.89187314590686
ATP5G2	10.5251641238596
ZEB1	3.25118361350734
ZG16	3.38740274003721
ERG	4.29457728153881
PARN	7.56986337106382
SOD2	5.86405859136738
JOSD3	8.44277484019885
ADAM5P	3.14336281557796
CHD9	6.7915605725412
hCG_40738	3.52687767725573
STK16	4.92382961145598
PDE1C	3.53759214194884
SEMA4D	6.26540930759329
AGPAT1	6.06686406449746
TOB2	6.4730482206718
BANK1	3.25216891825300
MAP3K3	5.35243830602403
MAX	5.08499064876208
GRM2	3.98848117496280
OSBPL8	6.56262417883293
PROSC	6.44413680691654
NR4A2	4.41324312074511
RICS	6.3967362046436
PIR	6.30705471503802
PPCS	7.72936962459801
IPO9	6.09386772379271
LONP1	7.17499377888215
EVC	4.3032259778838
CXCL13	4.40694818863301
SCYL3	6.60337823005688
KIAA1199	6.5211785521008
SORL1	9.3604294482905
NAT10	7.82394958863121
CHD1	6.54236759486587
SYN3	3.36395599494494
DMC1	4.02477343639313
SLC22A2	3.85317522939866
SERPINF1	5.01523637876632
C20orf27	6.69042496488293
OR7A17	3.18671092575116
RPS6KA5	5.24654983603109
LHB	3.3593165912061
TAOK3	4.92805701737864
STK25	6.43378433140727
SLC12A4	3.56285763057714
BRCA1	3.53664741071005
GBL	6.21294249182786
C14orf108	8.49471046626506
CDC25B	8.69034503313525
BMP3	3.12560549196128
MAP1LC3C	3.46830062005567
TMEM180	4.06367008330283
CRYGC	3.43585843866141
SLK	7.03175150705565
POU3F1	3.37062528803825
C20orf32	3.80581795461073
USP52	5.88279070202891
HIGD1B	3.6460328104575
BAZ1B	7.26032835962617
USP6NL	5.85043590813917
SLCO2B1	3.95554544359725
ABCD4	4.33288064680116
DIMT1L	5.99671285121567
SLC25A46	7.71873018965137
LARP7	5.75018305769958
TEK	4.41311874632438
CD160	3.89929394600401
TERF2IP	7.25755789990578
PHF20	6.33670839825636
COL1A1	5.8402343185066
KIAA0090	5.12188364017413
GTPBP1	4.62776997754777
GRK5	3.76478373536941
AP1S2	4.01844657623792
RAB33B	4.63196200950518
CA11	5.62712115752831
ALDOC	5.14412561331048
NUDT1	4.36739462041341
ZNF212	6.45032840377865
ACBD3	6.9914698597506
ZNF83	6.95216917536424
PRDM2	4.84798387403299
GDPD5	4.82223306041119
PDCD4	6.59750543214853
CEP350	6.37237423204574
FOXP3	3.23903775171286
SMYD3	6.12345411639198
CST7	3.83182436618575
SELL	4.60511119945567
CIAO1	5.93748328996838
LGI2	3.91009059929555
WDR45	6.61781515983311
ANKRD6	6.55059802326905
LTBP4	3.59311547539423
PSCD3	3.2400010939953
PYY	3.17640738562340
KCNC1	3.28482537075882
SIRT6	4.12065886652661
CCL19	4.12190876987673
ARHGEF9	4.23490716416397
ABR	5.02388613390179
C10orf22	7.19107503272947
STK17A	5.43164883944322
FOXE1	3.59638610341873
GML	3.41868596552733
CNGA3	3.10505695129639
CD38	3.61732408134562
ZDHHC6	7.68842416748847
NEFH	3.9733625341033
PGBD5	6.06725413604472
CTDSP2	7.79636712876242
RMND5B	6.92845765254462
ZNF257	3.17546214005514
DUSP4	6.78022756103164
FLJ22167	5.73238586450172
EXOSC7	7.17697782605776
ROR2	4.26624123924848
FOXM1	6.22118513864324
ZBTB48	4.30221022758989
BUD31	7.84223206845728
MAOA	5.74018879820348
CCDC41	4.03308401673182
TNNT3	3.72331951468658
FBXO11	6.32456005409182
GYPC	4.8048890415756
PLIN	3.66418488573481
RFXAP	3.60764422995492
C6orf15	4.03100584771799
RNF4	8.0664517151367
F8A1	7.86243304765412
PPP1R3D	5.1803031587498
GRB2	6.86735302840979
TPM3	2.89950315154978
SYT13	3.8937950550914
EPB42	3.54717437266299
RP5-1077B9.4	5.20576804796652
EIF1	10.4607972023148
CETN3	6.81618739312413
FPGT	5.09812768708243
PRY	3.53935621149439
NTHL1	5.29826132499081
POLR2B	8.58474326351166
RPS28	11.6807365926756
GDF10	3.08778718430140
COQ9	7.71760624917013
P2RX3	2.96885176738622
GCC2	5.84449152414729
RARRES3	7.97365025101282
PLXNA1	6.77540934236927
WBP4	4.4567906763477
KIAA0100	6.3458827364135
PMF1	7.07427917503648
HS2ST1	5.56878824046139
CRELD2	7.58948794103795
C8G	3.20207732878335
CD82	7.44033845874209
PMM1	4.30017001422273
CBLL1	4.68993102239194
LIM2	3.30063185166596
VAX2	4.3726512150961
SETDB1	5.44922964373164
LRAP	3.4977500158228
GCLM	6.88336083712402
CPEB3	4.37537874843618
PPM1A	6.07445623770707
INTS1	3.99007236064234
MMP16	3.34129770142802
CAMTA1	3.61332365806907
SAMSN1	4.09371140078545
DRD3	3.01945702768804
GMPPA	4.93086454272864
C11orf73	5.53877659653929
AIPL1	3.88153997995291
PTP4A2	9.69402847990356
IL24	3.31066062183553
BDKRB1	3.59980571961398
HPCA	3.40703496352545
MLF1	4.01025405472445
SEC14L1	7.23821739135706
CHFR	5.28657439962865
EMILIN1	3.27471341338673
THADA	6.26556311377468
TAF12	4.47604394024454
NDUFS4	8.02410145678667
ID1	6.62721313226708
PIK3CB	3.89273160632499
COL18A1	7.8016187717692
PDZD3	3.10063298700087
TBC1D17	5.0071857402862
COX8A	9.91876380797737
CDCA4	7.04403318164814
C2orf44	4.60117592543106
C9orf16	8.31861962316336
ERBB2IP	7.4239523515727
EMX2	7.75915410228705
FUS	6.14069748704788
NIPSNAP3B	3.53749936736723
TF	3.29322366993024
CXorf56	5.30579082148501
CLCN4	3.52936573268482
PWP2	5.39953284127438
MMP15	5.29107329428394
MTMR14	6.35866166284908
NPR1	7.22671983838269
DNAL4	5.58853222416517
ELAC2	4.39261064796666
ASS1	11.3924546092735
IPP	4.95437880017632
TMEM59	8.99189062705175
POLR2J	8.5671938899141
SEC23IP	5.90986278590117
RGS4	3.85227241698886
UQCRC1	9.17225016664347
SNX6	7.79952353045033
DDX18	6.16498301410852
POLG	4.46241502612229
ADAM23	3.77760207520823
ZNHIT2	4.72034781198219
TFR2	3.72350075956208
NCDN	4.49037729624203
RAG1	3.38938005014716
POMT1	4.54806554131099
CYP1A1	3.29248818358521
SNAPC1	4.84447380504341
GNA11	6.20371227663259
CCDC52	3.02047711504752
CAPN1	7.03527953419705
DDHD2	7.41040023851729
UPF3A	5.94388300576205
LAGE3	6.02106146597769
GNRHR	3.18392730424278
UNC13B	6.23281920631673
TTLL4	5.50911776295737
PPBP	2.86518596065084
HTR3A	4.8625210179656
SDC2	7.0185321517136
ANKRD49	7.1539580022178
BTF3	9.58830106032927
COX7A2	10.6552110034371
SARS	8.52297775479813
C13orf18	3.45977504274768
CACNB1	3.95868041182389
QKI	5.6754446506407
SETMAR	5.28040222230447
LAMB4	3.28974283947793
