Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_H10_491222
Composite Element REF	Signal
AACS	5.46430381216822
FSTL1	7.70294446751388
ELMO2	5.99117356248515
CREB3L1	4.10623480297501
RPS11	10.2144005027804
PNMA1	8.11759237567732
MMP2	8.25940809818932
SAMD4A	4.20701014835546
SMARCD3	8.16884362798307
A4GNT	3.79562522473959
C9orf39	3.1438340853852
PKNOX2	4.19727849537795
RALYL	3.48596783227766
ZHX3	4.06247885260190
ERCC5	6.04266867525291
RXFP3	3.11389824086494
APBB2	4.24393590945186
BBOX1	4.39460687275373
PRO0478	3.19021170819830
GCSH	7.65474439998649
XDH	4.63403628942843
EDN1	4.38143337318922
MTERF	5.31193494375604
PDCL3	6.59901374174182
CLK4	7.14385556676223
KCNG1	3.58199148169742
CXCR4	7.48478737682721
DECR1	8.29647334346698
SALL1	3.10514873327648
PTPRR	3.31001929291535
CADM4	3.26421607318234
IRAK1	9.16762793146633
CFHR5	3.02037876757368
HNRPD	8.00632847574539
TMSB10	11.9522017976442
CXCL3	5.47457353122119
LMAN1	4.03194109986496
SUHW1	3.41674006840436
CHD8	6.41752793605123
SUMO1	8.25403613128277
GP1BA	3.21512843751791
OR7A10	3.75961302282804
DDB1	6.72025386237034
CHRNA10	3.55042869523556
STYK1	5.19918271723902
MYO9B	4.52160666946007
CCNI	10.1367605550390
MMP7	10.7111362349178
EP300	6.39538128930797
CRNKL1	6.4396050546965
C9orf45	3.30904468735413
XAB2	4.09819195519999
RTN1	4.86396580107596
HIC2	4.01240920118221
TBX10	3.41038988629946
CENPQ	4.37213068215023
UTY	3.07029294887049
OR2W1	2.92783988863344
ATP5G2	10.4593075356362
ZEB1	3.66034458773551
ZG16	3.41112044109621
ERG	3.97893167081027
PARN	6.46270695034161
SOD2	6.61562368804415
JOSD3	9.41134715222866
ADAM5P	3.21489818192023
CHD9	6.84077840372102
hCG_40738	3.75426558078297
STK16	5.24160252105374
PDE1C	3.68443177979741
SEMA4D	5.36654433619140
AGPAT1	6.33359446690606
TOB2	6.12337517529945
BANK1	4.17891721814659
MAP3K3	5.5029642144381
MAX	5.41877358114534
GRM2	3.88292201905747
OSBPL8	7.80765905360121
PROSC	5.53156743521582
NR4A2	6.36872651590998
RICS	6.14513375543650
PIR	2.88887644004750
PPCS	9.00280729145329
IPO9	6.97432731981826
LONP1	6.84181289607807
EVC	4.71298389111324
CXCL13	4.76110906307751
SCYL3	5.03044167732694
KIAA1199	6.24747036544712
SORL1	8.46040189982629
NAT10	6.20722408767643
CHD1	8.28475280734617
SYN3	3.45257368718509
DMC1	4.11055117159409
SLC22A2	3.63281874341607
SERPINF1	8.04282628691856
C20orf27	6.30697325176848
OR7A17	3.15652829945499
RPS6KA5	6.06291489525969
LHB	3.29498876673017
TAOK3	5.35232851564847
STK25	5.78640963148313
SLC12A4	3.69455555927689
BRCA1	3.90319911918634
GBL	5.74098558612383
C14orf108	8.67318181331893
CDC25B	8.58941124637377
BMP3	3.19279005203272
MAP1LC3C	3.42355002774200
TMEM180	3.47475385632069
CRYGC	3.59340514315005
SLK	7.69301033894717
POU3F1	3.2561544000502
C20orf32	3.90000672475305
USP52	6.03438422968309
HIGD1B	4.05545969346571
BAZ1B	6.41271959087644
USP6NL	5.41656432695673
SLCO2B1	4.530398001905
ABCD4	4.92081641066396
DIMT1L	6.7980198360005
SLC25A46	7.28174173939039
LARP7	6.67763287409947
TEK	3.55811435637672
CD160	3.74255502367380
TERF2IP	7.56859007215088
PHF20	6.22269026454088
COL1A1	7.96412578220447
KIAA0090	5.46036090114656
GTPBP1	4.45761333587404
GRK5	3.71298326159771
AP1S2	5.59433531175189
RAB33B	4.64585519634328
CA11	4.14403363194948
ALDOC	4.97620136938999
NUDT1	4.83498896799943
