Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_A12_433732
Composite Element REF	Signal
AACS	5.95642924637374
FSTL1	6.24767056658662
ELMO2	6.24835237475013
CREB3L1	4.28154154196116
RPS11	9.89450916741577
PNMA1	7.97096379975884
MMP2	6.42722050160872
SAMD4A	3.96174641934211
SMARCD3	7.02130754471121
A4GNT	3.9930008116038
C9orf39	3.38663718288973
PKNOX2	4.39005150085285
RALYL	3.30081517703430
ZHX3	4.38050479472451
ERCC5	6.75604642892893
RXFP3	3.01185766739338
APBB2	3.62085363835131
BBOX1	5.67760491814186
PRO0478	3.40597904231627
GCSH	7.1016254911814
XDH	3.92790289730095
EDN1	3.74683841777138
MTERF	5.98643223707208
PDCL3	7.81591084593763
CLK4	5.76694698345278
KCNG1	3.48015993634306
CXCR4	7.39459169678556
DECR1	7.83801291843824
SALL1	3.41282578475811
PTPRR	3.39872138446936
CADM4	3.42930699760693
IRAK1	8.64959508959593
CFHR5	3.67528925270011
HNRPD	7.89357122653033
TMSB10	12.299833493424
CXCL3	3.81368843684524
LMAN1	4.05331292748294
SUHW1	3.40005713712265
CHD8	5.93233047175976
SUMO1	8.56009442423685
GP1BA	3.34637156651718
OR7A10	4.17583093410033
DDB1	7.91582103886218
CHRNA10	3.74885935475692
STYK1	3.41126244687568
MYO9B	4.51713831684106
CCNI	9.93387692721853
MMP7	7.74450395229635
EP300	5.78972118520523
CRNKL1	6.23910988262887
C9orf45	3.20197282158462
XAB2	4.29304457093485
RTN1	4.6819605832697
HIC2	4.10054091727687
TBX10	3.89800171307094
CENPQ	4.4248709421618
UTY	3.30635503755244
OR2W1	3.20574553033953
ATP5G2	10.3238780229083
ZEB1	3.64068062187955
ZG16	3.57757346629838
ERG	3.6383521652876
PARN	6.96196442029671
SOD2	6.42746208887964
JOSD3	7.5149596004856
ADAM5P	3.50626919836605
CHD9	5.7452608108409
hCG_40738	3.82337705631178
STK16	5.19564329406285
PDE1C	4.0594936599059
SEMA4D	6.22685063770262
AGPAT1	5.66574468659993
TOB2	5.86284693432261
BANK1	4.38771852414183
MAP3K3	5.87314227155824
MAX	5.07801460504646
GRM2	3.7764857440662
OSBPL8	7.09886290402755
PROSC	6.53722894815204
NR4A2	4.21457762983501
RICS	5.01091783478777
PIR	7.62078888274397
PPCS	9.08691320140974
IPO9	6.10217452239547
LONP1	5.79421217493217
EVC	4.12188205967506
CXCL13	5.47066483126549
SCYL3	5.11096432677602
KIAA1199	4.93721314770161
SORL1	9.17249282361441
NAT10	6.91777642071618
CHD1	5.87447440246428
SYN3	3.47952988952025
DMC1	4.23055937018634
SLC22A2	3.73884084319856
SERPINF1	7.12203804658571
C20orf27	6.24738778524893
OR7A17	3.38169661040230
RPS6KA5	4.86388396680333
LHB	3.41995053674444
TAOK3	5.31186345408053
STK25	6.11526627189228
SLC12A4	3.93057222477005
BRCA1	4.39089565436104
GBL	5.28356529828813
C14orf108	7.17484813706948
