Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_B06_433720
Composite Element REF	Signal
AACS	6.98257847258159
FSTL1	7.9147865711339
ELMO2	5.70431602208766
CREB3L1	3.61881327915333
RPS11	9.5655933596936
PNMA1	10.0010772410095
MMP2	4.17761190810509
SAMD4A	3.67943714515027
SMARCD3	5.2960093321808
A4GNT	3.62198711760847
C9orf39	3.79898896422865
PKNOX2	3.66360739686867
RALYL	3.08817746459414
ZHX3	3.89307030977978
ERCC5	6.012353443432
RXFP3	2.89127113139151
APBB2	4.37249087695355
BBOX1	3.36472379580377
PRO0478	3.17726775279072
GCSH	9.74475840369628
XDH	3.57671256853110
EDN1	4.29557908154111
MTERF	7.17525196750609
PDCL3	7.86289204230678
CLK4	5.80982218716234
KCNG1	3.44625718920532
CXCR4	8.36400102952212
DECR1	6.50685342560787
SALL1	3.00414535600595
PTPRR	3.29439442388010
CADM4	3.26961354036170
IRAK1	8.73733420908122
CFHR5	3.08607822251457
HNRPD	8.47730556989402
TMSB10	12.0004778606377
CXCL3	3.96733603766251
LMAN1	5.39874356148616
SUHW1	3.36998545540322
CHD8	6.19744108869955
SUMO1	9.02113892090444
GP1BA	3.09495072198518
OR7A10	3.77845948679227
DDB1	8.1685282850543
CHRNA10	3.68064464152519
STYK1	4.26366349584784
MYO9B	4.602953777633
CCNI	10.1883091851293
MMP7	4.81733414156442
EP300	6.99368164438236
CRNKL1	6.56140624070395
C9orf45	3.08834247673986
XAB2	3.97713027445318
RTN1	3.50181228634395
HIC2	3.9221941128739
TBX10	3.78844692417827
CENPQ	4.76433283574637
UTY	3.21604257779492
OR2W1	2.87686547158178
ATP5G2	10.3129776529628
ZEB1	3.59204829869231
ZG16	3.32533524115857
ERG	3.90368016887717
PARN	8.06545327924083
SOD2	4.92751124071818
JOSD3	7.42904144851974
ADAM5P	3.16930924860373
CHD9	6.54667395208147
hCG_40738	3.88024837044136
STK16	5.13382077505392
PDE1C	3.61389398048122
SEMA4D	5.44005946684584
AGPAT1	6.76910134139971
TOB2	6.3426285355406
BANK1	4.36376261091553
MAP3K3	5.43434443829404
MAX	6.66985013054929
GRM2	3.66528624977396
OSBPL8	7.97875444235967
PROSC	6.02258065363976
NR4A2	8.74543419099638
RICS	4.79453386331453
PIR	7.51405400138903
PPCS	10.1247381969629
IPO9	6.64673645738246
LONP1	7.2673267777521
EVC	4.75296817357589
CXCL13	6.55309383350769
SCYL3	5.56131638359878
KIAA1199	4.24144162908119
SORL1	6.57843753624882
NAT10	8.77489973760544
CHD1	6.44527999752832
SYN3	3.53193859902493
DMC1	4.73293057520043
SLC22A2	3.75264177653049
SERPINF1	7.23631979694333
C20orf27	6.37941340359187
OR7A17	3.06949696977102
RPS6KA5	5.41285769307122
LHB	3.31814116178356
TAOK3	5.95654498984483
STK25	4.97367275795232
SLC12A4	3.71828253743008
BRCA1	3.47528405727855
GBL	5.83891094627423
C14orf108	7.31291244514014
CDC25B	6.42864667483914
BMP3	3.05835992127921
MAP1LC3C	3.13514421382336
TMEM180	3.21475206761173
CRYGC	3.67050897887221
SLK	6.29218596255822
POU3F1	3.09308045727115
C20orf32	3.74851861674063
USP52	6.77048706619554
HIGD1B	3.93306449942776
BAZ1B	7.57997384127962
USP6NL	5.43861065574255
SLCO2B1	4.08544068929079
ABCD4	4.48722192129558
DIMT1L	5.86638801449543
SLC25A46	7.56117488519054
LARP7	7.64876537592286
TEK	4.11749868693938
CD160	3.56584759339662
TERF2IP	7.34307874383397
PHF20	6.48276832830295
COL1A1	5.80039616040762
KIAA0090	6.27665519476183
GTPBP1	4.40124841298063
GRK5	3.99138102021363
AP1S2	5.49347289002552
RAB33B	4.60704252544006
CA11	6.98480365937572
ALDOC	4.44803045384315
NUDT1	6.14401293144394
ZNF212	5.65635764739697
ACBD3	7.33848341442312
ZNF83	8.40042814835975
PRDM2	4.24428252884651
GDPD5	4.20300037118048
PDCD4	6.80059256272477
CEP350	6.56397441601932
FOXP3	3.29741477307132
SMYD3	7.11221040210735
CST7	3.96062419546727
SELL	6.25818975585828
CIAO1	6.67749169097346
LGI2	3.73771091200684
WDR45	6.88386662706498
ANKRD6	7.06142179153101
LTBP4	3.95176635831228
PSCD3	3.35109964060065
PYY	3.08968662246136
KCNC1	3.09239068187914
SIRT6	3.9176719092296
CCL19	3.75989691761302
ARHGEF9	4.83881623585349
ABR	4.66337340465814
C10orf22	6.82709029302395
STK17A	4.70866704229818
FOXE1	3.27654289042866
GML	3.17853310420310
CNGA3	3.15727198632852
CD38	4.80748110266729
ZDHHC6	7.15874711852691
NEFH	6.87493539696732
PGBD5	6.25576280009931
CTDSP2	7.64304937934316
RMND5B	5.45124671081909
ZNF257	4.97618318558285
DUSP4	4.71176494927665
FLJ22167	6.79323685423746
EXOSC7	7.71529938303052
ROR2	3.51546019298045
FOXM1	6.25617470446781
ZBTB48	4.19599150184725
BUD31	8.95274160260569
MAOA	4.21760469487407
CCDC41	6.8657210959771
TNNT3	3.81764964258011
FBXO11	5.72503771716983
GYPC	6.66288325528469
PLIN	3.45295845049849
RFXAP	3.33160201392452
C6orf15	3.873503816029
RNF4	9.20410795968498
F8A1	7.77110888821065
PPP1R3D	5.63600478292871
GRB2	6.66975478013299
TPM3	3.31066242447782
SYT13	4.9380022378872
EPB42	3.54099827393406
RP5-1077B9.4	5.07050636962203
EIF1	10.3134196316927
CETN3	7.50991342178036
FPGT	5.82397309918856
PRY	3.44981652550259
NTHL1	4.78052134536279
POLR2B	9.07786567973622
RPS28	11.3590885264341
GDF10	3.12776421043403
COQ9	7.17829176512921
P2RX3	2.73638159488176
GCC2	7.57525601161837
RARRES3	7.64978408265149
PLXNA1	5.35152106401071
WBP4	4.79536165297251
KIAA0100	6.45358249881142
PMF1	6.95471238793652
HS2ST1	5.18747591899297
CRELD2	6.55358371310237
C8G	3.42313027595049
CD82	5.22635780045564
PMM1	5.58705927927438
CBLL1	5.93341962141414
LIM2	3.44553272418487
VAX2	3.45846481480527
SETDB1	5.56750052999652
LRAP	3.12236529561585
GCLM	6.60557197862367
CPEB3	3.34583807996084
PPM1A	5.58523466625619
INTS1	3.96830266306425
MMP16	3.14572229047319
CAMTA1	3.39019152752908
SAMSN1	5.86780612551
DRD3	2.78480984698451
GMPPA	4.62908931690669
C11orf73	6.56551677869711
AIPL1	3.46938992532453
PTP4A2	9.54292558362866
IL24	3.23390809425907
BDKRB1	3.25943898896618
HPCA	3.52731007349103
MLF1	6.85734587167788
SEC14L1	6.28031768231011
CHFR	6.19883707701042
EMILIN1	2.98414844420194
THADA	5.75679613826292
