Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C10_433694
Composite Element REF	Signal
AACS	7.35630513705478
FSTL1	5.84063003719277
ELMO2	5.49184771517359
CREB3L1	3.73464812502467
RPS11	10.0903418294355
PNMA1	7.27302551602583
MMP2	5.63796429457805
SAMD4A	3.49302961986989
SMARCD3	6.51218140640947
A4GNT	3.71683641301763
C9orf39	3.35561819462641
PKNOX2	3.96684399092895
RALYL	3.26004804871871
ZHX3	4.20599171391845
ERCC5	6.42610719399201
RXFP3	2.85994372500809
APBB2	3.56921892205322
BBOX1	5.22985912672295
PRO0478	3.12560722602895
GCSH	7.81689605359092
XDH	4.01127077037726
EDN1	5.73861544310522
MTERF	6.5181511481723
PDCL3	7.31296367021723
CLK4	6.10441895316586
KCNG1	3.51420838590932
CXCR4	8.52247138332766
DECR1	7.05509654778051
SALL1	3.14287098640871
PTPRR	5.8021188297537
CADM4	3.60795311281066
IRAK1	8.62265947291873
CFHR5	3.26771796602116
HNRPD	8.10893484372364
TMSB10	12.2122241419192
CXCL3	4.42999382643785
LMAN1	3.64319419364096
SUHW1	3.55087369657666
CHD8	6.48192824500952
SUMO1	7.81087783401668
GP1BA	3.34156809255046
OR7A10	3.949524139813
DDB1	7.7955534904265
CHRNA10	3.69398521236693
STYK1	3.79673754174485
MYO9B	4.42799972792688
CCNI	10.0658552340132
MMP7	7.56857905555965
EP300	6.15721029695927
CRNKL1	6.55832132668257
C9orf45	3.14627344531854
XAB2	4.7726788314371
RTN1	3.21309457583104
HIC2	3.89236947522607
TBX10	3.80282181403056
CENPQ	4.16087761584749
UTY	3.24470585204776
OR2W1	3.02005502137743
ATP5G2	10.3681665900036
ZEB1	3.20012947015056
ZG16	3.5877711081443
ERG	3.4267315760686
PARN	7.40535002699558
SOD2	5.0527474664589
JOSD3	7.48317822066638
ADAM5P	3.37817378331519
CHD9	7.27514012466422
hCG_40738	4.00276231889223
STK16	4.9197725200051
PDE1C	3.65914524042112
SEMA4D	4.99085704113692
AGPAT1	6.09482753024203
TOB2	6.25468293730491
BANK1	5.00161023452372
MAP3K3	6.84213258720296
MAX	4.97082876226942
GRM2	3.75835600305328
OSBPL8	7.10326763564413
PROSC	5.16864411771028
NR4A2	7.59335430445414
RICS	5.64517157366594
PIR	7.49100299173766
PPCS	9.44443548606384
IPO9	6.5063788952044
LONP1	6.85536192098531
EVC	4.48396986549038
CXCL13	4.16823889229827
SCYL3	5.21488366006506
KIAA1199	4.51133571888943
SORL1	8.82658853823654
NAT10	8.53192123259157
CHD1	7.12764536332587
SYN3	3.66766348682792
DMC1	3.97269272411184
SLC22A2	3.55683403147076
SERPINF1	4.64604193237424
C20orf27	6.45003031279119
OR7A17	3.11394861986359
RPS6KA5	5.84150234791800
LHB	3.32828841904075
TAOK3	5.85533986703724
STK25	4.77612716662905
SLC12A4	3.83006930162113
BRCA1	4.54851797460611
GBL	6.08316213172892
C14orf108	7.4381014570979
CDC25B	6.82608767597137
BMP3	3.07953475139217
MAP1LC3C	3.24903545272815
TMEM180	3.0942162469973
CRYGC	3.58082394195038
SLK	5.4782167470916
POU3F1	3.19983616597411
C20orf32	3.70259535143312
USP52	6.08768943588862
HIGD1B	3.86599514735087
BAZ1B	6.9925540916238
USP6NL	5.69657695423003
SLCO2B1	4.01882500555487
ABCD4	4.47469903096403
DIMT1L	5.66642296655397
SLC25A46	8.15645099326194
LARP7	7.06050826644226
TEK	3.42412245285359
CD160	3.9871157421923
TERF2IP	7.50689796534698
PHF20	6.19118168805038
COL1A1	6.24900390422638
KIAA0090	5.84672918155884
GTPBP1	4.51275480709762
GRK5	3.74134117319533
AP1S2	4.15040366283233
RAB33B	3.91101201152419
CA11	3.96967617383604
ALDOC	5.48281460238059
NUDT1	5.20020521947788
ZNF212	5.9944906063978
ACBD3	7.39559100735692
ZNF83	7.52804233322401
PRDM2	4.92426731043969
GDPD5	4.61274321292334
PDCD4	5.77135879140043
CEP350	7.50373028115014
FOXP3	3.30007097993057
SMYD3	6.22258370250094
CST7	4.36048236266841
SELL	4.61444565457547
CIAO1	6.74501363115061
LGI2	3.57782214106049
WDR45	7.00414518451675
ANKRD6	6.86934146866183
LTBP4	3.86673116678631
PSCD3	3.22842664520226
PYY	3.14836936042128
KCNC1	3.41455363094826
SIRT6	3.95849227030038
CCL19	4.08029040152363
ARHGEF9	4.70641581242753
ABR	4.46720041478996
C10orf22	7.31853136318162
STK17A	4.40630558071314
FOXE1	3.24008701041884
GML	3.11626447145532
CNGA3	3.07239155213076
CD38	3.78582459646399
ZDHHC6	5.64521457074251
NEFH	3.27034937062484
PGBD5	4.61118535946843
CTDSP2	6.96671886306634
RMND5B	5.36467424243274
ZNF257	3.26443415263778
DUSP4	7.07092394745265
FLJ22167	5.29551140100554
EXOSC7	7.02967074239371
ROR2	3.31867464501341
FOXM1	5.71391684595347
ZBTB48	5.16705761079292
BUD31	8.04715553836903
MAOA	4.08868958773803
CCDC41	5.03469168076217
TNNT3	3.8067444018989
FBXO11	6.08288124014739
GYPC	5.31909889091057
PLIN	3.46196335701306
RFXAP	3.60539236460075
C6orf15	3.93730592500084
RNF4	8.38960285152426
F8A1	8.04822193597158
PPP1R3D	4.59483439056613
GRB2	7.46791980297512
