Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_D02_433686
Composite Element REF	Signal
AACS	5.58718234925342
FSTL1	8.0301181605265
ELMO2	6.10646182327013
CREB3L1	3.81721116238219
RPS11	9.75647559459155
PNMA1	6.46064636776496
MMP2	8.41405845688447
SAMD4A	4.17440853261179
SMARCD3	8.65092759822049
A4GNT	3.78886178222775
C9orf39	3.67362653513848
PKNOX2	3.9447427080089
RALYL	3.07465663205942
ZHX3	4.29453619667562
ERCC5	6.70388277370468
RXFP3	2.92708827325042
APBB2	4.29778263859397
BBOX1	10.2621159268159
PRO0478	3.0079277323356
GCSH	8.28270696600996
XDH	5.7325258136153
EDN1	4.19952348207737
MTERF	5.60174891612141
PDCL3	7.23494165290553
CLK4	7.34459621234319
KCNG1	3.39764068987961
CXCR4	7.28433754454554
DECR1	9.73744840625538
SALL1	3.21109662075292
PTPRR	3.4932338000825
CADM4	3.2021425111282
IRAK1	9.95987700509242
CFHR5	3.25537512812056
HNRPD	7.20256657296096
TMSB10	12.2326342053520
CXCL3	3.90214267441828
LMAN1	3.70427506752624
SUHW1	3.49684561170008
CHD8	7.2012850381869
SUMO1	8.42927787772666
GP1BA	3.13218340253969
OR7A10	4.05355820664002
DDB1	7.52847306902024
CHRNA10	3.55513101475013
STYK1	4.13292593972301
MYO9B	4.4806668323889
CCNI	10.3894706453118
MMP7	11.5702623424602
EP300	7.35176137931309
CRNKL1	6.06293909769455
C9orf45	3.03549937213763
XAB2	5.13528374102353
RTN1	3.71612175799437
HIC2	3.98228930993165
TBX10	3.54578274783349
CENPQ	3.7112100857698
UTY	3.17321338106159
OR2W1	2.94727156326803
ATP5G2	9.16312078776007
ZEB1	3.70605087846723
ZG16	3.38974659726232
ERG	3.38629155614344
PARN	7.48455593904916
SOD2	8.61956883161853
JOSD3	7.28313075454403
ADAM5P	3.24828012530026
CHD9	7.14442704073062
hCG_40738	3.51329243445651
STK16	5.49738968670612
PDE1C	3.71974319142916
SEMA4D	5.36614302429623
AGPAT1	6.31495173570656
TOB2	6.95073778013431
BANK1	5.56789957517592
MAP3K3	5.84595408420488
MAX	6.0212606031788
GRM2	3.46988857401729
OSBPL8	7.21133461415298
PROSC	5.62048754640316
NR4A2	6.64301248516446
