Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_A06_458806
Composite Element REF	Signal
AACS	6.5342081146981
FSTL1	9.71723377885409
ELMO2	5.23064057408765
CREB3L1	3.84786520005106
RPS11	9.9464233625443
PNMA1	8.51820314605629
MMP2	8.22428200974113
SAMD4A	3.82382785222084
SMARCD3	7.50138627224325
A4GNT	3.74473243713448
C9orf39	3.56735801197841
PKNOX2	3.91690914672058
RALYL	3.19914526564458
ZHX3	4.27562581354505
ERCC5	6.00856710987972
RXFP3	2.95953328957289
APBB2	4.65669489552066
BBOX1	3.46313730289657
PRO0478	2.97906603926982
GCSH	8.5180303329198
XDH	3.80026935858525
EDN1	4.18533355011915
MTERF	6.58301020918018
PDCL3	7.76340791901086
CLK4	5.79354913576201
KCNG1	4.37503028101205
CXCR4	8.4503265157272
DECR1	7.30037672116521
SALL1	3.18987763222103
PTPRR	3.26343842249569
CADM4	3.33194773907091
IRAK1	7.50974710181832
CFHR5	3.0963320035427
HNRPD	7.87291455813023
TMSB10	12.3170100988071
CXCL3	3.35488157198495
LMAN1	3.83567766229135
SUHW1	3.48765900665397
CHD8	5.62763863397629
SUMO1	8.12499702083101
GP1BA	3.27670601989243
OR7A10	3.60391900236138
DDB1	7.30379523818692
CHRNA10	3.5784694393247
STYK1	3.33505527015122
MYO9B	4.22155762176146
CCNI	10.0168064177890
MMP7	9.15675695340736
EP300	5.34656648411478
CRNKL1	6.78460709095654
C9orf45	3.21698884025758
XAB2	3.87531449324517
RTN1	3.77245301872088
HIC2	3.8198194891137
TBX10	3.49406329808125
CENPQ	5.52528183376158
UTY	3.18884008650356
OR2W1	2.87515679079226
ATP5G2	10.4779041119377
ZEB1	4.1920734878755
ZG16	3.45327264382645
ERG	3.93375610957192
PARN	6.71782920419999
SOD2	4.51257495067322
JOSD3	8.47092320135911
ADAM5P	3.28803314629053
CHD9	5.68243218537874
hCG_40738	3.69066963507965
STK16	5.86108737940993
PDE1C	3.52098476116967
SEMA4D	5.10472207344418
AGPAT1	5.26031845202363
TOB2	5.47834847313458
BANK1	3.75253081737748
MAP3K3	5.09834490180534
MAX	5.14248213892462
GRM2	3.70987398810836
OSBPL8	7.49330063197157
PROSC	5.21900303826829
NR4A2	4.31249053053063
RICS	5.05610184362309
PIR	3.71981858706328
PPCS	10.1185829480260
IPO9	6.65281325093397
LONP1	6.15308640089793
EVC	4.19325116795891
CXCL13	4.69446862941902
SCYL3	5.40092085806518
KIAA1199	6.26370632887405
SORL1	7.8921394020393
NAT10	5.93524779565547
CHD1	5.41674393344487
SYN3	3.76965859544602
DMC1	3.88083884390893
SLC22A2	3.45415418052658
SERPINF1	8.79678120084276
C20orf27	5.24155902671148
OR7A17	3.11861431322766
RPS6KA5	4.70341844967286
LHB	3.29300105606628
TAOK3	4.91489439320972
STK25	5.77077749819429
SLC12A4	3.63280010970739
BRCA1	4.01796002394496
GBL	7.40919603628006
C14orf108	7.52419830105494
CDC25B	5.98110324129832
BMP3	3.18216730186299
MAP1LC3C	3.31216573701656
TMEM180	3.22655007551512
CRYGC	3.64087387457849
SLK	6.09221048279987
POU3F1	3.20945217569444
C20orf32	3.78630482932137
USP52	6.71931580542071
HIGD1B	3.84593772260916
BAZ1B	5.41607087381605
USP6NL	6.0171557065847
SLCO2B1	4.10930031360024
ABCD4	4.66128512231909
DIMT1L	5.43770039377335
SLC25A46	6.8234495585413
LARP7	7.72651722463982
TEK	4.16218969457322
CD160	3.69066302867692
TERF2IP	7.25846367067736
PHF20	6.1003241933927
COL1A1	8.28202946569295
KIAA0090	6.28537286685792
GTPBP1	4.11937146500909
GRK5	3.79499792413592
AP1S2	4.64459566321347
RAB33B	3.89098180807507
CA11	4.39488629136154
