Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_B03_458664
Composite Element REF	Signal
AACS	7.30929010073563
FSTL1	7.26761510721516
ELMO2	4.89329893827855
CREB3L1	3.95359639895353
RPS11	9.89043796433102
PNMA1	8.62450521841547
MMP2	5.62088282775242
SAMD4A	3.73891401078322
SMARCD3	5.13464832111292
A4GNT	3.93653873880699
C9orf39	3.43807111780697
PKNOX2	4.37874319915043
RALYL	3.54862027283866
ZHX3	4.04854308182964
ERCC5	6.42672031680463
RXFP3	3.12701806619745
APBB2	3.32482041841295
BBOX1	7.25565188267298
PRO0478	3.06667161661923
GCSH	8.69027351711137
XDH	3.743458475484
EDN1	3.36011942481515
MTERF	6.36059970509874
PDCL3	7.64299618534621
CLK4	5.39537448995827
KCNG1	3.77914532996349
CXCR4	8.68243657912807
DECR1	6.583579441441
SALL1	3.17296962485718
PTPRR	3.58152425737578
CADM4	3.39368241735926
IRAK1	8.63007033480756
CFHR5	3.07242295643036
HNRPD	8.00891737340877
TMSB10	11.437010746031
CXCL3	3.68169588263784
LMAN1	4.92228441251789
SUHW1	3.37549435525744
CHD8	5.62046170505634
SUMO1	7.73807400920558
GP1BA	3.38107117850321
OR7A10	3.70827783579434
DDB1	7.62397422949454
CHRNA10	3.54510305105313
STYK1	3.25133099699342
MYO9B	4.20204488601406
CCNI	9.97794708373968
MMP7	5.77516375765439
EP300	5.33453708550466
CRNKL1	5.70031990740582
C9orf45	3.34654457241625
XAB2	4.21591982755529
RTN1	3.30734105112187
HIC2	4.03362279215784
TBX10	3.70147071638815
CENPQ	3.65739990508059
UTY	3.13025726937275
OR2W1	2.91981906451656
ATP5G2	10.4397808013680
ZEB1	3.62799256646522
ZG16	3.45452710177381
ERG	3.54660648620639
PARN	6.02601900029384
SOD2	5.30440326941715
JOSD3	8.46404350571313
ADAM5P	3.27607497994245
CHD9	6.4324679882663
hCG_40738	4.09957415128955
STK16	5.72342326453974
PDE1C	3.83778690479902
SEMA4D	5.19199279379211
AGPAT1	5.02003958692626
TOB2	5.62744616065234
BANK1	5.12403498998308
MAP3K3	5.27709169305067
MAX	6.02652918339806
GRM2	3.82442982746368
OSBPL8	5.73103722712908
PROSC	5.07277604418217
NR4A2	5.39941106057184
RICS	5.32253362189716
PIR	6.69166685487992
PPCS	8.4005944013271
IPO9	5.60902787526479
LONP1	6.88871677638912
EVC	3.96677262889964
CXCL13	4.74901204150713
SCYL3	5.81339829632894
KIAA1199	4.96720338719567
SORL1	9.57377140688427
NAT10	7.34225673658304
CHD1	5.11595075345863
SYN3	3.58606849839384
DMC1	3.84076889719711
SLC22A2	3.55866827405448
SERPINF1	4.85840365470418
C20orf27	5.40322544714892
OR7A17	3.29620347036351
RPS6KA5	4.41282811008412
LHB	3.30608658947568
TAOK3	4.63895001123434
STK25	6.07670242547994
SLC12A4	3.84357319643367
BRCA1	3.74884482206583
GBL	5.49556753853393
C14orf108	7.0413884444765
CDC25B	5.96851844521119
BMP3	3.33776534168314
MAP1LC3C	3.40724234604883
TMEM180	3.37066545936785
CRYGC	3.58451263863075
SLK	4.63044411328891
POU3F1	3.46211305517310
C20orf32	3.83617318382754
USP52	5.92618259560518
HIGD1B	4.07121585263775
BAZ1B	5.64431653451626
USP6NL	5.09297581068222
SLCO2B1	4.10086634299467
ABCD4	4.62800380629467
DIMT1L	6.3622412301892
SLC25A46	5.73981191791968
LARP7	7.47085917158519
TEK	3.53935266136625
CD160	3.55600932895304
TERF2IP	7.68592025123901
PHF20	5.79402164685129
COL1A1	6.21083496097832
KIAA0090	5.42293055280047
GTPBP1	4.46805893781318
GRK5	3.55938035830732
AP1S2	4.62902937815813
RAB33B	4.46556354021292
CA11	3.95083449629221
ALDOC	4.46980164891573
NUDT1	5.08999220730338
ZNF212	5.00962567491009
ACBD3	6.91658629003107
ZNF83	6.63789146050003
PRDM2	4.72234164959551
GDPD5	4.56566459147821
PDCD4	5.7539670122152
CEP350	6.0834051481187
FOXP3	3.19962112819581
SMYD3	5.57220696413605
CST7	4.24004347036229
SELL	3.57269941705066
CIAO1	6.2843098655232
LGI2	3.67585702555881
WDR45	6.21839472809766
ANKRD6	6.31757422311771
LTBP4	3.72740168758942
PSCD3	3.25898188163172
PYY	3.4175525298645
KCNC1	3.24828128363661
SIRT6	3.99702705654303
CCL19	3.95979115020555
ARHGEF9	4.07081227769191
ABR	4.40507886212256
C10orf22	6.44587745228343
STK17A	4.406937292762
FOXE1	3.27586675003777
GML	3.17064455025850
CNGA3	3.08648645880162
CD38	3.78300370610795
ZDHHC6	6.51574410575126
NEFH	3.96616340018004
PGBD5	3.31028340405733
CTDSP2	6.81088097116892
RMND5B	4.40903608217491
ZNF257	3.36505419714377
DUSP4	5.14083320250068
FLJ22167	8.55503807359987
EXOSC7	7.87641343125082
ROR2	3.48895684673007
FOXM1	4.81523043732369
ZBTB48	4.49626853396859
BUD31	7.8252582133436
MAOA	4.23972452486611
CCDC41	6.10018541525903
TNNT3	4.14700938895354
FBXO11	5.47211901832691
GYPC	5.57884611869252
PLIN	3.7427694288844
RFXAP	4.15745364619931
C6orf15	3.64081089380838
RNF4	6.8421085072954
F8A1	6.63889920617088
PPP1R3D	4.19143624303499
GRB2	7.43467467214605
TPM3	3.11799147543145
SYT13	3.53872273035328
EPB42	3.33042907422227
RP5-1077B9.4	5.00589588419355
EIF1	10.1321363241271
CETN3	7.28545189012458
FPGT	4.26743065729628
PRY	3.76494851039712
NTHL1	6.18058437542603
POLR2B	8.84230708257144
RPS28	12.3970546543917
GDF10	3.02663555436268
COQ9	8.06654910656018
P2RX3	3.21948598628026
GCC2	7.28610902668307
RARRES3	6.3180309373246
PLXNA1	5.51715706386224
WBP4	4.76008611592193
KIAA0100	5.5201187957548
PMF1	5.74368907743264
HS2ST1	5.38177066196452
CRELD2	5.83382230538866
C8G	3.25907673504917
CD82	6.57621306309235
PMM1	5.34251908115153
CBLL1	4.07466120471085
LIM2	3.68620127973222
VAX2	3.93917116192546
SETDB1	5.25850651459111
LRAP	4.79772761514707
GCLM	7.20199524866009
CPEB3	3.31639782887627
PPM1A	5.53152710108848
INTS1	4.09827244697886
MMP16	3.11447471305293
CAMTA1	3.19889746139878
SAMSN1	4.52181247524
DRD3	2.81648205144536
GMPPA	5.28679194524184
C11orf73	5.09639522563297
AIPL1	3.75209965955935
PTP4A2	8.91136729928159
IL24	3.32522432954413
BDKRB1	3.16989641382067
HPCA	3.48002344338052
MLF1	6.79196738461725
SEC14L1	6.94546241178002
CHFR	4.69292852894715
EMILIN1	3.67635225800703
THADA	6.06549929772861
TAF12	5.5422040299645
NDUFS4	7.4307596909508
ID1	4.39717310812028
PIK3CB	3.62882507840878
COL18A1	6.3185862504926
PDZD3	3.19887528578802
TBC1D17	4.15976649811812
COX8A	9.49970114834574
CDCA4	6.17855954570303
C2orf44	4.47283868494619
C9orf16	8.32682293834401
ERBB2IP	7.41381074155544
EMX2	9.0999386299497
FUS	6.83231300260084
NIPSNAP3B	4.62695144540372
TF	3.48093327586409
CXorf56	5.09013342348431
CLCN4	4.02618519692728
PWP2	4.93078271771389
MMP15	4.0487911683666
MTMR14	5.97653458204129
NPR1	5.75408652863493
DNAL4	6.24574708172286
ELAC2	4.56174114512076
ASS1	10.0950602169265
IPP	4.85301594500799
TMEM59	9.5899198010328
POLR2J	8.64216233616663
SEC23IP	4.75260564173603
RGS4	3.83104469774232
UQCRC1	9.31532538530828
SNX6	7.20417961897021
DDX18	7.01787084735557
POLG	4.82278086431141
ADAM23	4.5241631419469
ZNHIT2	4.52874930665592
TFR2	3.52528016079472
NCDN	4.35104732481939
RAG1	3.3082668064689
POMT1	4.39274322173928
CYP1A1	3.32428769239255
SNAPC1	6.29182537723926
GNA11	4.73472026534745
CCDC52	3.12728514169073
CAPN1	6.3957725901926
DDHD2	5.58991031727174
UPF3A	7.1799323181606
LAGE3	5.08107736030722
GNRHR	3.14735431583651
UNC13B	4.46505716456368
TTLL4	5.12423555803112
PPBP	3.18182756724125
HTR3A	3.95203610082049
SDC2	5.10252344764562
ANKRD49	6.49205414150518
BTF3	10.5279123240127
COX7A2	10.1716799910870
SARS	8.9685169511077
C13orf18	4.14617429649941
CACNB1	4.05868757032132
QKI	5.05750444621824
SETMAR	5.90108831038688
LAMB4	3.24636774741769
MAN2B1	5.48569433366589
EML3	5.12556513488853
ACADL	3.28450445473984
OFD1	8.33489165300075
CGA	3.50012680906899
EIF3EIP	10.8878480228315
PEX16	5.34768286392417
GNG12	7.09217321411164
HABP4	4.49074684679142
CNTN2	3.50528554976182
ASNSD1	8.16807328027105
