Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_C06_458628
Composite Element REF	Signal
AACS	6.87304818566612
FSTL1	7.81763012704323
ELMO2	4.85126894679662
CREB3L1	3.41119066974509
RPS11	9.74753095333144
PNMA1	7.32787851399727
MMP2	6.85827682239851
SAMD4A	3.6903841469571
SMARCD3	8.11948513807712
A4GNT	3.756040115219
C9orf39	3.25678284050702
PKNOX2	3.7400611230143
RALYL	3.3460294163673
ZHX3	4.11606358554055
ERCC5	7.40025106006099
RXFP3	3.20590940888045
APBB2	4.02879167384079
BBOX1	6.71395941499579
PRO0478	2.96411502708329
GCSH	9.99155635842495
XDH	3.53147082179337
EDN1	4.81706171880658
MTERF	6.36641867139966
PDCL3	6.56572268984028
CLK4	6.48842282135032
KCNG1	3.32316102747484
CXCR4	8.0140220031885
DECR1	7.65721703269285
SALL1	3.17079626994012
PTPRR	3.40316549405041
CADM4	3.26480608604689
IRAK1	8.76901677091633
CFHR5	3.26229245390711
HNRPD	7.81422306239112
TMSB10	11.9869258060817
CXCL3	3.90935000552134
LMAN1	3.74034394953514
SUHW1	3.45272448843167
CHD8	5.82416709523776
SUMO1	8.79034521519102
GP1BA	3.36493548039213
OR7A10	3.59351069041676
DDB1	7.99898193353857
CHRNA10	3.55878538353020
STYK1	4.3350957625315
MYO9B	4.49882608198942
CCNI	10.5834374700654
MMP7	9.0038332119051
EP300	6.27274894276053
CRNKL1	6.80441318364577
C9orf45	3.22850767565175
XAB2	4.52362644063242
RTN1	3.22074349247494
HIC2	4.04223966392192
TBX10	3.59191126606812
CENPQ	4.38426032982794
UTY	3.19992241167593
OR2W1	2.81839532861016
ATP5G2	10.4282578002059
ZEB1	3.66847861866206
ZG16	3.57803713297225
ERG	3.86820481242301
PARN	7.879857858226
SOD2	5.25363154989205
JOSD3	7.55820966919012
ADAM5P	3.18332583036490
CHD9	7.48008830072542
hCG_40738	3.51364459770214
STK16	4.81697171331231
PDE1C	3.35937517698196
SEMA4D	5.22210075841841
AGPAT1	6.37427086619908
TOB2	6.35359632127185
BANK1	2.95676679077818
MAP3K3	4.87818434608721
MAX	5.11352073971054
GRM2	3.80576030245424
OSBPL8	8.49587966259606
PROSC	6.01506329950407
NR4A2	6.37531404699772
RICS	4.31886368906311
PIR	4.86832210773219
PPCS	9.38881232223307
IPO9	6.64466166919969
LONP1	7.63894095481058
EVC	4.07718864160977
CXCL13	4.82953083957994
SCYL3	5.46757806368993
KIAA1199	5.34134127691675
SORL1	6.99349213888892
NAT10	6.96403727046134
CHD1	5.9643771823587
SYN3	3.93763396570569
DMC1	4.02944310559651
SLC22A2	3.42927264119461
SERPINF1	5.62314471918472
C20orf27	5.39358868240905
OR7A17	3.0700198618523
RPS6KA5	4.37083504453995
LHB	3.09205720714059
TAOK3	5.05321811922926
STK25	5.3577646098447
SLC12A4	3.83607424727716
BRCA1	3.38485487738008
GBL	6.22709354025861
C14orf108	7.15751285805613
CDC25B	6.35553391683985
BMP3	3.19361815001478
MAP1LC3C	3.56102043327786
TMEM180	3.39617254087681
CRYGC	3.40691485219696
SLK	5.24990291091391
POU3F1	3.25742050328964
C20orf32	3.79092881787335
USP52	5.69108769490458
HIGD1B	4.31777541595385
BAZ1B	7.05573935595431
USP6NL	5.23751035282082
SLCO2B1	3.76367050492744
ABCD4	4.08778232940408
DIMT1L	5.3914746254567
SLC25A46	8.11207276270889
LARP7	6.5516790465025
TEK	3.43023622613808
CD160	3.69950933603184
TERF2IP	8.90006220568643
PHF20	6.52007286337287
COL1A1	6.19750018173186
KIAA0090	4.35366388834191
GTPBP1	4.62905106315058
GRK5	3.88225178533415
AP1S2	5.08159233463635
RAB33B	4.86515036602596
CA11	4.24265805680019
ALDOC	5.0936030928516
NUDT1	5.03071091059332
ZNF212	5.07130261059983
ACBD3	7.56794424187292
ZNF83	6.7833766663467
PRDM2	4.33733824680703
GDPD5	4.39175845278791
PDCD4	7.03138032424315
CEP350	6.17348210581416
FOXP3	3.46009613161592
SMYD3	6.31901672627608
CST7	4.24434481567056
SELL	3.95828896846027
CIAO1	6.33652780729229
LGI2	3.78090425659482
WDR45	6.75869503571723
ANKRD6	7.74353531265555
LTBP4	3.57567784331697
PSCD3	3.56906498119115
PYY	3.36127330172876
KCNC1	2.96649990719505
SIRT6	3.7398719576286
CCL19	3.6456432617844
ARHGEF9	4.90296377670956
ABR	4.15337853955331
C10orf22	5.68711453820069
STK17A	4.51656449209331
FOXE1	3.46683038221463
GML	3.13670032884706
CNGA3	2.96829229064505
CD38	3.64668746373209
ZDHHC6	8.10097987988953
NEFH	3.24148614529219
PGBD5	3.78755577578962
CTDSP2	7.13251228086011
RMND5B	4.66053696529677
ZNF257	4.22810130323332
DUSP4	5.85318227444676
FLJ22167	7.29372351360138
EXOSC7	7.41060429144795
ROR2	3.96351693379035
FOXM1	4.91893482576418
ZBTB48	4.69136250004731
BUD31	8.52579223705606
MAOA	3.47679168291827
CCDC41	5.46036227612117
TNNT3	3.90433951268028
FBXO11	5.81909042828291
GYPC	4.23216793867371
PLIN	3.42377389672119
RFXAP	3.41809670556010
C6orf15	3.49826489393849
RNF4	6.8062945296705
F8A1	7.52774842414771
PPP1R3D	4.85023558672995
GRB2	6.73243244670513
TPM3	3.09258634258808
SYT13	4.07103315277367
EPB42	3.3101706356243
RP5-1077B9.4	4.44186036566303
EIF1	10.4234975814755
CETN3	7.02532867402194
FPGT	5.00864250320927
PRY	3.31370097135413
NTHL1	5.84778302072004
POLR2B	8.66661583550048
RPS28	12.3368824306005
GDF10	5.22776046700971
COQ9	8.34102956782095
P2RX3	2.92487827166955
GCC2	7.05339480232473
RARRES3	6.89327412332925
PLXNA1	5.39149075201601
WBP4	4.28355569028055
KIAA0100	5.2137553986333
PMF1	5.76538485063764
HS2ST1	4.64544569930711
CRELD2	7.30486820904173
C8G	2.995248213694
CD82	5.17908295725316
PMM1	5.22382997122717
CBLL1	4.19932592316956
LIM2	3.52451349886357
VAX2	3.60473113808254
SETDB1	5.64945935889066
LRAP	5.39195703316749
GCLM	4.61975609100291
CPEB3	3.41272269153852
PPM1A	4.90679969418108
INTS1	4.32184705438617
MMP16	3.20960596659564
CAMTA1	3.87443753530184
SAMSN1	4.75876222283674
DRD3	2.82213783237045
GMPPA	4.83746596040466
C11orf73	5.33578559441915
AIPL1	3.59440217691669
PTP4A2	9.27024997915647
IL24	3.53043169960767
BDKRB1	3.30292111876359
HPCA	3.27773647518757
MLF1	6.38039751603536
SEC14L1	6.26634205119091
CHFR	5.13261755001656
EMILIN1	3.29427311364262
THADA	6.62544732910433
TAF12	4.74787438256465
NDUFS4	7.03496448662879
ID1	4.18166760200068
PIK3CB	3.78599965312303
COL18A1	6.68952659699598
PDZD3	3.22637779355158
TBC1D17	4.55193234185114
COX8A	9.45593745618455
CDCA4	5.43556573540807
C2orf44	4.71950141846546
C9orf16	8.10216619073352
ERBB2IP	7.865043765729
EMX2	8.676911329454
FUS	6.81209287199698
NIPSNAP3B	3.45375064923616
TF	3.65453431363455
CXorf56	5.10711105429264
CLCN4	4.3649046311332
PWP2	5.04338613659492
MMP15	3.94735495568152
MTMR14	6.01251320835164
NPR1	6.5455203577785
DNAL4	5.65192059042646
ELAC2	4.72517692436986
ASS1	11.077937537303
IPP	6.34480504758181
TMEM59	10.1453766621359
POLR2J	8.73893276582009
SEC23IP	5.5121800799452
RGS4	3.74672762632231
UQCRC1	9.27160692957596
SNX6	6.71149568385392
DDX18	7.32649449831416
POLG	4.44135421274568
ADAM23	4.06678262211225
ZNHIT2	4.5750683116858
TFR2	3.58904246069853
NCDN	4.53290389148166
RAG1	3.64172015321817
POMT1	4.54996276443663
CYP1A1	3.39382497183106
SNAPC1	5.42486594583197
GNA11	4.83579242877698
CCDC52	2.81419489310757
CAPN1	6.93884966091761
DDHD2	7.62336199406484
UPF3A	6.96414720405121
LAGE3	6.24296167655467
GNRHR	3.09878308758975
UNC13B	4.93873885923281
TTLL4	4.04941967390334
PPBP	2.96455521627775
HTR3A	6.26570703289449
SDC2	4.81405394061844
ANKRD49	6.95809440204046
BTF3	10.0257179735041
COX7A2	10.5819182939815
SARS	8.94656739642728
C13orf18	3.56080720418498
CACNB1	3.82835074542185
QKI	5.51290824596001
SETMAR	6.0460220534321
LAMB4	3.63527650420862
MAN2B1	5.91941847802934
EML3	5.29302337514669
ACADL	3.22362422471721
OFD1	8.76673917415254
CGA	3.42386171670195
EIF3EIP	11.1937698788404
PEX16	5.34361121853348
GNG12	7.86595693049991
HABP4	4.87203566986614
CNTN2	3.43452489914577
ASNSD1	8.45866893981303
FUT4	3.59708459183383
DBH	3.57174037821826
CD53	5.67931353685805
HIST1H2BJ	3.29762173520522
TFAP2B	3.25178764569939
ACF	3.56006036245251
TMEM11	5.85236872484967
CDH8	3.26924498498282
C3orf32	3.28587529643098
AGPS	4.33828087192555
C4orf18	3.35620101482039
PCCB	7.30512714009245
IPO13	5.38705269370552
PECI	8.77619143797298
UNG	8.46766338173392
C6orf105	4.17080543678134
GSTP1	8.99968128094496
SUV420H1	7.5801957600007
ARHGAP15	3.83689125789473
LTBR	7.14972526058639
TDRKH	3.40382679104457
PSG4	3.2228819974346
SLC9A3R1	4.96504143658872
NBPF3	8.25187416296896
SLC9A3	3.36073766401392
OSBP	6.34869844207574
PRR5	4.19225668884217
CHMP7	5.11497504652763
ADRA1A	3.05973376541003
ASAH1	6.31725360892917
FKBP4	6.82700798811673
ZNF350	4.27558816358307
DOM3Z	5.60927411863710
GIPR	3.72678723452693
AHI1	5.35385069078385
BST1	4.02851078482549
NCR2	3.39181993042723
NADSYN1	5.54947412128498
UBE2W	5.34438206388869
RGS14	3.78187864506325
KRT15	4.04100736314004
SCN11A	3.57832189608242
GFI1	3.68002711874119
FHL1	4.70730825723456
SMC6	5.3000938883261
GATA1	3.42112216586818
OSGEP	4.34640687276788
ARMC6	4.84340287987798
HK3	3.45413045390066
PSMD5	6.9922642416508
RSU1	6.28871332458936
RPL4	12.3605040637002
MAD2L1	5.12838001220872
RBPMS	5.24322440359136
EIF4A3	9.67380313492
E4F1	5.1333513967472
DLEC1	3.45769874431955
PRPF3	5.27216829381657
EMR1	3.02228297281519
CHMP2B	7.19760996236146
CAMSAP1	4.12616611778416
RPS21	9.4767923008293
XCR1	3.23440596139975
ARID5A	4.58620528519056
RBM6	5.72883000144353
UBE2N	7.75932409364258
KLF4	3.79689326304604
MGC4172	5.00798280622343
LMO4	7.40692808309257
KLKB1	3.24614764467381
HDAC3	5.4848799169655
HP	7.4818691351516
SCHIP1	5.8215360675902
BTK	3.95399471044378
KRCC1	8.67201014983621
PRND	2.94620710623769
C6orf27	3.4136185037389
PIGL	3.57928992367686
CLCA1	3.81232715794226
C1orf112	4.89745589335716
OLFML2A	5.25652631437576
HUS1	4.3806645089292
SFRS6	6.95489552223994
CXCR7	5.73694781105051
UIMC1	5.85127905168441
FXYD2	3.25720395116973
GOT2	8.45054526151391
ZNF667	3.96991993571886
TFEC	3.43183741490534
ATP7B	3.22421016422616
RAB38	4.43501411702160
POLD2	7.05845686954857
PPM1H	6.40601927957697
DCX	3.30400351599706
NFYC	5.80868918507511
ZNF228	3.71271233458626
KIN	5.68113437213889
PLSCR4	7.43243651074742
HIST1H4I	3.90049307797647
PPARGC1A	3.54828195549436
HIG2	10.7595042240093
KCNK10	4.33690367254766
EXOC1	7.50318252544225
OR6A2	3.94091547282501
ETFA	8.26007318127371
PDAP1	5.97875418055856
