Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D01_458642
Composite Element REF	Signal
AACS	6.32817896715947
FSTL1	9.46402592585432
ELMO2	6.01058376350064
CREB3L1	3.99144607170592
RPS11	9.6078766035993
PNMA1	8.49648127748525
MMP2	7.32456005409182
SAMD4A	3.97081595103893
SMARCD3	4.9528581753786
A4GNT	3.82974353916705
C9orf39	3.36962942647114
PKNOX2	3.7714206559086
RALYL	3.22938814794362
ZHX3	4.29734647884773
ERCC5	5.64039753495255
RXFP3	3.26460051807824
APBB2	4.41215205749264
BBOX1	3.92890379645356
PRO0478	2.86133239792364
GCSH	9.07584943942614
XDH	3.74691179576806
EDN1	4.36602973487775
MTERF	6.91324288352742
PDCL3	7.69446395333689
CLK4	5.46995090850837
KCNG1	4.07079115443366
CXCR4	8.11948355494826
DECR1	7.75120671339019
SALL1	3.67508827669614
PTPRR	3.29294097531646
CADM4	3.43199333123855
IRAK1	8.10091589621288
CFHR5	3.25500536689258
HNRPD	8.34559393358419
TMSB10	12.2222473098193
CXCL3	3.93292307475737
LMAN1	3.98358643272933
SUHW1	3.57728717220835
CHD8	5.28987072105632
SUMO1	8.01712477541811
GP1BA	3.13497992712864
OR7A10	3.59675324434327
DDB1	7.54536975944409
CHRNA10	3.45613792742502
STYK1	3.29076191949765
MYO9B	3.99393986384881
CCNI	9.85121594264095
MMP7	9.73638861459783
EP300	5.28856323413815
CRNKL1	7.41719375342581
C9orf45	3.26100378279838
XAB2	4.27567397564895
RTN1	3.93576422163618
HIC2	3.99757145389116
TBX10	3.45840260788093
CENPQ	4.93941726271813
UTY	3.28444980860443
OR2W1	2.93320473937531
ATP5G2	10.4261455938013
ZEB1	3.54725028581568
ZG16	3.49614806699483
ERG	3.97294780549512
PARN	7.20283317332996
SOD2	5.31433056930339
JOSD3	7.8284989273851
ADAM5P	3.20080044680223
CHD9	5.79794802282014
hCG_40738	3.94872359689327
STK16	5.09166474723198
PDE1C	3.57933642607619
SEMA4D	5.09797536020971
AGPAT1	5.9188604173249
TOB2	5.64501167048
BANK1	3.81767696388824
MAP3K3	4.52130341780939
MAX	4.93632521959403
GRM2	3.87057261251967
OSBPL8	7.7500875544197
PROSC	5.35267052218766
NR4A2	5.10973327239199
RICS	4.44977031407431
PIR	4.21715144668439
PPCS	8.86820763892813
IPO9	6.2442505858423
LONP1	6.85376127882404
EVC	4.13388598053261
CXCL13	4.75767932611291
SCYL3	5.24383177667683
KIAA1199	5.87751340502494
SORL1	7.4347256957601
NAT10	6.77184859698716
CHD1	5.03041254526205
SYN3	3.82384466081212
DMC1	3.88794718939086
SLC22A2	3.69549784880579
SERPINF1	7.43674597597848
C20orf27	5.45072798573275
OR7A17	3.25709084192436
RPS6KA5	4.20725701006154
LHB	3.40685829523607
TAOK3	5.1538207332751
STK25	5.84465587043762
SLC12A4	3.5639666215348
BRCA1	4.01826335294328
GBL	5.22222401592373
C14orf108	7.34474735682197
CDC25B	7.00532369139414
BMP3	3.21747601289861
MAP1LC3C	3.6375096569394
TMEM180	3.54448623901509
CRYGC	3.78504471285382
SLK	5.69822012332101
POU3F1	3.3302896909234
C20orf32	3.84968828131951
USP52	6.44012082180425
HIGD1B	4.01027386328277
BAZ1B	6.60160214790244
USP6NL	6.32672461988004
SLCO2B1	4.36062903921512
ABCD4	4.42213677446432
DIMT1L	5.95056666473768
SLC25A46	6.45509602573945
LARP7	7.79972696738329
TEK	4.07790706752467
CD160	3.58840126256166
TERF2IP	7.54747611853842
PHF20	6.23001896934157
COL1A1	7.58504424749183
KIAA0090	5.45881910531543
GTPBP1	4.25851830363275
GRK5	3.85530583485241
