Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_C05_586182
Composite Element REF	Signal
AACS	7.37138968158425
FSTL1	6.37018239815004
ELMO2	6.20425381243799
CREB3L1	3.3538805661643
RPS11	10.1010614990575
PNMA1	7.35569951063075
MMP2	4.76412819380683
SAMD4A	3.94708531767256
SMARCD3	8.93661206134828
A4GNT	3.55692814295174
C9orf39	3.28848283217379
PKNOX2	3.74846978706814
RALYL	3.16693046777495
ZHX3	4.41600668286211
ERCC5	6.06931700255694
RXFP3	2.84739470784755
APBB2	3.56203310342063
BBOX1	5.47593463277243
PRO0478	2.99916538479878
GCSH	8.20281329955345
XDH	5.20643685508048
EDN1	4.39540861714025
MTERF	7.49680770767764
PDCL3	7.42155470082587
CLK4	6.57546192244449
KCNG1	3.49015152882673
CXCR4	9.0575723674689
DECR1	8.21998649195541
SALL1	2.99385152172085
PTPRR	3.32398656505157
CADM4	3.4170300465217
IRAK1	9.87615015974777
CFHR5	3.16982578315026
HNRPD	8.2753852630997
TMSB10	12.3249779050333
CXCL3	4.58156206841386
LMAN1	5.40337317343523
SUHW1	3.39021462340706
CHD8	5.28673978240094
SUMO1	7.993702113632
GP1BA	3.27813704851450
OR7A10	3.97153381874062
DDB1	7.38250661497437
CHRNA10	3.65650309600053
STYK1	4.03281892453122
MYO9B	4.36568594244531
CCNI	10.3265119164270
MMP7	10.1619462206247
EP300	6.389610465813
CRNKL1	6.58505250216771
C9orf45	3.27876321793922
XAB2	4.7126020395
RTN1	4.39393034050872
HIC2	3.79023532831182
TBX10	3.51295296073513
CENPQ	4.49243609907033
UTY	3.20914647875654
OR2W1	2.94410399073676
ATP5G2	10.2082833349109
ZEB1	3.33917584326254
ZG16	3.23787820777686
ERG	3.82423907211422
PARN	8.10268250264115
SOD2	8.78287256748781
JOSD3	8.43996121741805
ADAM5P	3.22430335659197
CHD9	6.98590697822241
hCG_40738	3.80246006002257
STK16	5.20062206900986
PDE1C	3.41784491946836
SEMA4D	5.53937384366808
AGPAT1	6.80811734077684
TOB2	5.49804571568896
BANK1	4.97298872297588
MAP3K3	5.33143909810316
MAX	5.39479198055044
GRM2	3.6267493015679
OSBPL8	8.2381977074734
PROSC	5.91680712306962
NR4A2	5.82449547876602
RICS	6.58851140835557
PIR	5.82399087757877
