Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_D12_586150
Composite Element REF	Signal
AACS	6.86988965175117
FSTL1	9.54435369375256
ELMO2	5.19067319675079
CREB3L1	4.58251644014535
RPS11	10.0855061734020
PNMA1	7.53515480015484
MMP2	7.86560406093344
SAMD4A	4.23152531241828
SMARCD3	7.05013229162217
A4GNT	3.53717940925319
C9orf39	3.2186870918694
PKNOX2	4.15335859125701
RALYL	3.47225093036358
ZHX3	4.31880191809397
ERCC5	5.97650652591596
RXFP3	3.06571079954316
APBB2	4.1078008515064
BBOX1	5.60713827307838
PRO0478	2.8719996800245
GCSH	8.52016616573962
XDH	3.50048791412062
EDN1	4.4529269143228
MTERF	6.90309216681349
PDCL3	7.56869907388791
CLK4	6.3552534931002
KCNG1	3.57890518544159
CXCR4	6.10570170006168
DECR1	8.20214520207914
SALL1	3.50382658701178
PTPRR	3.29161196155052
CADM4	3.25012967187733
IRAK1	7.99854739141167
CFHR5	3.16043096319987
HNRPD	7.78757141821259
TMSB10	12.5237903309408
CXCL3	4.34520570449026
LMAN1	4.07084175148890
SUHW1	3.40856971797761
CHD8	5.24620999602725
SUMO1	8.13646518798199
GP1BA	3.06294732972272
OR7A10	3.61753640559110
DDB1	7.06155067054113
CHRNA10	3.69228750565563
STYK1	3.76577008036735
MYO9B	4.02338804488049
CCNI	10.6108847130566
MMP7	10.4615989724726
EP300	5.97686570798007
CRNKL1	7.0883863150289
C9orf45	3.21492263165229
XAB2	4.09886274343553
RTN1	4.65797497870862
HIC2	3.66883143624174
TBX10	3.65676918643562
CENPQ	5.0121830875981
UTY	3.05034207210962
OR2W1	2.79982368619836
ATP5G2	10.9858645150619
ZEB1	3.83958345179647
ZG16	3.43386110436985
ERG	3.91894792416309
PARN	6.78534809537169
SOD2	6.0830952422787
JOSD3	8.05025636975265
ADAM5P	3.28539290531017
CHD9	6.60419972110742
hCG_40738	3.55640969366293
STK16	5.70691246761195
PDE1C	3.54668878708635
SEMA4D	5.05352539468248
AGPAT1	6.48679390813504
TOB2	5.91147025693562
BANK1	5.14747543223337
MAP3K3	5.65026138816912
MAX	5.6984563744794
GRM2	4.03266845421242
OSBPL8	8.01577811707611
PROSC	6.462225162555
NR4A2	3.74100390264517
RICS	3.90563333631204
PIR	6.28335051578784
PPCS	9.75135629129576
IPO9	5.37713359597166
LONP1	7.03634753189198
EVC	3.7991576867745
CXCL13	4.39469962584825
SCYL3	5.0223200592707
KIAA1199	4.68989253595548
SORL1	7.44127847081588
NAT10	6.10952669265189
CHD1	6.51190306336656
SYN3	3.51716655745313
DMC1	3.80674351704205
SLC22A2	3.83008923005185
SERPINF1	8.7958180178003
C20orf27	5.66806196427044
OR7A17	3.28896771054512
RPS6KA5	4.31677124226316
