Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_E08_586166
Composite Element REF	Signal
AACS	7.69892960833543
FSTL1	8.457780140625
ELMO2	5.19327042179686
CREB3L1	4.15965749478083
RPS11	10.0794510913645
PNMA1	8.62987318431893
MMP2	8.29219509190874
SAMD4A	4.01685265454411
SMARCD3	6.41071620423035
A4GNT	3.66998374025798
C9orf39	3.29136113317556
PKNOX2	4.03449506067189
RALYL	3.31901121170351
ZHX3	4.82531043270761
ERCC5	5.50945934836885
RXFP3	2.85019914432148
APBB2	4.66295972650916
BBOX1	7.12411279034106
PRO0478	2.89666592146665
GCSH	9.82240132340075
XDH	3.26132638135591
EDN1	5.46443930752534
MTERF	7.11820746312727
PDCL3	7.22568242970834
CLK4	5.88296351946788
KCNG1	3.41613983079528
CXCR4	8.78699074146748
DECR1	8.42644034230258
SALL1	3.29916412993112
PTPRR	3.24720565747261
CADM4	3.21549848824403
IRAK1	8.59511346686203
CFHR5	3.25579362498664
HNRPD	7.34800867799582
TMSB10	12.5162791775474
CXCL3	3.82107180264203
LMAN1	3.76415725655335
SUHW1	3.28766109533767
CHD8	6.41334682247483
SUMO1	8.30067401995981
GP1BA	3.11572728497935
OR7A10	3.81873916643492
DDB1	7.7138231057522
CHRNA10	3.65987474352948
STYK1	4.81300854529962
MYO9B	4.22046128754949
CCNI	9.81453445282243
MMP7	11.4720142487643
EP300	5.84723660025858
CRNKL1	7.31638553662984
C9orf45	3.18467062293101
XAB2	4.41896281786835
RTN1	4.48361653265461
HIC2	3.69786986198881
TBX10	3.44211571743628
CENPQ	5.47682764490004
UTY	3.19573579729926
OR2W1	2.88766017320336
ATP5G2	10.4517511659864
ZEB1	3.92357657555925
ZG16	3.37561631571496
ERG	4.12707003641183
PARN	7.36833513684106
SOD2	5.86246038523935
JOSD3	7.37839395586328
ADAM5P	3.25421393811999
CHD9	6.78652329981672
hCG_40738	3.62028382348705
STK16	5.73752112874180
PDE1C	3.39846436711276
SEMA4D	5.27740220070345
AGPAT1	6.7740607236335
TOB2	6.52415429224052
BANK1	7.10431400592212
MAP3K3	5.22830215477529
MAX	6.24864741610598
GRM2	3.91910664183725
OSBPL8	8.3836705464057
PROSC	5.58665015355619
NR4A2	5.57619506798136
RICS	4.91430364465241
PIR	6.19892383195167
PPCS	9.92056529886877
IPO9	5.72796250857583
LONP1	8.24743646467454
EVC	4.00950762033074
CXCL13	6.30025479558504
SCYL3	5.47011815527914
KIAA1199	7.75576849769646
SORL1	8.30496190290032
NAT10	6.68227100054424
CHD1	5.8945396969299
SYN3	3.48131276809798
DMC1	3.74042517340559
SLC22A2	3.8715092642101
SERPINF1	8.87506443028153
C20orf27	5.80099476335708
OR7A17	3.1468546808626
RPS6KA5	4.37192789184108
LHB	3.12112559216565
TAOK3	5.39076920711137
STK25	7.6803073656093
SLC12A4	3.55905424399613
BRCA1	3.63234251009168
GBL	5.70145326590392
C14orf108	8.90160062888364
CDC25B	6.49054182463956
BMP3	3.11999718910167
MAP1LC3C	3.39864845881642
TMEM180	3.47595491215993
CRYGC	3.48327258647406
SLK	6.79518663849934
POU3F1	3.22452078203783
C20orf32	3.74095996318412
USP52	5.5425326762296
HIGD1B	4.28605176133662
BAZ1B	6.69785342814902
USP6NL	5.43627768156699
SLCO2B1	4.52661015447137
ABCD4	4.88955149475291
DIMT1L	6.14956991320121
SLC25A46	8.53998409174
LARP7	7.11874198473847
TEK	3.86074695425687
CD160	3.61234411981233
TERF2IP	8.14896076527484
PHF20	5.81496494892462
COL1A1	8.1940790013815
KIAA0090	7.01588749494616
GTPBP1	4.29071608620289
GRK5	3.92047134783773
AP1S2	6.32447627709816
RAB33B	5.7817140918439
CA11	3.91899449528500
ALDOC	5.18259606281593
NUDT1	6.09512623191964
ZNF212	5.42098433874169
ACBD3	7.66769434272078
ZNF83	6.51677101836532
PRDM2	4.71595644099214
GDPD5	4.77996186199459
PDCD4	6.50530699587384
CEP350	6.00298991370784
FOXP3	3.27231767875819
SMYD3	7.40873425811409
CST7	5.28870938245073
SELL	5.04658149716951
CIAO1	6.72710405235932
LGI2	3.69461177396332
WDR45	6.83665900158144
ANKRD6	7.30379830336266
LTBP4	3.42354246226133
PSCD3	3.12714562610911
PYY	3.15112108603483
KCNC1	3.03297963303620
SIRT6	4.13776994717867
CCL19	5.76303523241357
ARHGEF9	4.21091728268495
ABR	4.29966233920339
C10orf22	7.3686996103326
STK17A	5.8228077969333
FOXE1	3.16807542324679
GML	3.095461090724
CNGA3	2.93074356275754
CD38	3.9253338551286
ZDHHC6	7.8918663799699
NEFH	3.29678180807153
PGBD5	3.50008984237476
CTDSP2	7.28612863178429
RMND5B	6.40679654703147
ZNF257	3.32518163728124
DUSP4	3.70673165559957
FLJ22167	6.99540056733611
EXOSC7	7.28317032817174
ROR2	4.99490997596545
FOXM1	5.73174960808554
ZBTB48	5.10706139404715
BUD31	9.32645856422002
MAOA	6.28537794705525
CCDC41	5.24248710631529
TNNT3	3.46720713272885
FBXO11	6.13102262868363
GYPC	7.09309109887195
PLIN	5.36652339281957
RFXAP	3.15679675585766
C6orf15	3.76060138538714
RNF4	8.35876466882849
F8A1	7.96012755543551
PPP1R3D	4.15603646266026
GRB2	7.73565776142744
TPM3	3.02697504477137
SYT13	3.26533118208109
EPB42	3.4906122086625
RP5-1077B9.4	5.93163069404176
EIF1	10.0281714869955
CETN3	8.0612228469789
FPGT	6.31662376657112
PRY	3.38364299531930
NTHL1	4.9730900916927
POLR2B	8.25119054953841
RPS28	12.2301154529196
GDF10	6.09674651624421
COQ9	8.4219203536874
P2RX3	3.01866984286595
GCC2	7.10093481899923
RARRES3	8.10837019255558
PLXNA1	5.48061790101886
WBP4	4.3802301083514
KIAA0100	6.45015066437032
PMF1	7.05311700565966
HS2ST1	6.39598617242526
CRELD2	7.21453538811888
C8G	2.95043459925033
CD82	5.62438071743568
PMM1	5.417041252858
CBLL1	5.4731560125311
LIM2	3.37335718169573
VAX2	3.59843137146178
SETDB1	4.89832663296707
LRAP	7.31191249970453
GCLM	7.01427711878451
CPEB3	4.2541213601656
PPM1A	6.70985085588177
INTS1	4.1620979355424
MMP16	3.19218518753524
CAMTA1	3.42826061203196
SAMSN1	7.03774399629605
DRD3	2.93606852335773
GMPPA	5.73787416752447
C11orf73	7.64042103570879
AIPL1	3.70220725160612
PTP4A2	9.29279076249454
IL24	3.26129954872823
BDKRB1	3.28720833446172
HPCA	3.48761006654727
MLF1	6.67499542623632
SEC14L1	6.10601413888284
CHFR	6.27424462465283
EMILIN1	4.29261217138789
THADA	7.55406417260442
TAF12	5.91079550372671
NDUFS4	8.51705960072792
ID1	6.24433842740211
PIK3CB	3.91265438166159
COL18A1	7.76564282835206
PDZD3	3.07309961843494
TBC1D17	5.26897096874856
COX8A	9.97563056828953
CDCA4	5.95689526553387
C2orf44	5.12049039067268
C9orf16	8.11536312226377
ERBB2IP	8.93604263548771
EMX2	7.91397125936967
FUS	5.2128306071161
NIPSNAP3B	3.83622722517336
TF	3.20820577549957
CXorf56	5.3205021357866
CLCN4	4.09498952923128
PWP2	5.63117072638154
MMP15	4.60295774082318
MTMR14	6.43463497172676
NPR1	6.64224134611479
DNAL4	6.04977660828752
ELAC2	4.7757562449502
ASS1	10.7899251137594
IPP	6.16431281583714
TMEM59	10.2880904738961
POLR2J	8.92934962182364
SEC23IP	6.70065158520932
RGS4	4.45427870752972
UQCRC1	8.91251286062115
SNX6	8.09184227110534
DDX18	7.2972493499368
POLG	4.23886680889974
ADAM23	3.95274888867996
ZNHIT2	5.68352645851306
TFR2	3.17456976186371
NCDN	4.27642361961787
RAG1	3.38309370932157
POMT1	4.8135235580772
CYP1A1	3.38900855048222
SNAPC1	6.9017079680454
GNA11	5.58203479512735
CCDC52	2.77113730680313
CAPN1	6.88527223159637
DDHD2	5.41149935072497
UPF3A	5.16578015683983
LAGE3	6.35640307227232
GNRHR	3.11207467224701
UNC13B	5.65536388372705
TTLL4	4.02699816975466
PPBP	3.4343264927864
HTR3A	6.85224860099717
SDC2	6.08881831783733
ANKRD49	7.83205353775776
BTF3	10.1481927607652
COX7A2	11.2193911527157
SARS	9.34353409778618
C13orf18	4.06216952492818
CACNB1	3.77260796045360
QKI	6.22175982875312
SETMAR	6.57030322963658
LAMB4	3.42785693110281
MAN2B1	7.04973291017162
EML3	4.74390896237488
ACADL	3.37779329782214
OFD1	6.77045198055211
CGA	3.35590607299366
EIF3EIP	10.0559433595355
PEX16	5.25212314198505
GNG12	7.81810184121229
HABP4	4.83739800919492
CNTN2	3.40160076080012
ASNSD1	8.30267796590825
FUT4	4.48329989850261
DBH	3.59334073956658
CD53	8.03296484053277
HIST1H2BJ	3.87051325790882
TFAP2B	3.1219408530747
ACF	3.79853142618694
TMEM11	6.97356678836262
CDH8	3.35864798181418
C3orf32	3.67707150072191
AGPS	5.15425011899285
C4orf18	3.49739833663368
PCCB	8.99964205970378
IPO13	5.7622675675861
PECI	9.55527638424023
UNG	8.06867693725217
C6orf105	3.92694788973734
GSTP1	8.46477767871551
SUV420H1	6.9727098127318
ARHGAP15	4.95177933982544
LTBR	7.12132862050706
TDRKH	3.33256696755414
PSG4	3.30744389584264
SLC9A3R1	7.00281381407474
NBPF3	8.25992999165904
SLC9A3	3.43072230690518
OSBP	6.8848202102455
PRR5	4.71690338070026
CHMP7	5.79482881350987
ADRA1A	2.99967242185432
ASAH1	7.33633071126483
FKBP4	7.70102402330705
ZNF350	4.80361993519806
DOM3Z	5.95534624946952
GIPR	3.37731817871864
AHI1	4.07203771582992
BST1	4.97531726618636
NCR2	3.43598671602726
NADSYN1	7.28309202787173
UBE2W	6.70088066718237
RGS14	4.53184498433844
KRT15	4.25383940783692
SCN11A	3.74742543971586
GFI1	3.46929340478564
FHL1	5.43236157364731
SMC6	7.33616914599401
GATA1	3.31085279855588
OSGEP	6.3166226618274
ARMC6	5.45915241687566
HK3	3.55311774536843
PSMD5	7.73248523805082
RSU1	8.06551589689433
RPL4	11.4462251275175
MAD2L1	8.01321514589837
RBPMS	5.17375809899655
EIF4A3	8.76169436563247
E4F1	4.05208109513991
DLEC1	3.22231984283219
PRPF3	4.99562389249231
EMR1	3.28319039723951
CHMP2B	7.40484155104228
CAMSAP1	4.1670893182096
RPS21	10.7100494655118
XCR1	3.20533209793358
ARID5A	4.31306417683981
RBM6	5.06751445340226
UBE2N	8.435034852632
KLF4	4.53366480193578
MGC4172	5.34771246185341
LMO4	7.09618222208903
KLKB1	3.29948515573122
HDAC3	7.22494596973705
HP	5.07657293587667
SCHIP1	6.55578880605108
BTK	4.45960721787155
KRCC1	9.0756358284916
PRND	2.96987199445233
C6orf27	3.16144331070041
PIGL	4.14817305102681
CLCA1	3.63141832653678
C1orf112	4.29684312908064
OLFML2A	5.44886719427268
HUS1	5.30562065089719
SFRS6	7.09178336787802
CXCR7	6.92145416894723
UIMC1	6.28352149655803
FXYD2	3.36832887497874
GOT2	8.45037283520947
ZNF667	3.72819746930227
TFEC	4.51766446280507
ATP7B	4.5943063776535
RAB38	6.57864783016567
POLD2	7.19275138080198
PPM1H	7.5175123699875
DCX	3.12867955595815
NFYC	5.49604161361498
ZNF228	4.51515071254169
KIN	6.76695213787501
PLSCR4	6.65252607978938
HIST1H4I	4.08448986231214
PPARGC1A	3.04471228344646
HIG2	9.88310657015968
KCNK10	3.88723456288522
EXOC1	7.58605051122543
OR6A2	3.8423550435159
ETFA	8.55439024561581
PDAP1	5.42899392808713
C19orf6	3.26760739250907
POLRMT	4.44647806729714
ZNF146	7.33056639258609
MIA2	3.18274107612325
LY6G6E	3.36366664432401
EIF4E2	8.374177453784
NENF	5.47115758068955
HOXB5	4.4659185822897
ZNF324	4.71407820324172
CUGBP1	5.04019940525804
ENTPD7	5.12295134567159
TTC13	6.35221925582701
GJB5	3.28292339925739
PRSS22	4.29831433162947
CYP3A5	3.30743694710596
MBOAT5	5.33279748815924
CUL4B	5.33588152593845
CENPJ	3.27836891602608
KIAA0664	5.6081151454727
PITX1	3.6946540663667
PDGFRB	5.9141595474215
RDX	6.47651198921334
CELSR3	3.54343875219493
JUND	6.18028175793477
ITSN1	4.88354523888387
CHRNB1	4.56882232869651
EHBP1L1	3.42179736703608
C19orf2	7.62997898657786
FETUB	3.07924647820964
CAMK2B	3.04178830450049
DCTN1	6.89419356539937
TNKS2	7.07825653516682
MRTO4	8.2633401299277
C1QBP	6.57681530842117
TTC3	7.25617211243041
NDUFB8	9.57303020753166
CADPS2	5.42994455011177
EDG2	6.83021401833481
MYF5	2.86858615215146
SEMA3G	3.76321996648805
IL23A	3.44817164607527
GJA9	3.47448503124926
R3HDM2	5.63848076947584
C5	3.81102821357775
SLC2A10	6.70317297445354
