Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_F01_586114
Composite Element REF	Signal
AACS	5.850860497559
FSTL1	8.71310894941682
ELMO2	5.52164991746498
CREB3L1	6.06175517229696
RPS11	10.1931646729388
PNMA1	7.32931349371025
MMP2	7.23158287926756
SAMD4A	3.71342868008277
SMARCD3	7.53909691082
A4GNT	3.56572210886824
C9orf39	4.15871199184497
PKNOX2	4.28549887869350
RALYL	3.23615539443986
ZHX3	4.31683945157616
ERCC5	6.11604517753324
RXFP3	2.93572106582621
APBB2	4.79285154441837
BBOX1	6.96083379537043
PRO0478	2.99448905263086
GCSH	7.40811162750009
XDH	3.47127010398032
EDN1	3.85906154284669
MTERF	6.74523916250621
PDCL3	7.63774180200794
CLK4	7.4576475249056
KCNG1	3.38824883857773
CXCR4	7.69842871315372
DECR1	9.00897719518198
SALL1	3.29094397296117
PTPRR	3.41393828347247
CADM4	3.07604425635191
IRAK1	9.2270738509515
CFHR5	3.33729291669796
HNRPD	8.3322314997389
TMSB10	12.3459911240540
CXCL3	4.51503927370196
LMAN1	3.78706419847813
SUHW1	3.3861135135599
CHD8	6.27942000670783
SUMO1	8.26947528962269
GP1BA	3.16169086699531
OR7A10	3.67613862173664
DDB1	7.54332841511361
CHRNA10	3.71327920852246
STYK1	3.98815608590449
MYO9B	4.91044821847009
CCNI	9.71220570517336
MMP7	6.36259373635983
EP300	5.94357203187327
CRNKL1	7.0699879136828
C9orf45	3.15211212632547
XAB2	4.94066102573081
RTN1	5.09190875624252
HIC2	3.82516279650094
TBX10	3.68369328500407
CENPQ	5.2553624488682
UTY	3.12786400296018
OR2W1	2.77857388346911
ATP5G2	10.4852736070613
ZEB1	3.73973498517238
ZG16	3.35545890950165
ERG	3.79052340309
PARN	7.02469668354565
SOD2	6.35414941675226
JOSD3	7.51073000768046
ADAM5P	3.15170377818877
CHD9	6.1493843116104
hCG_40738	3.73865698038284
STK16	5.03117769822755
PDE1C	3.4227107869051
SEMA4D	6.18698470216772
AGPAT1	6.54813470328611
TOB2	5.99753941086893
BANK1	3.32025738271634
MAP3K3	5.63476519432531
MAX	5.15386494519378
GRM2	3.70316325598638
OSBPL8	7.73526802136396
PROSC	6.61627814704989
NR4A2	6.59757885631881
RICS	4.46129720539882
PIR	7.46191603468042
PPCS	9.11317987065538
IPO9	6.59860061014622
LONP1	7.62577516153353
EVC	4.05653204510271
CXCL13	6.25013068412315
SCYL3	7.09559887542966
KIAA1199	4.72630111796654
